Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
ADLB,267.1,267.1,267.1,10.0,267.1,267.1,"2,723.00",11-08-2022
ADLB,267.1,267.1,267.1,10.0,267.1,267.1,"2,723.00",12-08-2022
ADLB,267.1,267.1,267.1,10.0,267.1,267.1,"2,723.00",13-08-2022
ADLB,267.1,267.1,267.1,2.0,267.1,267.1,544.80,16-08-2022
ADLB,272.4,272.4,272.4,20.0,272.4,267.1,"5,368.30",17-08-2022
ADLB,277.8,277.8,277.8,10.0,277.8,272.4,"2,778.00",28-08-2022
ADLB,283.3,283.3,283.3,20.0,283.3,277.8,"5,590.90",01-09-2022
ADLB,283.3,283.3,283.3,10.0,283.3,283.3,"2,791.40",11-09-2022
ADLB,288.9,288.9,288.9,10.0,288.9,283.3,"2,889.00",12-09-2022
ADLB,294.6,294.6,294.6,20.0,294.6,288.9,"5,950.00",13-09-2022
ADLB,300.4,300.4,300.4,10.0,300.4,294.6,"3,004.00",18-09-2022
ADLB,300.4,300.4,300.4,10.0,300.4,294.6,"3,004.00",19-09-2022
ADLB,306.4,306.4,306.4,10.0,306.4,300.4,"3,064.00",20-09-2022
ADLB,312.5,312.5,312.5,10.0,312.5,306.4,"3,125.00",21-09-2022
ADLB,312.5,318.7,312.5,20.0,318.7,312.5,"6,312.00",25-09-2022
ADLB,312.5,318.7,312.5,20.0,318.7,312.5,"6,312.00",26-09-2022
ADLB,325.0,325.0,325.0,10.0,325.0,318.7,"3,250.00",01-12-2022
ADLB,325.0,325.0,325.0,10.0,325.0,318.7,"3,250.00",02-12-2022
ADLB,325.0,325.0,325.0,10.0,325.0,318.7,"3,250.00",03-12-2022
ADLB,331.5,331.5,331.5,10.0,331.5,325.0,"3,315.00",04-12-2022
ADLB,338.1,338.1,338.1,10.0,338.1,331.5,"3,381.00",07-12-2022
ADLB,338.1,338.1,338.1,10.0,338.1,331.5,"3,381.00",08-12-2022
ADLB,338.10,338.10,338.10,10.00,338.10,331.50,"3,381.00",09-12-2022
