Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
AIL,450.0,450.0,406.0,"17,785.00",415.0,448.0,"7,444,652.10",05-12-2022
AIL,406.7,412.0,406.7,"5,684.00",409.0,415.0,"2,322,068.00",06-12-2022
AIL,406.5,411.0,405.0,"1,360.00",405.0,409.0,"552,817.00",07-12-2022
AIL,406.5,411.0,405.0,"1,360.00",405.0,409.0,"552,817.00",08-12-2022
AIL,406.5,411.0,405.0,"1,360.00",405.0,409.0,"552,817.00",09-12-2022
AIL,406.5,411.0,405.0,"1,360.00",405.0,409.0,"552,817.00",10-12-2022
AIL,401.0,401.0,393.0,"3,480.00",395.0,405.0,"1,382,072.00",11-12-2022
AIL,395.0,398.0,385.0,"3,161.00",387.3,395.0,"1,226,904.80",12-12-2022
AIL,380.0,397.0,380.0,"3,023.00",380.0,387.3,"1,159,079.20",13-12-2022
AIL,384.0,385.0,365.0,"7,213.00",365.0,380.0,"2,680,368.30",14-12-2022
AIL,363.0,365.0,355.0,"5,369.00",355.0,365.0,"1,919,834.50",15-12-2022
AIL,363.0,365.0,355.0,"5,369.00",355.0,365.0,"1,919,834.50",16-12-2022
AIL,363.0,365.0,355.0,"5,369.00",355.0,365.0,"1,919,834.50",17-12-2022
AIL,350.2,353.0,348.0,"3,045.00",350.0,355.0,"1,068,687.00",18-12-2022
AIL,344.0,360.0,344.0,"1,604.00",352.0,350.0,"564,159.00",19-12-2022
AIL,359.0,362.0,348.0,"2,292.00",352.2,352.0,"809,772.00",20-12-2022
AIL,353.0,360.0,353.0,"4,581.00",360.0,352.2,"1,623,555.00",21-12-2022
AIL,362.5,362.5,350.1,"1,505.00",351.9,360.0,"530,414.50",22-12-2022
AIL,362.5,362.5,350.1,"1,505.00",351.9,360.0,"530,414.50",23-12-2022
AIL,362.5,362.5,350.1,"1,505.00",351.9,360.0,"530,414.50",24-12-2022
AIL,362.5,362.5,350.1,"1,505.00",351.9,360.0,"530,414.50",25-12-2022
AIL,358.0,365.0,353.0,"7,807.00",365.0,351.9,"2,792,090.50",26-12-2022
AIL,370.0,401.5,363.0,"12,954.00",401.5,365.0,"4,954,469.80",27-12-2022
AIL,405.0,410.0,385.2,"10,772.00",385.2,401.5,"4,321,187.90",28-12-2022
AIL,378.0,423.7,378.0,"17,225.00",423.7,385.2,"7,178,522.40",29-12-2022
AIL,378.0,423.7,378.0,"17,225.00",423.7,385.2,"7,178,522.40",30-12-2022
AIL,378.0,423.7,378.0,"17,225.00",423.7,385.2,"7,178,522.40",31-12-2022
AIL,432.0,466.0,432.0,"25,890.00",466.0,423.7,"11,978,015.90",01-01-2023
AIL,475.3,512.6,470.0,"26,418.00",512.5,466.0,"13,260,758.50",02-01-2023
AIL,520.0,563.7,502.3,"34,475.00",563.7,512.5,"18,870,750.80",03-01-2023
AIL,570.0,574.0,527.0,"25,101.00",555.0,563.7,"13,733,849.80",04-01-2023
AIL,566.1,576.0,535.6,"18,039.00",546.0,555.0,"9,854,802.00",05-01-2023
AIL,566.1,576.0,535.6,"18,039.00",546.0,555.0,"9,854,802.00",06-01-2023
AIL,566.1,576.0,535.6,"18,039.00",546.0,555.0,"9,854,802.00",07-01-2023
AIL,547.0,566.0,540.0,"22,703.00",555.0,546.0,"12,576,565.20",08-01-2023
AIL,565.0,610.5,540.0,"32,526.00",580.0,555.0,"18,310,420.10",09-01-2023
AIL,580.0,591.6,544.0,"19,266.00",559.0,580.0,"11,034,393.30",10-01-2023
AIL,580.0,591.6,544.0,"19,266.00",559.0,580.0,"11,034,393.30",11-01-2023
AIL,547.9,548.0,515.0,"29,636.00",520.0,559.0,"15,689,636.60",12-01-2023
AIL,547.9,548.0,515.0,"29,636.00",520.0,559.0,"15,689,636.60",13-01-2023
AIL,547.9,548.0,515.0,"29,636.00",520.0,559.0,"15,689,636.60",14-01-2023
AIL,547.9,548.0,515.0,"29,636.00",520.0,559.0,"15,689,636.60",15-01-2023
AIL,547.9,548.0,515.0,"29,636.00",520.0,559.0,"15,689,636.60",16-01-2023
AIL,510.0,540.9,490.1,"22,102.00",514.0,520.0,"11,215,176.00",17-01-2023
AIL,524.0,524.0,497.9,"12,345.00",500.0,514.0,"6,232,377.90",18-01-2023
AIL,492.0,510.0,482.0,"15,860.00",503.9,500.0,"7,874,569.90",19-01-2023
AIL,492.0,510.0,482.0,"15,860.00",503.9,500.0,"7,874,569.90",20-01-2023
AIL,492.0,510.0,482.0,"15,860.00",503.9,500.0,"7,874,569.90",21-01-2023
AIL,492.0,510.0,482.0,"15,860.00",503.9,500.0,"7,874,569.90",22-01-2023
AIL,512.0,512.0,486.0,"7,816.00",492.2,503.9,"3,865,919.70",23-01-2023
AIL,490.0,493.0,483.0,"6,073.00",493.0,492.2,"2,957,569.00",24-01-2023
AIL,491.0,531.0,491.0,"26,106.00",523.0,493.0,"13,594,553.60",25-01-2023
AIL,530.0,546.0,530.0,"16,983.00",535.0,523.0,"9,167,999.60",26-01-2023
AIL,530.0,546.0,530.0,"16,983.00",535.0,523.0,"9,167,999.60",28-01-2023
AIL,524.3,544.0,511.0,"17,050.00",523.0,535.0,"8,896,812.50",29-01-2023
AIL,523.0,530.0,503.0,"8,545.00",507.0,523.0,"4,366,489.60",30-01-2023
AIL,497.1,504.9,492.2,"10,082.00",497.0,507.0,"5,024,205.50",31-01-2023
AIL,490.0,505.0,490.0,"4,465.00",503.0,497.0,"2,224,949.50",01-02-2023
AIL,493.0,501.0,470.6,"16,882.00",484.0,503.0,"8,201,132.50",02-02-2023
AIL,493.0,501.0,470.6,"16,882.00",484.0,503.0,"8,201,132.50",03-02-2023
AIL,493.0,501.0,470.6,"16,882.00",484.0,503.0,"8,201,132.50",04-02-2023
AIL,478.1,500.0,476.0,"8,062.00",490.0,484.0,"3,945,809.00",05-02-2023
AIL,480.2,494.0,480.2,"3,384.00",494.0,490.0,"1,645,061.00",06-02-2023
AIL,490.3,519.1,490.3,"8,360.00",519.1,494.0,"4,242,042.40",07-02-2023
AIL,529.0,529.0,507.0,"12,018.00",509.0,519.1,"6,228,352.00",08-02-2023
AIL,509.0,510.0,500.5,"3,749.00",508.0,509.0,"1,899,278.00",09-02-2023
AIL,509.0,510.0,500.5,"3,749.00",508.0,509.0,"1,899,278.00",10-02-2023
AIL,509.0,510.0,500.5,"3,749.00",508.0,509.0,"1,899,278.00",11-02-2023
AIL,505.0,505.0,486.6,"9,488.00",486.8,508.0,"4,700,539.00",12-02-2023
AIL,505.0,505.0,486.6,"9,488.00",486.8,508.0,"4,700,539.00",13-02-2023
AIL,480.1,495.0,480.1,"4,449.00",488.0,486.8,"2,172,388.50",14-02-2023
AIL,485.0,497.0,480.0,"1,868.00",490.0,488.0,"913,376.20",15-02-2023
AIL,485.0,490.0,478.0,"2,798.00",478.0,490.0,"1,346,492.50",16-02-2023
AIL,485.0,490.0,478.0,"2,798.00",478.0,490.0,"1,346,492.50",17-02-2023
AIL,485.0,490.0,478.0,"2,798.00",478.0,490.0,"1,346,492.50",18-02-2023
AIL,485.0,490.0,478.0,"2,798.00",478.0,490.0,"1,346,492.50",19-02-2023
AIL,471.0,484.5,471.0,"3,575.00",473.0,478.0,"1,701,211.00",20-02-2023
AIL,471.0,484.5,471.0,"3,575.00",473.0,478.0,"1,701,211.00",21-02-2023
AIL,473.0,490.6,473.0,"3,628.00",485.0,473.0,"1,757,504.30",22-02-2023
AIL,475.3,478.0,470.0,"3,296.00",478.0,485.0,"1,561,111.30",23-02-2023
AIL,475.3,478.0,470.0,"3,296.00",478.0,485.0,"1,561,111.30",24-02-2023
AIL,475.3,478.0,470.0,"3,296.00",478.0,485.0,"1,561,111.30",25-02-2023
AIL,470.0,488.0,446.0,"5,853.00",479.9,478.0,"2,730,116.50",26-02-2023
AIL,488.0,488.0,461.0,"6,017.00",474.0,479.9,"2,827,807.00",27-02-2023
AIL,474.0,478.0,465.1,"3,979.00",471.0,474.0,"1,872,104.60",28-02-2023
AIL,462.2,469.0,462.2,"2,660.00",463.0,471.0,"1,235,234.00",01-03-2023
AIL,454.0,460.0,453.0,"2,081.00",460.0,463.0,"946,336.00",02-03-2023
AIL,454.0,460.0,453.0,"2,081.00",460.0,463.0,"946,336.00",03-03-2023
AIL,454.0,460.0,453.0,"2,081.00",460.0,463.0,"946,336.00",04-03-2023
AIL,451.0,460.0,442.0,"2,703.00",445.0,460.0,"1,209,824.60",05-03-2023
AIL,451.0,460.0,442.0,"2,703.00",445.0,460.0,"1,209,824.60",06-03-2023
AIL,436.2,453.9,436.2,"2,320.00",445.0,445.0,"1,040,679.00",07-03-2023
AIL,436.2,453.9,436.2,"2,320.00",445.0,445.0,"1,040,679.00",08-03-2023
AIL,437.1,478.0,437.1,"5,398.00",478.0,445.0,"2,518,755.50",09-03-2023
AIL,437.1,478.0,437.1,"5,398.00",478.0,445.0,"2,518,755.50",10-03-2023
AIL,437.1,478.0,437.1,"5,398.00",478.0,445.0,"2,518,755.50",11-03-2023
AIL,481.0,488.9,470.4,"7,110.00",474.5,478.0,"3,397,467.10",12-03-2023
AIL,466.0,466.0,452.3,"3,640.00",460.0,474.5,"1,668,154.00",13-03-2023
AIL,452.1,470.0,452.1,"2,690.00",461.0,460.0,"1,254,001.00",14-03-2023
AIL,455.0,464.0,455.0,"2,333.00",455.0,461.0,"1,065,605.00",15-03-2023
AIL,447.3,460.0,447.3,"1,714.00",454.0,455.0,"779,684.00",16-03-2023
AIL,447.3,460.0,447.3,"1,714.00",454.0,455.0,"779,684.00",17-03-2023
AIL,447.3,460.0,447.3,"1,714.00",454.0,455.0,"779,684.00",18-03-2023
AIL,447.1,460.0,447.1,"2,013.00",453.0,454.0,"912,229.00",19-03-2023
AIL,461.0,470.0,455.1,"2,831.00",465.0,453.0,"1,311,758.50",20-03-2023
AIL,461.0,470.0,455.1,"2,831.00",465.0,453.0,"1,311,758.50",21-03-2023
AIL,465.0,470.0,462.0,"3,364.00",462.0,465.0,"1,565,292.40",22-03-2023
AIL,453.1,468.0,453.1,"2,690.00",460.0,462.0,"1,244,017.30",23-03-2023
AIL,453.1,468.0,453.1,"2,690.00",460.0,462.0,"1,244,017.30",24-03-2023
AIL,453.1,468.0,453.1,"2,690.00",460.0,462.0,"1,244,017.30",25-03-2023
AIL,452.0,455.0,444.0,"5,970.00",446.0,460.0,"2,677,338.50",26-03-2023
AIL,438.0,483.0,435.0,"3,680.00",483.0,446.0,"1,667,894.50",27-03-2023
