Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
AKBSL,"1,397.40","1,507.00","1,397.40","3,035.00","1,507.00","1,370.00","4,470,334.50",20-12-2022
AKBSL,"1,537.10","1,657.70","1,537.10","8,290.00","1,657.70","1,507.00","13,739,375.00",21-12-2022
AKBSL,"1,690.80","1,790.00","1,492.00","20,110.00","1,530.00","1,657.70","30,730,877.20",22-12-2022
AKBSL,"1,690.80","1,790.00","1,492.00","20,110.00","1,530.00","1,657.70","30,730,877.20",23-12-2022
AKBSL,"1,690.80","1,790.00","1,492.00","20,110.00","1,530.00","1,657.70","30,730,877.20",24-12-2022
AKBSL,"1,690.80","1,790.00","1,492.00","20,110.00","1,530.00","1,657.70","30,730,877.20",25-12-2022
AKBSL,"1,560.60","1,683.00","1,560.60","15,739.00","1,632.00","1,530.00","25,268,628.70",26-12-2022
AKBSL,"1,664.60","1,664.60","1,580.00","11,667.00","1,589.00","1,632.00","18,721,069.90",27-12-2022
AKBSL,"1,565.20","1,586.10","1,535.00","6,943.00","1,555.00","1,589.00","10,830,081.40",28-12-2022
AKBSL,"1,523.90","1,575.00","1,523.90","5,000.00","1,555.10","1,555.00","7,803,750.30",29-12-2022
AKBSL,"1,523.90","1,575.00","1,523.90","5,000.00","1,555.10","1,555.00","7,803,750.30",30-12-2022
AKBSL,"1,523.90","1,575.00","1,523.90","5,000.00","1,555.10","1,555.00","7,803,750.30",31-12-2022
AKBSL,"1,555.00","1,585.00","1,538.00","4,999.00","1,548.00","1,555.10","7,778,749.00",01-01-2023
AKBSL,"1,548.00","1,610.00","1,539.00","5,594.00","1,575.00","1,548.00","8,792,408.30",02-01-2023
AKBSL,"1,595.00","1,620.00","1,585.00","7,218.00","1,609.00","1,575.00","11,589,476.50",03-01-2023
AKBSL,"1,640.00","1,646.00","1,586.00","4,217.00","1,641.00","1,609.00","6,845,547.00",04-01-2023
AKBSL,"1,673.00","1,681.00","1,630.00","8,011.00","1,681.00","1,641.00","13,254,777.90",05-01-2023
AKBSL,"1,673.00","1,681.00","1,630.00","8,011.00","1,681.00","1,641.00","13,254,777.90",06-01-2023
AKBSL,"1,673.00","1,681.00","1,630.00","8,011.00","1,681.00","1,641.00","13,254,777.90",07-01-2023
AKBSL,"1,710.00","1,837.00","1,710.00","16,542.00","1,823.00","1,681.00","29,783,049.60",08-01-2023
AKBSL,"1,820.00","1,881.00","1,820.00","8,127.00","1,870.00","1,823.00","15,080,931.00",09-01-2023
AKBSL,"1,889.00","1,907.00","1,760.00","7,830.00","1,810.00","1,870.00","14,474,980.50",10-01-2023
AKBSL,"1,889.00","1,907.00","1,760.00","7,830.00","1,810.00","1,870.00","14,474,980.50",11-01-2023
AKBSL,"1,825.10","1,866.00","1,775.50","6,373.00","1,775.50","1,810.00","11,580,650.10",12-01-2023
