Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
AKPL,455.0,459.0,443.0,"74,541.00",445.0,450.0,"33,503,900.20",10-08-2022
AKPL,455.0,459.0,443.0,"74,541.00",445.0,450.0,"33,503,900.20",10-08-2022
AKPL,455.0,459.0,443.0,"74,541.00",445.0,450.0,"33,503,900.20",10-08-2022
AKPL,450.0,453.9,438.0,"76,863.00",438.1,445.0,"34,249,677.20",11-08-2022
AKPL,450.0,453.9,438.0,"76,863.00",438.1,445.0,"34,249,677.20",12-08-2022
AKPL,450.0,453.9,438.0,"76,863.00",438.1,445.0,"34,249,677.20",13-08-2022
AKPL,436.5,444.0,428.2,"53,811.00",430.0,438.1,"23,324,056.90",14-08-2022
AKPL,430.0,453.9,430.0,"90,311.00",453.9,430.0,"40,072,145.50",15-08-2022
AKPL,462.9,467.0,443.1,"88,768.00",443.1,453.9,"40,211,962.10",16-08-2022
AKPL,451.9,455.0,442.9,"51,450.00",447.0,443.1,"23,089,342.80",17-08-2022
AKPL,448.0,469.0,448.0,"120,670.00",458.0,447.0,"55,637,755.30",18-08-2022
AKPL,448.0,469.0,448.0,"120,670.00",458.0,447.0,"55,637,755.30",19-08-2022
AKPL,448.0,469.0,448.0,"120,670.00",458.0,447.0,"55,637,755.30",20-08-2022
AKPL,465.0,465.0,453.0,"69,966.00",455.0,458.0,"32,019,629.00",21-08-2022
AKPL,455.1,457.0,446.1,"54,214.00",454.0,455.0,"24,540,993.10",22-08-2022
AKPL,457.0,459.0,450.0,"53,955.00",458.9,454.0,"24,524,986.90",23-08-2022
AKPL,459.9,485.0,459.0,"353,606.00",483.0,458.9,"169,266,269.70",24-08-2022
AKPL,490.0,492.6,470.0,"150,997.00",470.0,483.0,"72,861,968.20",25-08-2022
AKPL,475.0,478.0,467.1,"100,563.00",470.0,470.0,"47,419,787.80",26-08-2022
AKPL,475.0,478.0,467.1,"100,563.00",470.0,470.0,"47,419,787.80",27-08-2022
AKPL,463.0,478.0,461.0,"221,324.00",464.0,470.0,"103,361,974.80",28-08-2022
AKPL,473.2,473.2,453.8,"109,191.00",460.0,464.0,"50,055,108.20",29-08-2022
AKPL,462.0,463.0,450.3,"34,704.00",450.3,460.0,"15,771,706.20",30-08-2022
AKPL,455.0,455.0,441.0,"60,243.00",441.9,450.3,"26,823,620.80",31-08-2022
AKPL,439.0,447.0,433.1,"87,080.00",443.0,441.9,"38,283,477.20",01-09-2022
AKPL,444.0,450.0,439.0,"55,611.00",450.0,443.0,"24,679,572.00",02-09-2022
AKPL,444.0,450.0,439.0,"55,611.00",450.0,443.0,"24,679,572.00",03-09-2022
AKPL,459.0,459.0,448.0,"45,296.00",448.1,450.0,"20,474,192.30",04-09-2022
AKPL,452.0,454.0,441.0,"27,254.00",442.0,448.1,"12,141,579.70",05-09-2022
AKPL,442.0,443.0,435.0,"37,779.00",435.3,442.0,"16,546,110.10",06-09-2022
AKPL,436.0,437.0,430.5,"24,179.00",433.0,435.3,"10,442,691.70",07-09-2022
AKPL,437.0,440.0,427.0,"27,822.00",434.0,433.0,"12,076,268.30",08-09-2022
AKPL,437.0,440.0,427.0,"27,822.00",434.0,433.0,"12,076,268.30",09-09-2022
AKPL,437.0,440.0,427.0,"27,822.00",434.0,433.0,"12,076,268.30",10-09-2022
AKPL,434.0,438.9,427.0,"23,035.00",428.9,434.0,"9,930,198.00",11-09-2022
AKPL,424.0,427.0,418.0,"44,745.00",421.0,428.9,"18,861,362.40",12-09-2022
AKPL,421.0,429.0,415.6,"88,463.00",424.0,421.0,"37,309,230.30",13-09-2022
AKPL,426.0,443.0,426.0,"64,052.00",442.8,424.0,"28,002,898.70",14-09-2022
AKPL,440.0,442.0,420.1,"113,030.00",420.9,442.8,"48,423,140.90",15-09-2022
AKPL,415.0,420.0,405.1,"62,353.00",416.9,420.9,"25,792,057.50",16-09-2022
AKPL,415.0,420.0,405.1,"62,353.00",416.9,420.9,"25,792,057.50",17-09-2022
AKPL,416.0,419.0,403.0,"52,299.00",403.5,416.9,"21,331,954.80",18-09-2022
AKPL,416.0,419.0,403.0,"52,299.00",403.5,416.9,"21,331,954.80",19-09-2022
