Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
ALICL,602.7,615.0,593.0,"25,465.00",600.0,604.0,"15,282,059.60",10-08-2022
ALICL,602.7,615.0,593.0,"25,465.00",600.0,604.0,"15,282,059.60",10-08-2022
ALICL,602.7,615.0,593.0,"25,465.00",600.0,604.0,"15,282,059.60",10-08-2022
ALICL,608.0,608.0,592.0,"18,602.00",598.0,600.0,"11,155,224.20",11-08-2022
ALICL,608.0,608.0,592.0,"18,602.00",598.0,600.0,"11,155,224.20",12-08-2022
ALICL,608.0,608.0,592.0,"18,602.00",598.0,600.0,"11,155,224.20",13-08-2022
ALICL,600.0,605.0,585.0,"21,817.00",585.0,598.0,"12,942,114.30",14-08-2022
ALICL,575.0,615.0,574.0,"23,725.00",614.0,585.0,"14,198,340.80",15-08-2022
ALICL,613.0,621.0,585.0,"28,781.00",587.0,614.0,"17,326,716.50",16-08-2022
ALICL,596.0,597.0,585.0,"12,513.00",588.1,587.0,"7,401,787.10",17-08-2022
ALICL,588.0,608.0,588.0,"22,276.00",602.0,588.1,"13,380,591.50",18-08-2022
ALICL,588.0,608.0,588.0,"22,276.00",602.0,588.1,"13,380,591.50",19-08-2022
ALICL,588.0,608.0,588.0,"22,276.00",602.0,588.1,"13,380,591.50",20-08-2022
ALICL,613.00,614.00,593.00,"27,608.00",600.00,602.00,"16,610,941.30",21-08-2022
