Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
APHL,853.1,905.0,853.1,"26,917.00",887.0,898.0,"23,614,233.10",06-07-2026
APHL,850.0,890.0,850.0,"20,186.00",870.0,887.0,"17,581,555.50",07-07-2026
APHL,860.0,880.0,826.8,"28,726.00",857.0,870.0,"24,835,324.00",08-07-2026
APHL,850.0,932.0,807.1,"31,890.00",871.6,857.0,"27,296,535.30",09-07-2026
APHL,850.0,921.0,849.1,"45,663.00",879.9,871.6,"40,926,453.30",10-07-2026
APHL,858.0,880.0,830.0,"18,305.00",849.9,879.9,"15,511,636.30",13-07-2026
APHL,824.5,899.0,801.0,"17,614.00",835.0,849.9,"14,541,950.20",14-07-2026
APHL,809.1,867.0,809.1,"16,019.00",820.0,835.0,"13,419,003.90",15-07-2026
APHL,800.0,859.0,800.0,"9,640.00",819.0,820.0,"7,921,340.90",16-07-2026
APHL,800.1,875.5,800.1,"22,129.00",828.1,819.0,"18,827,890.70",17-07-2026
APHL,830.0,870.0,815.1,"31,993.00",843.9,828.1,"26,911,874.40",20-07-2026
APHL,832.0,873.0,830.0,"46,207.00",840.2,843.9,"39,213,458.10",21-07-2026
APHL,827.1,853.0,826.4,"19,020.00",837.5,840.2,"15,894,464.90",22-07-2026
APHL,837.0,930.0,827.0,"64,326.00",930.0,837.5,"56,764,243.20",23-07-2026
APHL,897.1,905.0,850.0,"30,226.00",852.0,905.0,"26,445,325.70",27-07-2026
APHL,809.4,877.0,809.4,"19,141.00",869.0,852.0,"16,389,420.40",28-07-2026
APHL,825.6,872.9,825.6,"17,484.00",846.0,869.0,"14,950,505.70",29-07-2026
APHL,846.0,865.0,821.2,"15,135.00",834.0,846.0,"12,587,702.90",30-07-2026
APHL,820.8,844.9,820.8,"15,695.00",839.0,834.0,"13,073,343.50",31-07-2026
APHL,815.0,860.0,815.0,"21,739.00",838.0,839.0,"18,451,513.10",03-08-2026
APHL,826.1,840.0,826.1,"10,404.00",828.6,838.0,"8,658,383.20",04-08-2026
APHL,823.0,840.0,822.0,"9,248.00",830.3,828.6,"7,686,513.40",05-08-2026
APHL,830.0,855.0,825.0,"10,218.00",828.0,830.3,"8,486,689.50",06-08-2026
APHL,825.8,834.9,824.0,"10,060.00",828.0,828.0,"8,308,517.10",07-08-2026
APHL,824.0,834.8,812.0,"7,668.00",828.0,828.0,"6,347,310.50",10-08-2026
APHL,820.0,840.0,820.0,"11,603.00",830.0,828.0,"9,619,019.20",11-08-2026
APHL,830.0,830.0,813.1,"11,981.00",815.0,830.0,"9,808,954.70",12-08-2026
APHL,810.0,821.9,806.0,"5,280.00",810.0,815.0,"4,285,577.30",13-08-2026
APHL,810.00,815.00,804.00,"6,512.00",805.00,810.00,"5,257,534.40",14-08-2026
