Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
API,261.0,268.0,260.0,"166,162.00",266.0,266.1,"43,874,461.90",10-08-2022
API,261.0,268.0,260.0,"166,162.00",266.0,266.1,"43,874,461.90",10-08-2022
API,261.0,268.0,260.0,"166,162.00",266.0,266.1,"43,874,461.90",10-08-2022
API,261.1,269.0,258.1,"116,521.00",258.1,266.0,"30,517,917.20",11-08-2022
API,261.1,269.0,258.1,"116,521.00",258.1,266.0,"30,517,917.20",12-08-2022
API,261.1,269.0,258.1,"116,521.00",258.1,266.0,"30,517,917.20",13-08-2022
API,254.0,260.7,251.0,"110,544.00",253.5,258.1,"28,122,218.00",14-08-2022
API,255.9,267.0,251.0,"175,432.00",267.0,253.5,"45,855,279.10",15-08-2022
API,272.0,274.0,258.1,"194,162.00",259.0,267.0,"51,926,221.00",16-08-2022
API,264.1,265.0,257.0,"94,330.00",261.0,259.0,"24,665,667.30",17-08-2022
API,264.0,274.0,262.1,"288,685.00",273.0,261.0,"78,026,635.50",18-08-2022
API,264.0,274.0,262.1,"288,685.00",273.0,261.0,"78,026,635.50",19-08-2022
API,264.0,274.0,262.1,"288,685.00",273.0,261.0,"78,026,635.50",20-08-2022
API,278.4,278.6,273.0,"363,159.00",275.0,273.0,"100,025,702.50",21-08-2022
API,275.0,278.6,271.0,"200,862.00",275.0,275.0,"55,207,333.50",22-08-2022
API,278.9,278.9,273.2,"197,692.00",276.9,275.0,"54,510,502.10",23-08-2022
API,275.5,282.0,273.7,"291,334.00",277.5,276.9,"80,825,127.80",24-08-2022
API,273.0,279.9,268.2,"152,557.00",270.0,277.5,"41,510,467.30",25-08-2022
API,267.3,270.1,262.3,"120,033.00",263.1,270.0,"31,794,787.30",26-08-2022
API,267.3,270.1,262.3,"120,033.00",263.1,270.0,"31,794,787.30",27-08-2022
API,266.0,266.0,251.9,"242,602.00",253.0,263.1,"62,246,698.10",28-08-2022
API,249.0,258.0,249.0,"113,983.00",255.0,253.0,"28,942,736.50",29-08-2022
API,249.9,262.1,249.9,"78,653.00",252.0,255.0,"19,918,047.10",30-08-2022
API,256.0,256.0,245.1,"96,352.00",246.0,252.0,"23,889,771.60",31-08-2022
API,246.0,260.0,242.0,"112,830.00",252.0,246.0,"28,084,078.10",01-09-2022
API,257.0,257.0,247.0,"67,074.00",249.9,252.0,"16,806,622.90",02-09-2022
API,257.0,257.0,247.0,"67,074.00",249.9,252.0,"16,806,622.90",03-09-2022
API,253.0,255.0,248.0,"60,074.00",249.5,249.9,"15,053,846.20",04-09-2022
API,249.5,253.0,246.0,"53,988.00",247.0,249.5,"13,435,595.60",05-09-2022
API,250.0,250.0,237.0,"163,829.00",237.1,247.0,"39,464,523.40",06-09-2022
API,241.8,243.9,233.0,"103,734.00",234.0,237.1,"24,380,106.00",07-09-2022
API,238.6,242.0,232.0,"84,768.00",238.4,234.0,"20,155,802.90",08-09-2022
API,238.6,242.0,232.0,"84,768.00",238.4,234.0,"20,155,802.90",09-09-2022
API,238.6,242.0,232.0,"84,768.00",238.4,234.0,"20,155,802.90",10-09-2022
API,242.9,242.9,232.0,"94,395.00",232.8,238.4,"22,243,077.50",11-09-2022
API,237.4,237.4,227.0,"99,481.00",229.0,232.8,"22,779,277.10",12-09-2022
API,225.1,235.0,225.1,"93,427.00",231.2,229.0,"21,712,049.40",13-09-2022
API,230.0,244.9,230.0,"180,015.00",241.9,231.2,"42,968,600.30",14-09-2022
API,244.0,245.0,226.0,"317,116.00",229.0,241.9,"73,516,326.90",15-09-2022
API,226.0,227.0,220.0,"123,219.00",223.3,229.0,"27,575,402.00",16-09-2022
API,226.0,227.0,220.0,"123,219.00",223.3,229.0,"27,575,402.00",17-09-2022
API,227.3,227.3,218.0,"148,803.00",218.2,223.3,"32,815,999.80",18-09-2022
API,227.3,227.3,218.0,"148,803.00",218.2,223.3,"32,815,999.80",19-09-2022
API,213.9,217.0,209.0,"143,723.00",211.5,218.2,"30,437,579.70",20-09-2022
API,211.5,218.0,210.0,"87,076.00",212.6,211.5,"18,647,105.90",21-09-2022
API,214.8,215.0,210.2,"76,107.00",210.3,212.6,"16,143,318.50",22-09-2022
API,214.8,215.0,210.2,"76,107.00",210.3,212.6,"16,143,318.50",23-09-2022
API,214.8,215.0,210.2,"76,107.00",210.3,212.6,"16,143,318.50",24-09-2022
API,212.0,212.0,203.4,"68,003.00",204.0,210.3,"14,014,704.00",25-09-2022
API,212.0,212.0,203.4,"68,003.00",204.0,210.3,"14,014,704.00",26-09-2022
API,204.0,210.4,204.0,"51,060.00",207.3,204.0,"10,596,703.40",27-09-2022
API,208.0,211.9,205.9,"47,421.00",206.0,207.3,"9,877,429.40",28-09-2022
API,209.0,210.8,207.0,"53,974.00",208.0,206.0,"11,234,258.80",29-09-2022
API,209.0,210.8,207.0,"53,974.00",208.0,206.0,"11,234,258.80",30-09-2022
API,209.0,210.8,207.0,"53,974.00",208.0,206.0,"11,234,258.80",01-10-2022
API,209.0,210.8,207.0,"53,974.00",208.0,206.0,"11,234,258.80",02-10-2022
API,209.0,210.8,207.0,"53,974.00",208.0,206.0,"11,234,258.80",03-10-2022
API,209.0,210.8,207.0,"53,974.00",208.0,206.0,"11,234,258.80",04-10-2022
API,209.0,210.8,207.0,"53,974.00",208.0,206.0,"11,234,258.80",05-10-2022
API,209.0,210.8,207.0,"53,974.00",208.0,206.0,"11,234,258.80",06-10-2022
API,209.0,210.8,207.0,"53,974.00",208.0,206.0,"11,234,258.80",07-10-2022
API,209.0,210.8,207.0,"53,974.00",208.0,206.0,"11,234,258.80",08-10-2022
API,208.0,218.2,205.0,"88,950.00",218.2,208.0,"18,917,269.30",09-10-2022
API,220.0,223.0,210.7,"69,937.00",212.3,218.2,"15,007,521.00",10-10-2022
API,215.0,215.0,208.8,"27,612.00",210.0,212.3,"5,811,335.30",11-10-2022
API,213.0,215.0,207.0,"73,768.00",214.0,210.0,"15,613,599.00",12-10-2022
API,217.0,218.2,211.0,"48,706.00",212.6,214.0,"10,393,631.30",13-10-2022
API,217.0,218.2,211.0,"48,706.00",212.6,214.0,"10,393,631.30",14-10-2022
API,217.0,218.2,211.0,"48,706.00",212.6,214.0,"10,393,631.30",15-10-2022
API,216.8,216.8,209.0,"48,594.00",210.0,212.6,"10,239,616.20",16-10-2022
API,210.0,212.0,206.8,"35,905.00",207.5,210.0,"7,503,284.50",17-10-2022
API,210.0,212.0,206.8,"35,905.00",207.5,210.0,"7,503,284.50",18-10-2022
API,209.0,209.0,202.0,"70,362.00",203.5,207.5,"14,311,055.10",19-10-2022
API,200.1,205.0,200.0,"41,756.00",203.2,203.5,"8,471,306.80",20-10-2022
API,200.1,205.0,200.0,"41,756.00",203.2,203.5,"8,471,306.80",21-10-2022
API,200.1,205.0,200.0,"41,756.00",203.2,203.5,"8,471,306.80",22-10-2022
API,203.0,206.0,202.0,"27,822.00",205.0,203.2,"5,701,041.10",23-10-2022
API,203.0,206.0,202.0,"27,822.00",205.0,203.2,"5,701,041.10",24-10-2022
