Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
BANDIPUR,737.1,740.5,725.5,"10,680.00",727.0,746.0,"7,834,272.70",06-07-2026
BANDIPUR,725.0,745.0,725.0,"10,249.00",737.9,727.0,"7,516,694.00",07-07-2026
BANDIPUR,726.0,743.0,722.2,"10,025.00",727.0,737.9,"7,289,784.60",08-07-2026
BANDIPUR,721.0,725.0,710.0,"12,877.00",713.0,727.0,"9,234,454.90",09-07-2026
BANDIPUR,701.0,721.0,701.0,"22,188.00",701.1,713.0,"15,729,041.60",10-07-2026
BANDIPUR,705.0,705.0,660.3,"36,952.00",665.0,701.1,"25,101,635.40",13-07-2026
BANDIPUR,652.5,672.0,635.0,"28,561.00",668.0,665.0,"18,733,012.70",14-07-2026
BANDIPUR,655.0,680.0,655.0,"25,458.00",675.0,668.0,"17,164,704.20",15-07-2026
BANDIPUR,708.1,708.1,655.0,"16,750.00",661.0,675.0,"11,233,643.30",16-07-2026
BANDIPUR,666.0,710.0,666.0,"23,565.00",705.0,661.0,"16,393,594.60",17-07-2026
BANDIPUR,740.0,745.0,706.0,"39,527.00",744.0,705.0,"28,902,351.80",20-07-2026
BANDIPUR,746.0,781.8,735.0,"44,061.00",745.0,744.0,"33,253,975.10",21-07-2026
BANDIPUR,740.0,750.0,735.0,"20,471.00",739.1,745.0,"15,200,698.00",22-07-2026
BANDIPUR,723.0,760.0,723.0,"30,521.00",760.0,739.1,"22,715,386.50",23-07-2026
BANDIPUR,758.0,763.0,725.0,"26,143.00",730.0,763.0,"19,353,306.90",27-07-2026
BANDIPUR,730.0,741.0,718.0,"18,696.00",730.0,730.0,"13,655,794.60",28-07-2026
BANDIPUR,721.1,742.7,721.1,"13,667.00",722.2,730.0,"10,002,163.20",29-07-2026
BANDIPUR,729.0,735.0,710.6,"17,645.00",719.8,722.2,"12,675,183.80",30-07-2026
BANDIPUR,711.0,728.0,703.1,"34,075.00",727.0,719.8,"24,312,461.40",31-07-2026
BANDIPUR,727.0,739.0,718.0,"12,012.00",724.0,727.0,"8,712,027.00",03-08-2026
BANDIPUR,711.0,720.0,700.0,"25,586.00",706.0,724.0,"18,118,577.00",04-08-2026
BANDIPUR,700.0,712.0,700.0,"8,876.00",709.9,706.0,"6,278,273.10",05-08-2026
BANDIPUR,709.0,710.0,685.0,"28,780.00",697.0,709.9,"20,128,570.30",06-08-2026
BANDIPUR,695.0,701.0,675.0,"34,855.00",692.0,697.0,"23,910,208.70",07-08-2026
BANDIPUR,685.00,693.00,679.30,"30,104.00",680.00,692.00,"20,561,204.00",10-08-2026
