Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
BBC,"3,686.00","3,700.00","3,665.00",60.0,"3,680.00","3,686.00","221,170.00",10-08-2022
BBC,"3,686.00","3,700.00","3,665.00",60.0,"3,680.00","3,686.00","221,170.00",10-08-2022
BBC,"3,686.00","3,700.00","3,665.00",60.0,"3,680.00","3,686.00","221,170.00",10-08-2022
BBC,"3,718.90","3,720.00","3,673.00",80.0,"3,720.00","3,680.00","296,569.00",11-08-2022
BBC,"3,718.90","3,720.00","3,673.00",80.0,"3,720.00","3,680.00","296,569.00",12-08-2022
BBC,"3,718.90","3,720.00","3,673.00",80.0,"3,720.00","3,680.00","296,569.00",13-08-2022
BBC,"3,700.00","3,730.00","3,671.00",190.0,"3,671.00","3,720.00","704,921.00",14-08-2022
BBC,"3,671.00","3,750.00","3,671.00",133.0,"3,750.00","3,671.00","494,770.00",15-08-2022
BBC,"3,800.00","3,800.00","3,650.60",325.0,"3,650.60","3,750.00","1,198,174.90",16-08-2022
BBC,"3,700.00","3,745.00","3,600.00",463.0,"3,600.00","3,650.60","1,687,983.00",17-08-2022
BBC,"3,672.00","3,720.00","3,672.00",130.0,"3,680.00","3,600.00","480,340.00",18-08-2022
BBC,"3,672.00","3,720.00","3,672.00",130.0,"3,680.00","3,600.00","480,340.00",19-08-2022
BBC,"3,672.00","3,720.00","3,672.00",130.0,"3,680.00","3,600.00","480,340.00",20-08-2022
BBC,"3,700.00","3,700.00","3,631.10",75.0,"3,631.10","3,680.00","273,746.50",21-08-2022
BBC,"3,635.10","3,635.10","3,606.40",70.0,"3,620.00","3,631.10","253,455.00",22-08-2022
BBC,"3,600.00","3,601.00","3,590.00",90.0,"3,600.00","3,620.00","323,850.00",23-08-2022
BBC,"3,610.00","3,610.00","3,604.30",100.0,"3,604.30","3,600.00","360,594.00",24-08-2022
BBC,"3,600.00","3,600.00","3,550.00",240.00,"3,550.10","3,604.30","854,009.00",25-08-2022
