Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
BGWT,575.0,592.0,559.0,"2,225.00",560.0,559.0,"1,248,550.00",06-07-2026
BGWT,560.0,569.1,550.5,"2,621.00",569.1,560.0,"1,474,231.10",07-07-2026
BGWT,553.0,563.0,550.0,"3,167.00",562.9,569.1,"1,757,399.00",08-07-2026
BGWT,562.9,562.9,550.0,"1,165.00",560.0,562.9,"644,186.60",09-07-2026
BGWT,532.0,558.0,516.1,"5,738.00",516.1,560.0,"3,111,093.70",10-07-2026
BGWT,517.0,529.9,517.0,843.00,520.0,516.1,"439,069.70",13-07-2026
BGWT,534.5,550.0,525.0,"2,957.00",550.0,520.0,"1,580,929.50",14-07-2026
BGWT,555.0,565.0,544.1,"2,037.00",545.0,550.0,"1,127,456.70",15-07-2026
BGWT,546.0,561.3,546.0,"1,434.00",546.0,545.0,"795,639.90",16-07-2026
BGWT,562.3,596.0,550.1,"2,281.00",560.0,546.0,"1,302,758.50",17-07-2026
BGWT,560.00,591.30,560.00,"5,118.00",590.00,560.00,"3,007,801.40",20-07-2026
