Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
BHDC,477.3,484.5,470.0,"14,665.00",477.0,487.0,"6,969,095.00",10-08-2022
BHDC,477.3,484.5,470.0,"14,665.00",477.0,487.0,"6,969,095.00",10-08-2022
BHDC,477.3,484.5,470.0,"14,665.00",477.0,487.0,"6,969,095.00",10-08-2022
BHDC,468.0,499.0,468.0,"18,162.00",468.0,477.0,"8,653,948.50",11-08-2022
BHDC,468.0,499.0,468.0,"18,162.00",468.0,477.0,"8,653,948.50",12-08-2022
BHDC,468.0,499.0,468.0,"18,162.00",468.0,477.0,"8,653,948.50",13-08-2022
BHDC,463.6,486.0,458.7,"15,793.00",459.2,468.0,"7,290,647.90",14-08-2022
BHDC,459.0,475.2,450.0,"12,940.00",475.0,459.2,"6,051,166.60",15-08-2022
BHDC,469.9,493.0,458.0,"23,137.00",467.0,475.0,"10,775,743.50",16-08-2022
BHDC,460.0,480.0,453.0,"26,513.00",475.0,467.0,"12,493,178.50",17-08-2022
BHDC,484.0,499.5,466.1,"21,993.00",489.0,475.0,"10,776,042.10",18-08-2022
BHDC,484.0,499.5,466.1,"21,993.00",489.0,475.0,"10,776,042.10",19-08-2022
BHDC,484.0,499.5,466.1,"21,993.00",489.0,475.0,"10,776,042.10",20-08-2022
BHDC,498.7,505.0,475.0,"15,918.00",476.0,489.0,"7,703,424.70",21-08-2022
BHDC,466.5,495.0,465.2,"10,150.00",481.4,476.0,"4,786,722.00",22-08-2022
BHDC,471.8,480.0,467.0,"5,090.00",479.0,481.4,"2,414,028.00",23-08-2022
BHDC,469.5,480.0,461.1,"9,780.00",472.0,479.0,"4,621,758.00",24-08-2022
BHDC,472.0,480.0,460.1,"13,306.00",461.0,472.0,"6,197,379.50",25-08-2022
BHDC,457.0,457.0,449.0,"5,720.00",454.9,461.0,"2,585,807.00",26-08-2022
BHDC,457.0,457.0,449.0,"5,720.00",454.9,461.0,"2,585,807.00",27-08-2022
BHDC,445.9,455.9,428.5,"16,573.00",445.0,454.9,"7,315,287.60",28-08-2022
BHDC,437.0,452.0,423.3,"10,911.00",440.0,445.0,"4,750,252.40",29-08-2022
BHDC,432.0,456.0,432.0,"3,151.00",434.0,440.0,"1,374,277.00",30-08-2022
BHDC,430.0,450.0,412.0,"8,330.00",414.0,434.0,"3,510,895.30",31-08-2022
BHDC,406.1,433.0,400.7,"5,130.00",429.0,414.0,"2,141,765.00",01-09-2022
BHDC,420.6,444.7,420.1,"1,210.00",421.0,429.0,"513,124.00",02-09-2022
BHDC,420.6,444.7,420.1,"1,210.00",421.0,429.0,"513,124.00",03-09-2022
BHDC,415.0,444.0,415.0,"5,245.00",429.0,421.0,"2,235,917.00",04-09-2022
BHDC,423.6,437.5,423.6,"3,360.00",425.4,429.0,"1,438,730.00",05-09-2022
BHDC,418.0,433.0,412.0,"4,421.00",426.0,425.4,"1,854,474.20",06-09-2022
BHDC,417.6,430.0,411.0,"1,750.00",421.4,426.0,"732,858.00",07-09-2022
BHDC,421.0,437.0,416.7,"3,940.00",437.0,421.4,"1,675,343.00",08-09-2022
BHDC,421.0,437.0,416.7,"3,940.00",437.0,421.4,"1,675,343.00",09-09-2022
BHDC,421.0,437.0,416.7,"3,940.00",437.0,421.4,"1,675,343.00",10-09-2022
BHDC,431.0,439.0,422.6,"3,400.00",427.0,437.0,"1,451,418.00",11-09-2022
BHDC,418.7,421.0,416.0,"3,030.00",420.0,427.0,"1,266,798.00",12-09-2022
BHDC,415.0,436.5,415.0,"3,790.00",421.0,420.0,"1,595,917.00",13-09-2022
BHDC,415.0,440.0,415.0,"13,157.00",437.0,421.0,"5,643,859.80",14-09-2022
BHDC,429.0,430.0,403.1,"10,060.00",411.0,437.0,"4,172,264.50",15-09-2022
BHDC,402.8,423.3,389.0,"5,390.00",423.0,411.0,"2,165,341.00",16-09-2022
BHDC,402.8,423.3,389.0,"5,390.00",423.0,411.0,"2,165,341.00",17-09-2022
BHDC,414.6,414.6,394.0,"5,110.00",409.0,423.0,"2,048,021.00",18-09-2022
BHDC,414.6,414.6,394.0,"5,110.00",409.0,423.0,"2,048,021.00",19-09-2022
BHDC,405.0,405.0,380.0,"4,161.00",388.0,409.0,"1,614,934.00",20-09-2022
