Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
BOKD86KA,"1,211.10","1,211.10","1,211.00",75.0,"1,211.00","1,240.00","90,827.50",06-07-2026
BOKD86KA,"1,247.00","1,247.00","1,247.00",10.0,"1,247.00","1,211.00","12,470.00",07-07-2026
BOKD86KA,"1,209.60","1,209.60","1,139.00",40.0,"1,139.00","1,247.00","46,616.00",09-07-2026
BOKD86KA,"1,142.00","1,149.00","1,142.00","145,730.00","1,146.50","1,139.00","166,865,535.00",10-07-2026
BOKD86KA,"1,146.50","1,146.50","1,146.50",9.00,"1,140.00","1,146.50","10,260.00",13-07-2026
BOKD86KA,"1,174.00","1,245.00","1,169.00","120,058.00","1,169.00","1,140.00","140,701,236.00",14-07-2026
BOKD86KA,"1,169.00","1,169.00","1,134.00",136.00,"1,134.00","1,169.00","155,484.00",22-07-2026
BOKD86KA,"1,102.00","1,102.00","1,100.00",25.00,"1,100.00","1,134.00","27,530.00",23-07-2026
BOKD86KA,"1,145.00","1,145.40","1,145.00","4,703.00","1,145.40","1,145.00","5,386,815.30",27-07-2026
BOKD86KA,"1,145.40","1,145.40","1,145.40",9.00,"1,145.40","1,145.40","10,308.60",29-07-2026
BOKD86KA,"1,111.10","1,111.10","1,111.10",50.00,"1,111.10","1,145.40","55,555.00",07-08-2026
