Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
BPW,233.1,237.7,233.1,30.0,237.7,0.0,"7,007.00",04-05-2023
BPW,233.1,237.7,233.1,30.0,237.7,0.0,"7,007.00",05-05-2023
BPW,233.1,237.7,233.1,30.0,237.7,0.0,"7,007.00",06-05-2023
BPW,237.7,237.7,237.7,25.0,237.7,237.7,"5,856.00",07-05-2023
BPW,242.4,247.2,242.4,20.0,247.2,237.7,"4,896.00",08-05-2023
BPW,247.2,247.2,247.2,5.0,247.2,247.2,"1,248.50",09-05-2023
BPW,252.1,257.1,252.1,20.0,257.1,247.2,"5,092.00",10-05-2023
BPW,262.2,262.2,262.2,10.0,262.2,257.1,"2,622.00",14-05-2023
BPW,267.4,267.4,267.4,10.0,267.4,262.2,"2,674.00",15-05-2023
BPW,272.7,283.6,272.7,30.0,283.6,267.4,"8,344.00",17-05-2023
BPW,289.2,294.9,289.2,20.0,294.9,283.6,"5,841.00",21-05-2023
BPW,300.7,306.7,300.7,20.0,306.7,294.9,"6,074.00",22-05-2023
BPW,312.8,319.0,312.8,20.0,319.0,306.7,"6,318.00",23-05-2023
BPW,325.3,331.8,325.3,20.0,331.8,319.0,"6,571.00",24-05-2023
BPW,325.3,331.8,325.3,20.0,331.8,319.0,"6,571.00",25-05-2023
BPW,325.3,331.8,325.3,20.0,331.8,319.0,"6,571.00",26-05-2023
BPW,325.3,331.8,325.3,20.0,331.8,319.0,"6,571.00",27-05-2023
BPW,332.0,338.6,332.0,30.0,338.6,331.8,"9,976.00",28-05-2023
BPW,332.0,338.6,332.0,30.0,338.6,331.8,"9,976.00",29-05-2023
BPW,338.0,372.4,338.0,80.0,372.4,338.6,"28,439.00",30-05-2023
BPW,379.8,379.8,379.8,10.0,379.8,372.4,"3,798.00",31-05-2023
BPW,387.3,402.9,387.3,30.0,402.9,379.8,"11,852.00",01-06-2023
BPW,387.3,402.9,387.3,30.0,402.9,379.8,"11,852.00",02-06-2023
BPW,387.3,402.9,387.3,30.0,402.9,379.8,"11,852.00",03-06-2023
BPW,410.9,410.9,410.9,20.0,410.9,402.9,"8,139.00",04-06-2023
BPW,419.1,427.4,419.1,30.0,427.4,410.9,"12,596.00",05-06-2023
BPW,435.9,444.6,435.9,20.0,444.6,427.4,"8,805.00",06-06-2023
BPW,453.4,471.6,453.4,30.0,471.6,444.6,"13,874.00",08-06-2023
BPW,453.4,471.6,453.4,30.0,471.6,444.6,"13,874.00",09-06-2023
BPW,453.4,471.6,453.4,30.0,471.6,444.6,"13,874.00",10-06-2023
BPW,481.0,490.6,481.0,40.0,490.6,471.6,"19,355.00",11-06-2023
BPW,500.4,510.4,500.4,20.0,510.4,490.6,"10,108.00",12-06-2023
BPW,520.6,541.6,520.6,30.0,541.6,510.4,"15,932.00",13-06-2023
BPW,552.4,563.4,552.4,20.0,563.4,541.6,"11,158.00",14-06-2023
BPW,574.6,609.6,574.6,60.0,609.6,563.4,"35,871.00",15-06-2023
BPW,574.6,609.6,574.6,60.0,609.6,563.4,"35,871.00",16-06-2023
BPW,574.6,609.6,574.6,60.0,609.6,563.4,"35,871.00",17-06-2023
BPW,621.7,621.7,621.7,10.0,621.7,609.6,"6,217.00",18-06-2023
BPW,634.1,683.8,634.1,313.0,683.8,621.7,"212,808.40",19-06-2023
BPW,697.4,752.1,697.4,70.0,752.1,683.8,"51,305.00",20-06-2023
BPW,767.1,798.0,767.1,30.0,798.0,752.1,"23,475.00",21-06-2023
BPW,813.9,877.8,813.9,70.0,877.8,798.0,"59,076.00",22-06-2023
BPW,813.9,877.8,813.9,70.0,877.8,798.0,"59,076.00",23-06-2023
BPW,813.9,877.8,813.9,70.0,877.8,798.0,"59,076.00",24-06-2023
BPW,895.3,965.5,895.3,130.0,965.5,877.8,"123,794.00",25-06-2023
BPW,984.8,"1,062.00",984.8,324.0,"1,062.00",965.5,"342,192.00",26-06-2023
BPW,"1,083.20","1,168.20","1,083.20",120.00,"1,168.20","1,062.00","138,097.00",27-06-2023
