Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
C30MF,9.92,9.92,9.92,600.0,9.92,10.18,"5,952.00",06-07-2026
C30MF,9.81,10.2,9.81,"25,050.00",10.2,9.92,"255,461.00",07-07-2026
C30MF,9.93,10.24,9.93,"1,360.00",10.24,10.2,"13,685.40",08-07-2026
C30MF,10.01,10.01,10.01,200.00,10.01,10.24,"2,002.00",10-07-2026
C30MF,10.1,10.1,9.93,"30,100.00",9.93,10.01,"301,493.00",13-07-2026
C30MF,10.01,10.02,10.01,"3,020.00",10.02,9.93,"30,235.70",14-07-2026
C30MF,9.73,10.0,9.73,"21,920.00",9.75,10.02,"216,416.80",15-07-2026
C30MF,9.75,10.2,9.75,740.00,10.2,9.75,"7,458.00",16-07-2026
C30MF,10.2,10.2,10.2,"15,000.00",10.2,10.2,"153,000.00",17-07-2026
C30MF,10.0,10.1,10.0,"6,200.00",10.02,10.2,"62,102.00",20-07-2026
C30MF,10.0,10.01,10.0,"11,100.00",10.01,10.02,"111,001.00",21-07-2026
C30MF,10.0,10.1,10.0,"13,380.00",10.09,10.01,"134,764.20",22-07-2026
C30MF,10.0,10.22,10.0,200.00,10.22,10.09,"2,022.00",23-07-2026
C30MF,9.69,9.7,9.69,300.00,9.7,9.96,"2,909.00",27-07-2026
C30MF,9.8,10.07,9.8,"8,500.00",10.07,9.7,"85,568.00",28-07-2026
C30MF,9.8,10.07,9.8,"10,100.00",10.07,10.07,"101,680.00",30-07-2026
C30MF,10.07,10.07,10.07,100.00,10.07,10.07,"1,007.00",31-07-2026
C30MF,10.1,10.4,10.0,"289,930.00",10.1,10.07,"2,930,275.00",03-08-2026
C30MF,10.01,10.40,10.01,"4,125.00",10.09,10.10,"42,253.75",04-08-2026
