Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
CCBD88,"1,289.00","1,290.00","1,258.10","10,430.00","1,258.10","1,297.00","13,125,821.00",06-07-2026
CCBD88,"1,295.00","1,295.00","1,265.00",60.00,"1,265.00","1,258.10","76,200.00",07-07-2026
CCBD88,"1,228.00","1,228.00","1,228.00",25.00,"1,228.00","1,265.00","30,700.00",09-07-2026
CCBD88,"1,211.00","1,230.00","1,200.00","10,010.00","1,230.00","1,228.00","12,018,300.00",10-07-2026
CCBD88,"1,230.00","1,230.00","1,220.00",75.00,"1,220.00","1,230.00","91,750.00",13-07-2026
CCBD88,"1,256.00","1,313.00","1,256.00","4,726.00","1,313.00","1,220.00","6,133,912.00",14-07-2026
CCBD88,"1,290.00","1,326.00","1,255.00","151,035.00","1,326.00","1,313.00","189,588,760.00",16-07-2026
CCBD88,"1,326.00","1,326.00","1,215.40","5,001.00","1,215.40","1,326.00","6,078,318.90",27-07-2026
CCBD88,"1,190.00","1,190.00","1,190.00",10.00,"1,190.00","1,215.40","11,900.00",30-07-2026
CCBD88,"1,177.00","1,177.00","1,177.00",25.00,"1,177.00","1,190.00","29,425.00",05-08-2026
CCBD88,"1,177.00","1,177.00","1,177.00",25.00,"1,177.00","1,177.00","29,425.00",06-08-2026
CCBD88,"1,165.00","1,165.00","1,165.00",25.00,"1,165.00","1,177.00","29,125.00",10-08-2026
CCBD88,"1,182.00","1,182.00","1,182.00",25.00,"1,182.00","1,165.00","29,550.00",11-08-2026
CCBD88,"1,205.00","1,205.00","1,205.00",25.00,"1,175.00","1,182.00","29,885.00",13-08-2026
CCBD88,"1,170.00","1,205.00","1,170.00",50.00,"1,205.00","1,175.00","59,375.00",17-08-2026
CCBD88,"1,190.00","1,190.00","1,190.00",25.00,"1,190.00","1,205.00","29,750.00",18-08-2026
CCBD88,"1,190.00","1,190.00","1,190.00",25.00,"1,190.00","1,190.00","29,750.00",19-08-2026
CCBD88,"1,220.00","1,220.00","1,220.00",17.00,"1,220.00","1,190.00","20,740.00",20-08-2026
