Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
CGH,"1,052.00","1,082.00","1,052.00","2,529.00","1,060.00","1,066.00","2,709,708.80",10-08-2022
CGH,"1,052.00","1,082.00","1,052.00","2,529.00","1,060.00","1,066.00","2,709,708.80",10-08-2022
CGH,"1,052.00","1,082.00","1,052.00","2,529.00","1,060.00","1,066.00","2,709,708.80",10-08-2022
CGH,"1,081.20","1,081.20","1,046.10","2,100.00","1,046.10","1,060.00","2,215,481.00",11-08-2022
CGH,"1,081.20","1,081.20","1,046.10","2,100.00","1,046.10","1,060.00","2,215,481.00",12-08-2022
CGH,"1,081.20","1,081.20","1,046.10","2,100.00","1,046.10","1,060.00","2,215,481.00",13-08-2022
CGH,"1,033.00","1,050.00","1,033.00","1,202.00","1,033.00","1,046.10","1,251,057.00",14-08-2022
CGH,"1,033.00","1,073.00","1,033.00","1,535.00","1,066.00","1,033.00","1,624,619.80",15-08-2022
CGH,"1,061.00","1,087.00","1,046.00","4,179.00","1,061.90","1,066.00","4,439,890.50",16-08-2022
CGH,"1,043.00","1,058.00","1,043.00","1,872.00","1,058.00","1,061.90","1,959,711.00",17-08-2022
CGH,"1,042.00","1,075.00","1,042.00","1,135.00","1,065.00","1,058.00","1,205,030.00",18-08-2022
CGH,"1,042.00","1,075.00","1,042.00","1,135.00","1,065.00","1,058.00","1,205,030.00",19-08-2022
CGH,"1,042.00","1,075.00","1,042.00","1,135.00","1,065.00","1,058.00","1,205,030.00",20-08-2022
CGH,"1,086.00","1,086.00","1,060.00","3,048.00","1,070.00","1,065.00","3,261,906.00",21-08-2022
CGH,"1,051.00","1,065.00","1,040.00",916.00,"1,060.00","1,070.00","963,984.00",22-08-2022
CGH,"1,060.00","1,070.00","1,047.40","1,660.00","1,048.10","1,060.00","1,747,774.80",23-08-2022
CGH,"1,069.00","1,069.00","1,051.10","1,518.00","1,053.00","1,048.10","1,603,275.70",24-08-2022
CGH,"1,050.00","1,058.00","1,038.00","2,713.00","1,038.00","1,053.00","2,838,030.80",25-08-2022
CGH,"1,028.50","1,045.00","1,025.00","3,055.00","1,042.00","1,038.00","3,137,661.00",26-08-2022
CGH,"1,028.50","1,045.00","1,025.00","3,055.00","1,042.00","1,038.00","3,137,661.00",27-08-2022
CGH,"1,040.00","1,044.00","1,010.00","2,301.00","1,011.00","1,042.00","2,341,897.20",28-08-2022
CGH,995.00,"1,024.00",995.00,695.00,"1,024.00","1,011.00","700,994.00",29-08-2022
CGH,"1,020.00","1,025.00","1,014.50",547.00,"1,015.00","1,024.00","555,565.90",30-08-2022
CGH,"1,020.00","1,020.00",996.00,"1,583.00","1,005.00","1,015.00","1,588,376.60",31-08-2022
CGH,"1,001.10","1,019.90",995.00,"1,208.00","1,019.90","1,005.00","1,216,727.00",01-09-2022
