Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
CHDC,750.0,785.5,746.0,"11,953.00",775.0,755.0,"9,140,004.00",10-08-2022
CHDC,750.0,785.5,746.0,"11,953.00",775.0,755.0,"9,140,004.00",10-08-2022
CHDC,750.0,785.5,746.0,"11,953.00",775.0,755.0,"9,140,004.00",10-08-2022
CHDC,769.9,784.0,758.0,"9,996.00",774.9,775.0,"7,680,268.30",11-08-2022
CHDC,769.9,784.0,758.0,"9,996.00",774.9,775.0,"7,680,268.30",12-08-2022
CHDC,769.9,784.0,758.0,"9,996.00",774.9,775.0,"7,680,268.30",13-08-2022
CHDC,760.0,774.0,750.0,"6,840.00",756.0,774.9,"5,192,569.00",14-08-2022
CHDC,746.0,780.0,744.0,"9,416.00",778.6,756.0,"7,257,538.00",15-08-2022
CHDC,767.0,782.0,757.0,"16,448.00",764.4,778.6,"12,610,807.70",16-08-2022
CHDC,751.0,769.0,750.0,"7,966.00",757.8,764.4,"6,012,864.00",17-08-2022
CHDC,750.0,772.0,750.0,"13,195.00",760.5,757.8,"10,091,886.00",18-08-2022
CHDC,750.0,772.0,750.0,"13,195.00",760.5,757.8,"10,091,886.00",19-08-2022
CHDC,750.0,772.0,750.0,"13,195.00",760.5,757.8,"10,091,886.00",20-08-2022
CHDC,746.0,774.0,746.0,"3,700.00",751.1,760.5,"2,812,755.00",21-08-2022
CHDC,740.1,765.0,740.1,"10,779.00",750.2,751.1,"8,114,239.90",22-08-2022
CHDC,750.00,760.00,745.10,"2,610.00",751.00,750.20,"1,965,245.00",23-08-2022
