Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
CHL,294.7,294.7,277.4,"18,693.00",284.0,289.0,"5,281,551.30",10-08-2022
CHL,294.7,294.7,277.4,"18,693.00",284.0,289.0,"5,281,551.30",10-08-2022
CHL,294.7,294.7,277.4,"18,693.00",284.0,289.0,"5,281,551.30",10-08-2022
CHL,289.6,295.0,270.0,"15,257.00",271.0,284.0,"4,226,529.80",11-08-2022
CHL,289.6,295.0,270.0,"15,257.00",271.0,284.0,"4,226,529.80",12-08-2022
CHL,289.6,295.0,270.0,"15,257.00",271.0,284.0,"4,226,529.80",13-08-2022
CHL,265.6,270.0,259.0,"16,222.00",263.0,271.0,"4,296,980.70",14-08-2022
CHL,260.0,280.0,260.0,"13,759.00",280.0,263.0,"3,728,140.70",15-08-2022
CHL,280.0,284.1,265.0,"20,219.00",270.0,280.0,"5,471,279.20",16-08-2022
CHL,275.0,275.0,265.0,"5,287.00",265.0,270.0,"1,414,162.80",17-08-2022
CHL,270.0,275.0,267.0,"11,538.00",273.0,265.0,"3,129,109.40",18-08-2022
CHL,270.0,275.0,267.0,"11,538.00",273.0,265.0,"3,129,109.40",19-08-2022
CHL,270.0,275.0,267.0,"11,538.00",273.0,265.0,"3,129,109.40",20-08-2022
CHL,270.0,277.0,261.0,"21,564.00",267.0,273.0,"5,769,050.60",21-08-2022
CHL,261.7,269.4,261.7,"5,879.00",264.0,267.0,"1,556,643.30",22-08-2022
CHL,262.0,265.0,261.1,"3,761.00",263.9,264.0,"987,832.70",23-08-2022
CHL,260.0,268.0,260.0,"15,205.00",266.0,263.9,"4,015,124.60",24-08-2022
CHL,269.0,269.0,256.0,"4,852.00",256.0,266.0,"1,265,007.50",25-08-2022
CHL,255.0,255.0,246.0,"7,047.00",251.0,256.0,"1,769,533.00",26-08-2022
CHL,255.0,255.0,246.0,"7,047.00",251.0,256.0,"1,769,533.00",27-08-2022
CHL,247.0,255.0,237.0,"24,457.00",237.0,251.0,"5,936,367.50",28-08-2022
CHL,239.0,244.8,235.0,"10,327.00",243.0,237.0,"2,476,602.30",29-08-2022
CHL,243.0,245.9,240.2,"2,340.00",243.0,243.0,"565,789.50",30-08-2022
CHL,245.0,245.0,236.0,"3,037.00",236.1,243.0,"722,112.60",31-08-2022
CHL,233.0,240.8,229.0,"8,253.00",238.0,236.1,"1,933,915.50",01-09-2022
CHL,239.2,241.0,236.0,"2,076.00",236.0,238.0,"495,467.10",02-09-2022
CHL,239.2,241.0,236.0,"2,076.00",236.0,238.0,"495,467.10",03-09-2022
CHL,238.0,243.0,236.0,"3,579.00",240.5,236.0,"857,159.50",04-09-2022
CHL,243.0,243.0,237.2,"3,092.00",240.0,240.5,"741,213.60",05-09-2022
CHL,235.3,239.0,235.0,"2,050.00",235.0,240.0,"482,220.50",06-09-2022
CHL,234.0,235.0,230.7,"3,075.00",231.0,235.0,"713,475.00",07-09-2022
CHL,230.0,240.0,227.0,"5,698.00",240.0,231.0,"1,324,075.00",08-09-2022
CHL,230.0,240.0,227.0,"5,698.00",240.0,231.0,"1,324,075.00",09-09-2022
CHL,230.0,240.0,227.0,"5,698.00",240.0,231.0,"1,324,075.00",10-09-2022
