Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
CITY,111.1,122.2,111.1,376.0,122.2,111.1,"44,410.10",11-06-2023
CITY,120.8,134.4,120.8,279.0,134.4,122.2,"35,902.70",12-06-2023
CITY,135.7,147.8,135.7,201.0,147.8,134.4,"28,811.20",13-06-2023
CITY,150.7,162.5,150.7,167.0,162.5,147.8,"26,066.50",14-06-2023
CITY,165.7,178.7,165.7,122.0,178.7,162.5,"21,388.80",15-06-2023
CITY,165.7,178.7,165.7,122.0,178.7,162.5,"21,388.80",16-06-2023
CITY,165.7,178.7,165.7,122.0,178.7,162.5,"21,388.80",17-06-2023
CITY,182.2,196.5,182.2,240.0,196.5,178.7,"46,418.80",18-06-2023
CITY,193.3,216.1,193.3,370.0,216.1,196.5,"79,108.80",19-06-2023
CITY,220.4,237.7,220.4,379.0,237.7,216.1,"89,407.70",20-06-2023
CITY,242.4,261.4,242.4,411.0,261.4,237.7,"106,550.30",21-06-2023
CITY,265.0,287.5,265.0,650.0,287.5,261.4,"185,994.80",22-06-2023
CITY,265.0,287.5,265.0,650.0,287.5,261.4,"185,994.80",23-06-2023
CITY,265.0,287.5,265.0,650.0,287.5,261.4,"185,994.80",24-06-2023
CITY,293.2,316.2,293.2,"1,379.00",316.2,287.5,"435,131.00",25-06-2023
CITY,315.0,347.8,315.0,"1,571.00",347.8,316.2,"545,021.40",26-06-2023
CITY,350.8,382.5,350.8,"1,170.00",382.5,347.8,"446,232.50",27-06-2023
CITY,390.1,420.7,390.1,"2,020.00",420.7,382.5,"848,981.20",28-06-2023
CITY,390.1,420.7,390.1,"2,020.00",420.7,382.5,"848,981.20",29-06-2023
CITY,390.1,420.7,390.1,"2,020.00",420.7,382.5,"848,981.20",30-06-2023
CITY,390.1,420.7,390.1,"2,020.00",420.7,382.5,"848,981.20",01-07-2023
CITY,429.0,462.7,429.0,"3,300.00",462.7,420.7,"1,523,889.10",02-07-2023
CITY,471.0,508.9,471.0,"6,980.00",508.9,462.7,"3,549,917.90",03-07-2023
CITY,519.0,559.7,519.0,"7,617.00",559.7,508.9,"4,261,095.30",04-07-2023
CITY,570.8,615.6,570.8,"9,080.00",615.6,559.7,"5,585,798.80",05-07-2023
CITY,627.9,677.1,591.0,"231,095.00",677.1,615.6,"147,361,945.70",06-07-2023
CITY,627.9,677.1,591.0,"231,095.00",677.1,615.6,"147,361,945.70",07-07-2023
CITY,627.9,677.1,591.0,"231,095.00",677.1,615.6,"147,361,945.70",08-07-2023
CITY,690.6,744.0,650.0,"62,258.00",741.5,677.1,"44,747,371.80",09-07-2023
CITY,726.7,740.0,695.0,"126,319.00",695.1,741.5,"90,162,762.10",10-07-2023
CITY,685.0,715.0,671.0,"58,697.00",686.0,695.1,"40,357,844.00",11-07-2023
CITY,675.00,692.00,673.00,"33,430.00",690.00,686.00,"22,821,111.80",12-07-2023
