Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
CIZBD90,"1,202.00","1,202.00","1,202.00",50.0,"1,202.00","1,202.00","60,100.00",06-07-2026
CIZBD90,"1,215.00","1,215.00","1,106.00","12,270.00","1,106.00","1,202.00","14,899,297.00",07-07-2026
CIZBD90,"1,139.10","1,150.00","1,010.00","93,146.00","1,204.10","1,106.00","103,582,705.00",08-07-2026
CIZBD90,"1,210.00","1,225.00","1,195.00","4,705.00","1,225.00","1,204.10","5,692,915.00",10-07-2026
CIZBD90,"1,188.30","1,189.60","1,155.00","1,295.00","1,175.00","1,225.00","1,511,164.50",13-07-2026
CIZBD90,"1,175.00","1,210.00","1,173.70","3,920.00","1,210.00","1,175.00","4,688,113.70",14-07-2026
CIZBD90,"1,224.00","1,230.00","1,224.00",215.00,"1,230.00","1,210.00","263,849.00",15-07-2026
CIZBD90,"1,225.00","1,245.00","1,210.00","101,780.00","1,210.00","1,230.00","126,688,876.50",16-07-2026
CIZBD90,"1,175.00","1,175.00","1,175.00","1,900.00","1,175.00","1,210.00","2,232,500.00",17-07-2026
CIZBD90,"1,177.00","1,215.00","1,177.00",75.00,"1,215.00","1,175.00","89,300.00",21-07-2026
CIZBD90,"1,215.00","1,240.00","1,215.00",450.00,"1,240.00","1,215.00","550,925.00",23-07-2026
CIZBD90,"1,211.00","1,220.00","1,211.00",145.00,"1,211.00","1,240.00","175,780.00",28-07-2026
CIZBD90,"1,190.00","1,190.00","1,190.00",25.00,"1,190.00","1,211.00","29,750.00",05-08-2026
CIZBD90,"1,225.00","1,225.70","1,225.00",125.00,"1,225.70","1,190.00","153,205.20",10-08-2026
CIZBD90,"1,220.00","1,220.00","1,220.00",25.00,"1,220.00","1,225.70","30,500.00",11-08-2026
