Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
CORBL,309.7,327.9,303.6,"9,401.00",313.0,316.0,"2,958,836.10",10-08-2022
CORBL,309.7,327.9,303.6,"9,401.00",313.0,316.0,"2,958,836.10",10-08-2022
CORBL,309.7,327.9,303.6,"9,401.00",313.0,316.0,"2,958,836.10",10-08-2022
CORBL,313.0,319.2,307.0,"5,587.00",310.0,313.0,"1,753,511.90",11-08-2022
CORBL,313.0,319.2,307.0,"5,587.00",310.0,313.0,"1,753,511.90",12-08-2022
CORBL,313.0,319.2,307.0,"5,587.00",310.0,313.0,"1,753,511.90",13-08-2022
CORBL,310.0,313.0,303.0,"4,109.00",310.0,310.0,"1,260,846.10",14-08-2022
CORBL,304.0,330.0,304.0,"10,881.00",327.0,310.0,"3,509,269.40",15-08-2022
CORBL,327.0,339.0,315.0,"8,576.00",319.0,327.0,"2,777,007.60",16-08-2022
CORBL,320.0,321.0,314.0,"1,976.00",319.5,319.0,"629,271.00",17-08-2022
CORBL,325.0,331.0,315.0,"4,873.00",331.0,319.5,"1,591,162.80",18-08-2022
CORBL,325.0,331.0,315.0,"4,873.00",331.0,319.5,"1,591,162.80",19-08-2022
CORBL,325.0,331.0,315.0,"4,873.00",331.0,319.5,"1,591,162.80",20-08-2022
CORBL,337.0,337.6,316.0,"7,949.00",316.0,331.0,"2,589,489.00",21-08-2022
CORBL,316.0,322.0,315.0,"6,630.00",318.0,316.0,"2,109,186.00",22-08-2022
CORBL,319.0,320.0,313.0,"2,884.00",314.0,318.0,"911,500.00",23-08-2022
CORBL,320.00,320.00,310.00,"4,070.00",315.00,314.00,"1,279,503.00",24-08-2022
