Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
CSY,9.2,9.3,9.05,"13,983.00",9.19,9.2,"128,770.96",06-07-2026
CSY,9.2,9.21,8.95,"11,132.00",9.01,9.19,"101,351.88",07-07-2026
CSY,9.01,9.35,8.98,"7,000.00",9.05,9.01,"63,931.18",08-07-2026
CSY,9.01,9.35,9.0,"3,600.00",9.02,9.05,"32,879.00",09-07-2026
CSY,9.02,9.27,9.0,"3,500.00",9.05,9.02,"31,626.20",10-07-2026
CSY,9.01,9.2,9.01,"1,700.00",9.01,9.05,"15,377.00",13-07-2026
CSY,9.0,9.12,8.9,"3,900.00",9.12,9.01,"35,110.00",14-07-2026
CSY,9.0,9.27,9.0,"7,300.00",9.06,9.12,"66,735.00",15-07-2026
CSY,9.06,9.06,9.01,"8,920.00",9.02,9.06,"80,550.90",16-07-2026
CSY,9.0,9.27,9.0,"2,300.00",9.03,9.02,"20,786.00",17-07-2026
CSY,8.78,9.31,8.78,"4,900.00",9.3,9.03,"45,070.00",20-07-2026
CSY,9.03,9.2,9.03,"9,948.00",9.1,9.3,"91,366.60",21-07-2026
CSY,9.1,9.32,9.0,"12,484.00",9.32,9.1,"115,882.08",22-07-2026
CSY,9.05,9.38,9.05,"3,950.00",9.12,9.32,"36,190.00",23-07-2026
CSY,9.06,9.35,9.0,"18,899.00",9.05,9.06,"175,664.65",27-07-2026
CSY,9.05,9.30,9.02,"2,350.00",9.25,9.05,"21,652.50",28-07-2026
