Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
DLBS,179.7,179.7,179.7,73.0,179.7,179.7,"13,157.80",23-10-2022
DLBS,179.7,179.7,179.7,73.0,179.7,179.7,"13,157.80",24-10-2022
DLBS,179.7,179.7,179.7,73.0,179.7,179.7,"13,157.80",25-10-2022
DLBS,179.7,179.7,179.7,73.0,179.7,179.7,"13,157.80",26-10-2022
DLBS,179.7,179.7,179.7,73.0,179.7,179.7,"13,157.80",27-10-2022
DLBS,179.7,179.7,179.7,73.0,179.7,179.7,"13,157.80",28-10-2022
DLBS,179.7,179.7,179.7,73.0,179.7,179.7,"13,157.80",29-10-2022
DLBS,179.7,179.7,179.7,73.0,179.7,179.7,"13,157.80",30-10-2022
DLBS,179.7,179.7,179.7,10.0,179.7,179.7,"1,798.60",31-10-2022
DLBS,179.7,179.7,179.7,20.0,179.7,179.7,"3,599.00",01-11-2022
DLBS,177.7,183.2,177.7,20.0,183.2,179.7,"3,609.00",06-11-2022
DLBS,186.8,198.1,186.8,50.0,198.1,183.2,"9,658.50",07-11-2022
DLBS,202.0,202.0,202.0,10.0,202.0,198.1,"2,020.00",13-11-2022
DLBS,202.0,202.0,202.0,11.0,202.0,202.0,"2,219.00",15-11-2022
DLBS,206.0,206.0,206.0,20.0,206.0,202.0,"4,106.60",16-11-2022
DLBS,210.1,214.3,210.1,20.0,214.3,206.0,"4,244.00",17-11-2022
DLBS,210.1,214.3,210.1,20.0,214.3,206.0,"4,244.00",18-11-2022
DLBS,210.1,214.3,210.1,20.0,214.3,206.0,"4,244.00",19-11-2022
DLBS,210.1,214.3,210.1,20.0,214.3,206.0,"4,244.00",20-11-2022
DLBS,210.1,214.3,210.1,20.0,214.3,206.0,"4,244.00",21-11-2022
DLBS,218.5,222.8,218.5,30.0,222.8,214.3,"6,684.40",22-11-2022
DLBS,227.2,231.7,227.2,20.0,231.7,222.8,"4,589.00",23-11-2022
DLBS,236.3,245.8,236.3,30.0,245.8,231.7,"7,231.00",27-11-2022
DLBS,250.7,250.7,250.7,20.0,250.7,245.8,"4,926.00",28-11-2022
DLBS,255.7,266.0,255.7,30.0,266.0,250.7,"7,825.00",29-11-2022
DLBS,271.3,292.6,271.3,60.0,292.6,266.0,"17,032.00",01-12-2022
DLBS,271.3,292.6,271.3,60.0,292.6,266.0,"17,032.00",02-12-2022
DLBS,271.3,292.6,271.3,60.0,292.6,266.0,"17,032.00",03-12-2022
DLBS,298.4,321.8,298.4,90.0,321.8,292.6,"28,160.30",04-12-2022
DLBS,328.2,348.1,328.2,47.0,348.1,321.8,"16,000.30",06-12-2022
DLBS,355.0,355.0,355.0,14.0,355.0,348.1,"4,948.80",07-12-2022
DLBS,355.0,355.0,355.0,14.0,355.0,348.1,"4,948.80",08-12-2022
DLBS,355.0,355.0,355.0,14.0,355.0,348.1,"4,948.80",09-12-2022
DLBS,355.0,355.0,355.0,14.0,355.0,348.1,"4,948.80",10-12-2022
DLBS,362.1,376.6,362.1,36.0,376.6,355.0,"13,268.20",11-12-2022
DLBS,384.1,399.5,384.1,30.0,399.5,376.6,"11,753.00",12-12-2022
DLBS,407.4,407.4,407.4,10.0,407.4,399.5,"4,074.00",13-12-2022
DLBS,415.5,440.8,415.5,40.0,440.8,407.4,"17,123.00",14-12-2022
DLBS,440.8,458.5,440.8,30.0,458.5,440.8,"13,489.00",15-12-2022
DLBS,440.8,458.5,440.8,30.0,458.5,440.8,"13,489.00",16-12-2022
DLBS,440.8,458.5,440.8,30.0,458.5,440.8,"13,489.00",17-12-2022
DLBS,467.6,496.1,467.6,43.0,496.1,458.5,"20,626.30",18-12-2022
