Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
DOLTI,261.0,287.1,250.0,"78,315.00",287.1,261.0,"21,767,098.60",08-06-2023
DOLTI,261.0,287.1,250.0,"78,315.00",287.1,261.0,"21,767,098.60",09-06-2023
DOLTI,261.0,287.1,250.0,"78,315.00",287.1,261.0,"21,767,098.60",10-06-2023
DOLTI,292.8,311.0,279.3,"41,826.00",292.0,287.1,"12,200,268.80",11-06-2023
DOLTI,287.0,289.6,274.9,"33,479.00",283.5,292.0,"9,513,832.60",12-06-2023
DOLTI,283.0,305.5,278.0,"32,792.00",295.0,283.5,"9,405,001.10",13-06-2023
DOLTI,290.0,303.7,285.0,"20,048.00",290.0,295.0,"5,916,557.30",14-06-2023
DOLTI,285.0,291.0,283.1,"13,645.00",288.9,290.0,"3,895,484.40",15-06-2023
DOLTI,285.0,291.0,283.1,"13,645.00",288.9,290.0,"3,895,484.40",16-06-2023
DOLTI,285.0,291.0,283.1,"13,645.00",288.9,290.0,"3,895,484.40",17-06-2023
DOLTI,283.2,294.0,280.0,"23,489.00",288.0,288.9,"6,789,217.20",18-06-2023
DOLTI,288.0,292.0,282.3,"22,744.00",289.0,288.0,"6,522,096.60",19-06-2023
DOLTI,292.0,292.0,280.0,"8,314.00",285.0,289.0,"2,360,428.10",20-06-2023
DOLTI,290.0,290.0,270.9,"17,871.00",279.0,285.0,"4,927,253.70",21-06-2023
DOLTI,273.5,276.0,266.0,"10,461.00",270.0,279.0,"2,824,246.70",22-06-2023
DOLTI,273.5,276.0,266.0,"10,461.00",270.0,279.0,"2,824,246.70",23-06-2023
DOLTI,273.50,276.00,266.00,"10,461.00",270.00,279.00,"2,824,246.70",24-06-2023
