Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
DORDI,331.9,345.2,330.0,"16,076.00",340.0,338.5,"5,426,708.10",10-08-2022
DORDI,331.9,345.2,330.0,"16,076.00",340.0,338.5,"5,426,708.10",10-08-2022
DORDI,331.9,345.2,330.0,"16,076.00",340.0,338.5,"5,426,708.10",10-08-2022
DORDI,334.0,374.0,334.0,"37,128.00",353.0,340.0,"13,250,829.50",11-08-2022
DORDI,334.0,374.0,334.0,"37,128.00",353.0,340.0,"13,250,829.50",12-08-2022
DORDI,334.0,374.0,334.0,"37,128.00",353.0,340.0,"13,250,829.50",13-08-2022
DORDI,346.0,365.0,340.0,"20,929.00",349.5,353.0,"7,372,409.40",14-08-2022
DORDI,343.0,384.0,336.4,"42,081.00",381.0,349.5,"15,184,581.30",15-08-2022
DORDI,388.6,390.0,360.0,"61,854.00",360.0,381.0,"23,377,481.00",16-08-2022
DORDI,360.00,396.00,360.00,"66,316.00",393.00,360.00,"25,693,177.20",17-08-2022
