Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
EBLD86,"1,089.90","1,089.90","1,081.10",70.0,"1,082.10","1,085.00","75,838.50",07-07-2026
EBLD86,"1,080.30","1,080.30","1,080.30",25.0,"1,080.30","1,082.00","27,007.50",08-07-2026
EBLD86,"1,095.00","1,100.00","1,095.00",45.0,"1,100.00","1,080.30","49,375.00",10-07-2026
EBLD86,"1,095.00","1,100.00","1,095.00","5,025.00","1,100.00","1,100.00","5,527,375.00",15-07-2026
EBLD86,"1,125.00","1,125.00","1,125.00",10.00,"1,125.00","1,100.00","11,250.00",16-07-2026
EBLD86,"1,091.30","1,091.30","1,091.30",25.00,"1,091.30","1,125.00","27,282.50",17-07-2026
EBLD86,"1,099.00","1,100.00","1,099.00",575.00,"1,100.00","1,091.30","632,475.00",20-07-2026
EBLD86,"1,085.00","1,100.00","1,085.00",105.00,"1,100.00","1,100.00","114,325.00",21-07-2026
EBLD86,"1,095.00","1,095.00","1,095.00",25.00,"1,095.00","1,100.00","27,375.00",22-07-2026
EBLD86,"1,100.40","1,100.40","1,100.40",300.00,"1,100.40","1,105.00","330,120.00",27-07-2026
EBLD86,"1,100.40","1,100.40","1,100.00",75.00,"1,100.00","1,100.40","82,510.00",28-07-2026
EBLD86,"1,120.00","1,130.00","1,100.10","5,135.00","1,100.10","1,100.00","5,801,577.50",29-07-2026
