Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
GBBLPO,207.0,207.0,207.0,"174,000.00",207.0,207.0,"36,018,000.00",03-11-2022
GBBLPO,207.0,207.0,207.0,"174,000.00",207.0,207.0,"36,018,000.00",04-11-2022
GBBLPO,207.0,207.0,207.0,"105,582.00",207.0,207.0,"21,855,474.00",15-11-2022
GBBLPO,207.0,207.0,207.0,"62,682.00",207.0,207.0,"12,975,174.00",28-11-2022
GBBLPO,207.0,207.0,207.0,"72,219.00",207.0,207.0,"14,949,333.00",29-11-2022
GBBLPO,207.0,207.0,207.0,"89,400.00",207.0,207.0,"18,505,800.00",30-11-2022
GBBLPO,207.0,207.0,207.0,"43,400.00",207.0,207.0,"8,983,800.00",01-12-2022
GBBLPO,207.0,207.0,207.0,"43,400.00",207.0,207.0,"8,983,800.00",02-12-2022
GBBLPO,207.0,207.0,207.0,"43,400.00",207.0,207.0,"8,983,800.00",03-12-2022
GBBLPO,198.0,198.0,198.0,"64,662.00",198.0,198.0,"12,803,076.00",09-02-2023
GBBLPO,198.0,198.0,198.0,"64,662.00",198.0,198.0,"12,803,076.00",10-02-2023
GBBLPO,198.00,198.00,198.00,"64,662.00",198.00,198.00,"12,803,076.00",11-02-2023
