Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
GBIMEP,121.0,121.0,121.0,"30,000.00",121.0,121.0,"3,630,000.00",12-12-2022
GBIMEP,121.0,121.0,121.0,"27,298.00",121.0,121.0,"3,303,058.00",14-12-2022
GBIMEP,121.0,121.0,121.0,"36,957.00",121.0,121.0,"4,471,797.00",15-12-2022
GBIMEP,121.0,121.0,121.0,"36,957.00",121.0,121.0,"4,471,797.00",16-12-2022
GBIMEP,121.0,121.0,121.0,"36,957.00",121.0,121.0,"4,471,797.00",17-12-2022
GBIMEP,123.4,123.4,121.0,"48,795.00",121.0,121.0,"5,940,298.20",18-12-2022
GBIMEP,121.0,121.0,121.0,"9,622.00",121.0,121.0,"1,164,262.00",19-12-2022
GBIMEP,112.0,112.0,112.0,"163,114.00",112.0,110.0,"18,268,768.00",01-03-2023
GBIMEP,114.0,114.0,114.0,"50,000.00",114.0,112.0,"5,700,000.00",14-03-2023
GBIMEP,114.0,114.0,114.0,"274,296.00",114.0,114.0,"31,269,744.00",27-03-2023
GBIMEP,114.0,114.0,114.0,"105,152.00",114.0,114.0,"11,987,328.00",29-03-2023
GBIMEP,114.0,114.0,114.0,"105,152.00",114.0,114.0,"11,987,328.00",30-03-2023
GBIMEP,114.0,114.0,114.0,"105,152.00",114.0,114.0,"11,987,328.00",31-03-2023
GBIMEP,114.0,114.0,114.0,"105,152.00",114.0,114.0,"11,987,328.00",01-04-2023
GBIMEP,114.0,114.0,114.0,"223,437.00",114.0,114.0,"25,471,818.00",09-04-2023
GBIMEP,114.0,114.0,114.0,"6,110.00",114.0,114.0,"696,540.00",20-04-2023
GBIMEP,114.00,114.00,114.00,"6,110.00",114.00,114.00,"696,540.00",21-04-2023
