Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
GBLBS,763.2,776.0,750.0,"6,458.00",775.9,774.9,"4,915,543.30",10-08-2022
GBLBS,763.2,776.0,750.0,"6,458.00",775.9,774.9,"4,915,543.30",10-08-2022
GBLBS,760.4,791.0,751.0,"4,514.00",765.9,775.9,"3,452,990.50",11-08-2022
GBLBS,760.4,791.0,751.0,"4,514.00",765.9,775.9,"3,452,990.50",12-08-2022
GBLBS,760.4,791.0,751.0,"4,514.00",765.9,775.9,"3,452,990.50",13-08-2022
GBLBS,760.0,775.0,733.0,"5,150.00",735.0,765.9,"3,832,396.50",14-08-2022
GBLBS,722.1,769.9,722.1,"8,511.00",769.9,735.0,"6,416,923.10",15-08-2022
GBLBS,770.0,770.0,740.0,"7,324.00",740.0,769.9,"5,503,795.50",16-08-2022
GBLBS,730.0,745.0,730.0,"4,855.00",744.9,740.0,"3,579,146.50",17-08-2022
GBLBS,735.2,754.0,735.2,"3,774.00",750.2,744.9,"2,832,459.10",18-08-2022
GBLBS,735.2,754.0,735.2,"3,774.00",750.2,744.9,"2,832,459.10",19-08-2022
GBLBS,735.2,754.0,735.2,"3,774.00",750.2,744.9,"2,832,459.10",20-08-2022
GBLBS,750.0,762.0,739.1,"6,835.00",739.1,750.2,"5,112,825.60",21-08-2022
GBLBS,728.0,740.0,727.0,"2,835.00",735.0,739.1,"2,075,464.90",22-08-2022
GBLBS,735.0,740.0,721.0,"6,459.00",722.2,735.0,"4,695,796.20",23-08-2022
GBLBS,723.0,731.0,716.1,"6,669.00",724.0,722.2,"4,816,322.00",24-08-2022
GBLBS,725.0,730.0,707.0,"6,380.00",715.0,724.0,"4,572,585.80",25-08-2022
GBLBS,706.1,708.0,704.0,"1,444.00",704.0,715.0,"1,019,984.00",26-08-2022
GBLBS,706.1,708.0,704.0,"1,444.00",704.0,715.0,"1,019,984.00",27-08-2022
GBLBS,718.0,718.0,678.4,"10,665.00",686.0,704.0,"7,330,505.40",28-08-2022
GBLBS,699.0,699.0,678.0,"3,473.00",681.1,686.0,"2,391,776.00",29-08-2022
GBLBS,691.0,700.0,683.1,"2,654.00",683.1,681.1,"1,827,409.00",30-08-2022
GBLBS,675.0,690.0,675.0,"1,733.00",680.0,683.1,"1,176,425.20",31-08-2022
GBLBS,668.0,687.0,668.0,"6,940.00",687.0,680.0,"4,692,025.90",01-09-2022
GBLBS,690.0,694.0,675.0,"1,331.00",684.0,687.0,"905,238.10",02-09-2022
GBLBS,690.0,694.0,675.0,"1,331.00",684.0,687.0,"905,238.10",03-09-2022
GBLBS,684.0,692.0,680.0,"1,566.00",688.0,684.0,"1,069,227.50",04-09-2022
GBLBS,685.1,690.0,677.0,"1,155.00",683.9,688.0,"789,355.30",05-09-2022
GBLBS,684.0,689.0,671.0,"4,240.00",672.0,683.9,"2,876,454.00",06-09-2022
GBLBS,661.0,670.0,661.0,"2,169.00",669.0,672.0,"1,439,530.00",07-09-2022
GBLBS,656.0,682.0,656.0,"2,572.00",677.0,669.0,"1,719,395.00",08-09-2022
GBLBS,656.0,682.0,656.0,"2,572.00",677.0,669.0,"1,719,395.00",09-09-2022
GBLBS,656.0,682.0,656.0,"2,572.00",677.0,669.0,"1,719,395.00",10-09-2022
GBLBS,665.0,685.0,662.0,"1,700.00",667.0,677.0,"1,139,582.00",11-09-2022
GBLBS,670.0,670.0,661.0,"3,996.00",661.5,667.0,"2,648,348.00",12-09-2022
GBLBS,661.5,677.0,661.0,"7,557.00",677.0,661.5,"5,086,204.30",13-09-2022
GBLBS,679.0,712.0,676.5,"8,993.00",704.0,677.0,"6,205,634.50",14-09-2022
GBLBS,691.0,703.4,666.0,"6,940.00",666.0,704.0,"4,731,911.50",15-09-2022
GBLBS,652.7,671.0,642.1,"2,766.00",660.0,666.0,"1,809,260.00",16-09-2022
GBLBS,652.7,671.0,642.1,"2,766.00",660.0,666.0,"1,809,260.00",17-09-2022
GBLBS,656.0,660.0,647.0,"3,710.00",647.0,660.0,"2,417,176.50",18-09-2022
GBLBS,656.0,660.0,647.0,"3,710.00",647.0,660.0,"2,417,176.50",19-09-2022
GBLBS,637.0,645.0,625.0,"3,872.00",636.0,647.0,"2,445,065.90",20-09-2022
GBLBS,648.0,648.0,630.0,"1,020.00",636.9,636.0,"650,083.70",21-09-2022
GBLBS,625.0,635.0,620.0,"2,640.00",620.0,636.9,"1,650,893.50",22-09-2022
GBLBS,625.0,635.0,620.0,"2,640.00",620.0,636.9,"1,650,893.50",23-09-2022
GBLBS,625.0,635.0,620.0,"2,640.00",620.0,636.9,"1,650,893.50",24-09-2022
GBLBS,620.0,620.0,593.9,"7,380.00",594.0,620.0,"4,438,665.90",25-09-2022
GBLBS,620.0,620.0,593.9,"7,380.00",594.0,620.0,"4,438,665.90",26-09-2022
GBLBS,585.0,616.0,585.0,"2,298.00",604.0,594.0,"1,381,040.50",27-09-2022
GBLBS,604.0,616.0,601.2,"2,254.00",601.2,604.0,"1,360,346.10",28-09-2022
GBLBS,595.5,613.0,595.5,"2,315.00",598.0,601.2,"1,396,984.30",29-09-2022
GBLBS,595.5,613.0,595.5,"2,315.00",598.0,601.2,"1,396,984.30",30-09-2022
GBLBS,595.5,613.0,595.5,"2,315.00",598.0,601.2,"1,396,984.30",01-10-2022
GBLBS,595.5,613.0,595.5,"2,315.00",598.0,601.2,"1,396,984.30",02-10-2022
GBLBS,595.5,613.0,595.5,"2,315.00",598.0,601.2,"1,396,984.30",03-10-2022
GBLBS,595.5,613.0,595.5,"2,315.00",598.0,601.2,"1,396,984.30",04-10-2022
GBLBS,595.5,613.0,595.5,"2,315.00",598.0,601.2,"1,396,984.30",05-10-2022
GBLBS,595.5,613.0,595.5,"2,315.00",598.0,601.2,"1,396,984.30",06-10-2022
GBLBS,595.5,613.0,595.5,"2,315.00",598.0,601.2,"1,396,984.30",07-10-2022
GBLBS,595.5,613.0,595.5,"2,315.00",598.0,601.2,"1,396,984.30",08-10-2022
GBLBS,609.9,620.0,607.6,614.00,619.9,598.0,"378,431.00",09-10-2022
GBLBS,620.0,620.0,600.7,"2,017.00",610.8,619.9,"1,221,744.70",10-10-2022
GBLBS,600.0,607.0,595.0,"1,271.00",607.0,610.8,"763,045.00",11-10-2022
GBLBS,603.0,611.0,595.0,"1,622.00",600.2,607.0,"976,838.60",12-10-2022
GBLBS,603.0,611.0,600.0,"1,457.00",609.0,600.2,"885,210.80",13-10-2022
GBLBS,603.0,611.0,600.0,"1,457.00",609.0,600.2,"885,210.80",14-10-2022
GBLBS,603.0,611.0,600.0,"1,457.00",609.0,600.2,"885,210.80",15-10-2022
GBLBS,602.0,604.0,595.0,"1,965.00",600.0,609.0,"1,178,261.00",16-10-2022
GBLBS,590.0,613.0,590.0,"1,744.00",602.0,600.0,"1,053,341.00",17-10-2022
GBLBS,590.0,613.0,590.0,"1,744.00",602.0,600.0,"1,053,341.00",18-10-2022
GBLBS,598.0,600.0,590.1,593.00,600.0,602.0,"351,928.80",19-10-2022
GBLBS,600.0,600.0,592.0,"1,963.00",598.0,600.0,"1,174,670.00",20-10-2022
GBLBS,600.0,600.0,592.0,"1,963.00",598.0,600.0,"1,174,670.00",21-10-2022
GBLBS,600.0,600.0,592.0,"1,963.00",598.0,600.0,"1,174,670.00",22-10-2022
GBLBS,590.0,605.4,590.0,488.00,597.0,598.0,"292,738.50",23-10-2022
GBLBS,590.0,605.4,590.0,488.00,597.0,598.0,"292,738.50",24-10-2022
GBLBS,590.0,605.4,590.0,488.00,597.0,598.0,"292,738.50",25-10-2022
GBLBS,590.0,605.4,590.0,488.00,597.0,598.0,"292,738.50",26-10-2022
GBLBS,590.0,605.4,590.0,488.00,597.0,598.0,"292,738.50",27-10-2022
GBLBS,590.0,605.4,590.0,488.00,597.0,598.0,"292,738.50",28-10-2022
GBLBS,590.0,605.4,590.0,488.00,597.0,598.0,"292,738.50",29-10-2022
GBLBS,590.0,605.4,590.0,488.00,597.0,598.0,"292,738.50",30-10-2022
GBLBS,600.0,600.0,595.0,338.00,600.0,597.0,"202,335.00",31-10-2022
GBLBS,598.0,624.2,597.0,"5,822.00",624.2,600.0,"3,542,302.00",01-11-2022
GBLBS,613.3,646.0,613.3,"4,621.00",646.0,624.2,"2,910,504.90",02-11-2022
GBLBS,635.0,635.0,620.0,"3,001.00",626.0,646.0,"1,877,778.50",03-11-2022
GBLBS,635.0,635.0,620.0,"3,001.00",626.0,646.0,"1,877,778.50",04-11-2022
GBLBS,621.0,673.7,608.0,"9,709.00",656.0,626.0,"6,200,213.80",06-11-2022
GBLBS,653.9,653.9,618.4,"28,096.00",632.0,656.0,"17,732,676.40",07-11-2022
GBLBS,635.0,635.0,612.0,"2,708.00",617.5,632.0,"1,678,725.50",08-11-2022
GBLBS,618.0,618.9,591.0,"4,354.00",591.0,617.5,"2,642,945.80",09-11-2022
GBLBS,602.0,605.0,583.2,"4,101.00",589.0,591.0,"2,417,022.10",10-11-2022
GBLBS,602.0,605.0,583.2,"4,101.00",589.0,591.0,"2,417,022.10",10-11-2022
GBLBS,602.0,605.0,583.2,"4,101.00",589.0,591.0,"2,417,022.10",11-11-2022
