Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
GHL,234.0,243.9,225.7,"32,221.00",233.0,233.3,"7,482,241.10",10-08-2022
GHL,234.0,243.9,225.7,"32,221.00",233.0,233.3,"7,482,241.10",10-08-2022
GHL,237.6,240.0,222.0,"26,814.00",224.5,233.0,"6,123,879.00",11-08-2022
GHL,237.6,240.0,222.0,"26,814.00",224.5,233.0,"6,123,879.00",12-08-2022
GHL,237.6,240.0,222.0,"26,814.00",224.5,233.0,"6,123,879.00",13-08-2022
GHL,220.1,231.0,218.0,"27,219.00",219.0,224.5,"6,072,030.70",14-08-2022
GHL,223.0,236.0,218.0,"29,457.00",235.0,219.0,"6,733,095.00",15-08-2022
GHL,237.0,244.0,224.0,"23,594.00",227.4,235.0,"5,477,768.30",16-08-2022
GHL,229.9,231.0,223.0,"17,103.00",226.0,227.4,"3,870,430.00",17-08-2022
GHL,230.0,244.0,225.4,"25,276.00",236.5,226.0,"5,875,080.50",18-08-2022
GHL,230.0,244.0,225.4,"25,276.00",236.5,226.0,"5,875,080.50",19-08-2022
GHL,230.0,244.0,225.4,"25,276.00",236.5,226.0,"5,875,080.50",20-08-2022
GHL,231.8,238.0,223.0,"22,701.00",232.0,236.5,"5,254,943.30",21-08-2022
GHL,227.4,232.9,222.9,"13,664.00",229.5,232.0,"3,101,242.70",22-08-2022
GHL,230.0,230.0,223.3,"12,531.00",227.5,229.5,"2,819,352.50",23-08-2022
GHL,227.0,232.0,223.9,"17,126.00",227.0,227.5,"3,892,584.50",24-08-2022
GHL,223.1,229.9,220.0,"18,740.00",223.0,227.0,"4,160,376.40",25-08-2022
GHL,224.0,224.0,215.0,"18,170.00",218.5,223.0,"3,947,146.10",26-08-2022
GHL,224.0,224.0,215.0,"18,170.00",218.5,223.0,"3,947,146.10",27-08-2022
GHL,220.0,220.0,207.0,"36,945.00",209.1,218.5,"7,762,109.50",28-08-2022
GHL,213.0,213.0,204.4,"15,229.00",211.0,209.1,"3,160,262.50",29-08-2022
GHL,207.0,215.2,206.0,"3,630.00",210.0,211.0,"763,444.00",30-08-2022
GHL,213.0,213.0,200.9,"16,055.00",201.0,210.0,"3,251,298.10",31-08-2022
GHL,198.0,211.0,198.0,"19,854.00",205.0,201.0,"4,049,456.00",01-09-2022
GHL,208.0,209.0,203.0,"8,655.00",203.0,205.0,"1,777,424.70",02-09-2022
GHL,208.0,209.0,203.0,"8,655.00",203.0,205.0,"1,777,424.70",03-09-2022
GHL,206.0,209.0,200.0,"14,625.00",206.0,203.0,"2,979,989.90",04-09-2022
GHL,209.0,209.8,206.0,"10,066.00",207.0,206.0,"2,094,019.70",05-09-2022
GHL,204.9,205.5,200.0,"14,117.00",200.0,207.0,"2,833,114.50",06-09-2022
GHL,198.1,203.9,198.1,"5,257.00",200.9,200.0,"1,050,833.80",07-09-2022
GHL,201.9,206.0,196.0,"12,995.00",204.9,200.9,"2,612,566.40",08-09-2022
GHL,201.9,206.0,196.0,"12,995.00",204.9,200.9,"2,612,566.40",09-09-2022
GHL,201.9,206.0,196.0,"12,995.00",204.9,200.9,"2,612,566.40",10-09-2022
GHL,204.9,205.0,196.0,"24,874.00",196.0,204.9,"4,927,644.40",11-09-2022
GHL,199.0,202.0,193.0,"9,936.00",196.0,196.0,"1,957,081.30",12-09-2022
GHL,198.0,202.0,197.0,"9,822.00",201.0,196.0,"1,966,186.30",13-09-2022
GHL,201.9,213.0,200.0,"43,901.00",208.2,201.0,"9,007,106.70",14-09-2022
GHL,210.00,210.00,193.20,"34,308.00",195.00,208.20,"6,858,953.00",15-09-2022
