Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
GIBF1,10.62,11.02,10.62,"1,900.00",11.02,10.62,"20,283.00",06-07-2026
GIBF1,10.69,10.69,10.69,500.00,10.69,11.02,"5,345.00",07-07-2026
GIBF1,10.46,10.81,10.46,"2,600.00",10.81,10.69,"27,666.00",08-07-2026
GIBF1,10.5,10.5,10.26,"11,200.00",10.33,10.81,"117,387.00",09-07-2026
GIBF1,10.3,10.5,10.3,"1,300.00",10.5,10.33,"13,547.00",10-07-2026
GIBF1,10.21,10.5,10.21,"1,001,600.00",10.35,10.5,"10,376,558.00",13-07-2026
GIBF1,10.27,10.49,10.27,"21,150.00",10.3,10.35,"218,114.00",14-07-2026
GIBF1,10.27,10.5,10.27,"22,945.00",10.5,10.3,"236,930.50",15-07-2026
GIBF1,10.5,10.5,10.28,"12,150.00",10.5,10.5,"127,431.00",16-07-2026
GIBF1,10.27,10.5,10.27,"14,450.00",10.45,10.5,"151,654.00",17-07-2026
GIBF1,10.45,10.5,10.45,"2,200.00",10.5,10.45,"23,014.00",20-07-2026
GIBF1,10.41,10.8,10.41,"7,070.00",10.52,10.5,"74,475.40",21-07-2026
GIBF1,10.31,10.79,10.31,"22,650.00",10.55,10.52,"240,304.00",22-07-2026
GIBF1,10.3,10.41,10.3,300.00,10.41,10.55,"3,112.00",23-07-2026
GIBF1,10.6,10.7,10.6,"1,900.00",10.7,10.55,"20,211.00",27-07-2026
GIBF1,10.61,11.01,10.61,"10,900.00",10.68,10.7,"119,655.00",28-07-2026
GIBF1,10.53,10.65,10.53,"4,600.00",10.65,10.68,"48,836.00",29-07-2026
GIBF1,10.66,10.66,10.65,"20,800.00",10.66,10.65,"221,575.00",30-07-2026
GIBF1,10.55,10.86,10.55,"1,300.00",10.86,10.66,"13,845.00",31-07-2026
GIBF1,10.86,10.9,10.69,"12,900.00",10.9,10.86,"138,163.00",03-08-2026
GIBF1,10.7,10.8,10.7,"1,900.00",10.77,10.9,"20,395.00",04-08-2026
GIBF1,10.68,10.73,10.68,"1,000.00",10.73,10.77,"10,700.00",05-08-2026
GIBF1,10.7,10.98,10.68,"5,300.00",10.98,10.73,"57,534.00",06-08-2026
GIBF1,10.7,10.75,10.7,"2,100.00",10.75,10.98,"22,545.00",07-08-2026
GIBF1,10.65,11.0,10.65,"31,300.00",11.0,10.75,"342,533.00",10-08-2026
GIBF1,10.7,10.9,10.7,"1,300.00",10.9,11.0,"14,030.00",11-08-2026
GIBF1,10.68,10.69,10.68,"3,400.00",10.69,10.9,"36,313.00",12-08-2026
GIBF1,10.7,10.8,10.52,"1,900.00",10.8,10.69,"20,292.00",13-08-2026
GIBF1,10.5,10.69,10.5,"1,000.00",10.69,10.8,"10,651.00",14-08-2026
GIBF1,10.64,10.99,10.64,"1,750.00",10.77,10.69,"18,915.00",17-08-2026
GIBF1,11.05,11.05,10.75,"22,900.00",10.8,10.77,"248,671.00",18-08-2026
GIBF1,10.62,10.76,10.62,"15,905.00",10.76,10.8,"170,752.05",19-08-2026
GIBF1,10.8,10.9,10.65,"1,100.00",10.9,10.76,"11,886.00",20-08-2026
GIBF1,10.69,10.9,10.69,600.00,10.9,10.9,"6,518.00",21-08-2026
GIBF1,10.8,10.8,10.8,700.00,10.8,10.9,"7,560.00",24-08-2026
GIBF1,10.75,10.85,10.75,"68,300.00",10.75,10.8,"734,555.00",25-08-2026
GIBF1,10.85,10.85,10.62,"108,550.00",10.62,10.75,"1,156,063.00",26-08-2026
GIBF1,10.62,10.62,10.52,"1,500.00",10.6,10.62,"15,868.00",31-08-2026
GIBF1,10.39,10.5,10.39,"30,700.00",10.47,10.6,"321,400.00",01-09-2026
GIBF1,10.4,10.48,10.4,"1,400.00",10.48,10.47,"14,644.00",02-09-2026
GIBF1,10.45,10.79,10.45,"24,650.00",10.51,10.48,"265,847.50",03-09-2026
GIBF1,10.51,11.13,10.42,"254,584.00",11.08,10.51,"2,805,112.78",07-09-2026
GIBF1,11.09,11.12,10.85,"1,261,369.00",11.0,11.08,"13,956,950.50",09-09-2026
GIBF1,11.13,11.25,11.05,"355,555.00",11.25,11.0,"3,947,246.80",10-09-2026
GIBF1,11.23,11.6,11.1,"44,444.00",11.6,11.25,"509,152.15",11-09-2026
GIBF1,11.49,11.59,11.21,"27,450.00",11.59,11.6,"312,856.00",14-09-2026
GIBF1,11.25,11.93,11.25,"15,130.00",11.6,11.59,"176,353.00",15-09-2026
GIBF1,11.65,11.65,11.5,"8,200.00",11.5,11.6,"94,720.00",16-09-2026
GIBF1,11.25,11.83,11.19,"90,760.00",11.83,11.5,"1,023,294.30",17-09-2026
GIBF1,11.78,11.78,11.50,"52,000.00",11.78,11.83,"610,893.60",18-09-2026
