Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
GLBSL,"1,180.00","1,180.00","1,135.00","1,892.00","1,145.00","1,170.00","2,168,716.90",10-08-2022
GLBSL,"1,180.00","1,180.00","1,135.00","1,892.00","1,145.00","1,170.00","2,168,716.90",10-08-2022
GLBSL,"1,160.00","1,190.00","1,123.00",942.00,"1,156.00","1,145.00","1,085,721.78",11-08-2022
GLBSL,"1,160.00","1,190.00","1,123.00",942.00,"1,156.00","1,145.00","1,085,721.78",12-08-2022
GLBSL,"1,160.00","1,190.00","1,123.00",942.00,"1,156.00","1,145.00","1,085,721.78",13-08-2022
GLBSL,"1,133.00","1,133.00","1,040.40","2,547.00","1,074.00","1,156.00","2,693,993.80",14-08-2022
GLBSL,"1,052.60","1,073.00","1,031.60","2,172.00","1,045.00","1,074.00","2,269,465.20",15-08-2022
GLBSL,"1,027.00","1,068.30","1,027.00","2,295.00","1,028.00","1,045.00","2,438,097.60",16-08-2022
GLBSL,"1,048.50","1,048.50","1,010.20",433.00,"1,028.00","1,028.00","446,668.50",17-08-2022
GLBSL,"1,040.00","1,050.00","1,025.00",242.00,"1,034.00","1,028.00","250,400.00",18-08-2022
GLBSL,"1,040.00","1,050.00","1,025.00",242.00,"1,034.00","1,028.00","250,400.00",19-08-2022
GLBSL,"1,040.00","1,050.00","1,025.00",242.00,"1,034.00","1,028.00","250,400.00",20-08-2022
GLBSL,"1,054.60","1,054.60","1,028.00",961.00,"1,028.00","1,034.00","1,006,629.10",21-08-2022
GLBSL,"1,020.00","1,030.00","1,015.00",518.00,"1,017.00","1,028.00","530,141.00",22-08-2022
GLBSL,"1,025.00","1,025.00","1,000.00",866.00,"1,011.00","1,017.00","870,450.00",23-08-2022
GLBSL,"1,020.00","1,050.00","1,000.20","2,587.00","1,050.00","1,011.00","2,618,469.40",24-08-2022
GLBSL,"1,029.00","1,065.00","1,009.00",588.00,"1,050.00","1,050.00","603,637.00",25-08-2022
GLBSL,"1,069.00","1,069.00","1,012.00",175.00,"1,012.00","1,050.00","180,088.00",26-08-2022
GLBSL,"1,069.00","1,069.00","1,012.00",175.00,"1,012.00","1,050.00","180,088.00",27-08-2022
GLBSL,999.00,999.00,973.00,726.00,973.00,"1,012.00","715,360.40",28-08-2022
GLBSL,961.10,"1,019.90",961.10,"2,094.00",995.00,973.00,"2,117,316.00",29-08-2022
GLBSL,"1,014.90","1,033.00","1,000.00",60.00,"1,000.00",995.00,"60,679.00",30-08-2022
