Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
GMFBS,960.0,969.0,940.0,"1,427.00",945.0,969.0,"1,358,692.70",10-08-2022
GMFBS,960.0,969.0,940.0,"1,427.00",945.0,969.0,"1,358,692.70",10-08-2022
GMFBS,963.0,963.9,935.0,366.00,935.0,945.0,"345,334.00",11-08-2022
GMFBS,963.0,963.9,935.0,366.00,935.0,945.0,"345,334.00",12-08-2022
GMFBS,963.0,963.9,935.0,366.00,935.0,945.0,"345,334.00",13-08-2022
GMFBS,952.0,970.0,933.0,477.00,937.0,935.0,"451,064.90",14-08-2022
GMFBS,955.7,"1,012.00",955.4,595.00,975.0,937.0,"573,476.10",15-08-2022
GMFBS,975.0,993.00,956.0,298.00,975.0,975.0,"290,393.00",16-08-2022
GMFBS,956.0,984.00,950.0,311.00,984.0,975.0,"297,066.20",17-08-2022
GMFBS,"1,003.00","1,019.00","1,000.00",112.00,"1,013.90",984.0,"112,535.00",18-08-2022
GMFBS,"1,003.00","1,019.00","1,000.00",112.00,"1,013.90",984.0,"112,535.00",19-08-2022
GMFBS,"1,003.00","1,019.00","1,000.00",112.00,"1,013.90",984.0,"112,535.00",20-08-2022
GMFBS,994.00,"1,031.90",979.00,287.00,"1,000.00","1,013.90","289,831.00",21-08-2022
GMFBS,"1,000.00","1,017.80",980.10,80.00,"1,017.80","1,000.00","79,617.00",22-08-2022
GMFBS,"1,029.90","1,029.90",980.00,171.00,"1,020.00","1,017.80","169,955.70",23-08-2022
GMFBS,"1,010.00","1,020.00","1,000.00",49.00,"1,020.00","1,020.00","49,360.00",24-08-2022
GMFBS,"1,010.00","1,010.00",966.10,"1,055.00",999.00,"1,020.00","1,034,055.00",25-08-2022
GMFBS,979.10,979.10,979.10,35.00,979.10,999.00,"34,268.50",26-08-2022
GMFBS,979.10,979.10,979.10,35.00,979.10,999.00,"34,268.50",27-08-2022
GMFBS,959.70,959.70,925.00,612.00,925.00,979.10,"573,016.40",28-08-2022
GMFBS,907.10,942.00,890.00,512.00,942.00,925.00,"475,619.80",29-08-2022
GMFBS,925.00,959.00,925.00,256.00,934.90,942.00,"239,369.00",30-08-2022
GMFBS,916.30,948.00,916.30,20.00,948.00,934.90,"18,643.00",31-08-2022
GMFBS,940.00,940.00,904.00,442.00,910.00,948.00,"403,426.30",01-09-2022
GMFBS,915.00,918.00,900.00,422.00,918.00,910.00,"383,910.00",02-09-2022
GMFBS,915.00,918.00,900.00,422.00,918.00,910.00,"383,910.00",03-09-2022
GMFBS,900.00,921.00,900.00,54.00,921.00,918.00,"49,083.40",04-09-2022
GMFBS,925.00,939.30,915.00,381.00,939.00,921.00,"354,940.10",05-09-2022
GMFBS,925.00,925.00,908.00,70.00,908.00,939.00,"64,540.00",06-09-2022
GMFBS,891.10,891.10,878.10,88.00,882.00,908.00,"78,133.00",07-09-2022
GMFBS,885.00,899.60,884.00,450.00,884.00,882.00,"401,560.90",08-09-2022
GMFBS,885.00,899.60,884.00,450.00,884.00,882.00,"401,560.90",09-09-2022
GMFBS,885.00,899.60,884.00,450.00,884.00,882.00,"401,560.90",10-09-2022
GMFBS,890.00,900.00,869.00,454.00,869.00,884.00,"400,877.00",11-09-2022
GMFBS,860.10,865.00,860.00,147.00,860.00,869.00,"126,472.60",12-09-2022
GMFBS,866.00,894.70,860.00,188.00,894.70,860.00,"164,580.40",13-09-2022
GMFBS,900.00,933.00,900.00,518.00,933.00,894.70,"473,772.00",14-09-2022
GMFBS,916.60,924.00,896.70,239.00,896.70,933.00,"218,437.50",15-09-2022
GMFBS,878.80,878.80,866.00,210.00,866.00,896.70,"183,086.00",18-09-2022
GMFBS,878.80,878.80,866.00,210.00,866.00,896.70,"183,086.00",19-09-2022
GMFBS,848.90,856.00,838.90,90.00,838.90,866.00,"76,286.20",20-09-2022
GMFBS,853.00,871.00,826.00,463.00,871.00,838.90,"391,839.00",21-09-2022
GMFBS,854.00,854.00,821.30,365.00,854.00,871.00,"304,173.00",22-09-2022
GMFBS,854.00,854.00,821.30,365.00,854.00,871.00,"304,173.00",23-09-2022
GMFBS,854.00,854.00,821.30,365.00,854.00,871.00,"304,173.00",24-09-2022
GMFBS,854.00,854.00,824.00,298.00,827.00,854.00,"247,899.00",25-09-2022
GMFBS,854.00,854.00,824.00,298.00,827.00,854.00,"247,899.00",26-09-2022
GMFBS,843.50,851.00,834.00,220.00,835.00,827.00,"184,035.00",27-09-2022
GMFBS,850.00,868.00,850.00,64.00,864.00,835.00,"54,894.00",28-09-2022
GMFBS,880.90,890.00,863.30,260.00,881.00,864.00,"226,593.60",29-09-2022
GMFBS,880.90,890.00,863.30,260.00,881.00,864.00,"226,593.60",30-09-2022
GMFBS,880.90,890.00,863.30,260.00,881.00,864.00,"226,593.60",01-10-2022
GMFBS,880.90,890.00,863.30,260.00,881.00,864.00,"226,593.60",02-10-2022
GMFBS,880.90,890.00,863.30,260.00,881.00,864.00,"226,593.60",03-10-2022
GMFBS,880.90,890.00,863.30,260.00,881.00,864.00,"226,593.60",04-10-2022
GMFBS,880.90,890.00,863.30,260.00,881.00,864.00,"226,593.60",05-10-2022
GMFBS,880.90,890.00,863.30,260.00,881.00,864.00,"226,593.60",06-10-2022
GMFBS,880.90,890.00,863.30,260.00,881.00,864.00,"226,593.60",07-10-2022
GMFBS,880.90,890.00,863.30,260.00,881.00,864.00,"226,593.60",08-10-2022
GMFBS,898.00,914.00,881.00,60.00,881.00,881.00,"53,656.00",09-10-2022
GMFBS,881.00,895.00,881.00,20.00,895.00,881.00,"17,760.00",10-10-2022
GMFBS,885.00,885.00,867.30,30.00,867.30,895.00,"26,373.00",11-10-2022
GMFBS,878.00,878.00,878.00,10.00,878.00,867.30,"8,780.00",12-10-2022
GMFBS,860.50,860.50,844.10,336.00,850.00,878.00,"287,008.00",13-10-2022
GMFBS,860.50,860.50,844.10,336.00,850.00,878.00,"287,008.00",14-10-2022
GMFBS,860.50,860.50,844.10,336.00,850.00,878.00,"287,008.00",15-10-2022
GMFBS,837.00,849.60,833.00,248.00,833.00,850.00,"207,523.10",16-10-2022
GMFBS,818.00,849.50,818.00,407.00,822.00,833.00,"336,582.00",17-10-2022
GMFBS,818.00,849.50,818.00,407.00,822.00,833.00,"336,582.00",18-10-2022
GMFBS,810.10,830.00,809.00,273.00,830.00,822.00,"221,192.60",19-10-2022
GMFBS,814.00,825.00,813.50,163.00,815.00,830.00,"133,375.00",20-10-2022
GMFBS,814.00,825.00,813.50,163.00,815.00,830.00,"133,375.00",21-10-2022
GMFBS,814.00,825.00,813.50,163.00,815.00,830.00,"133,375.00",22-10-2022
GMFBS,831.00,831.00,814.50,83.00,815.00,815.00,"67,789.50",23-10-2022
GMFBS,831.00,831.00,814.50,83.00,815.00,815.00,"67,789.50",24-10-2022
GMFBS,831.00,831.00,814.50,83.00,815.00,815.00,"67,789.50",25-10-2022
GMFBS,831.00,831.00,814.50,83.00,815.00,815.00,"67,789.50",26-10-2022
GMFBS,831.00,831.00,814.50,83.00,815.00,815.00,"67,789.50",27-10-2022
GMFBS,831.00,831.00,814.50,83.00,815.00,815.00,"67,789.50",28-10-2022
GMFBS,831.00,831.00,814.50,83.00,815.00,815.00,"67,789.50",29-10-2022
GMFBS,831.00,831.00,814.50,83.00,815.00,815.00,"67,789.50",30-10-2022
GMFBS,800.20,816.20,800.20,34.00,802.00,815.00,"27,384.80",31-10-2022
GMFBS,818.00,845.00,802.00,284.00,830.00,802.00,"234,524.00",01-11-2022
GMFBS,840.00,843.00,816.00,295.00,816.40,830.00,"243,875.00",02-11-2022
GMFBS,801.00,817.00,801.00,218.00,803.00,816.40,"175,545.00",03-11-2022
GMFBS,801.00,817.00,801.00,218.00,803.00,816.40,"175,545.00",04-11-2022
GMFBS,810.00,835.20,810.00,470.00,835.20,803.00,"387,020.00",06-11-2022
GMFBS,820.10,843.00,820.00,419.00,825.00,835.20,"346,502.80",07-11-2022
GMFBS,834.00,834.00,811.00,"1,043.00",824.00,825.00,"859,170.00",08-11-2022
GMFBS,811.00,811.00,800.00,279.00,801.00,824.00,"224,990.00",09-11-2022
GMFBS,800.00,811.00,800.00,192.00,804.00,801.00,"154,008.00",10-11-2022
GMFBS,800.00,811.00,800.00,192.00,804.00,801.00,"154,008.00",10-11-2022
GMFBS,800.00,811.00,800.00,192.00,804.00,801.00,"154,008.00",11-11-2022
GMFBS,800.00,811.00,800.00,192.00,804.00,801.00,"154,008.00",12-11-2022
GMFBS,804.00,807.00,801.00,184.00,801.00,804.00,"147,796.00",13-11-2022
GMFBS,786.60,802.00,786.60,264.00,790.00,801.00,"210,488.20",14-11-2022
GMFBS,790.00,800.00,750.00,994.00,750.00,790.00,"775,032.50",15-11-2022
GMFBS,765.00,807.80,765.00,232.00,807.80,750.00,"184,292.00",16-11-2022
GMFBS,822.90,822.90,810.20,464.00,821.90,807.80,"379,620.50",17-11-2022
GMFBS,822.90,822.90,810.20,464.00,821.90,807.80,"379,620.50",18-11-2022
GMFBS,822.90,822.90,810.20,464.00,821.90,807.80,"379,620.50",19-11-2022
GMFBS,822.90,822.90,810.20,464.00,821.90,807.80,"379,620.50",20-11-2022
GMFBS,822.90,822.90,810.20,464.00,821.90,807.80,"379,620.50",21-11-2022
GMFBS,838.30,838.30,807.00,350.00,808.20,821.90,"283,614.10",22-11-2022
GMFBS,795.00,808.20,794.00,138.00,797.00,808.20,"110,369.20",23-11-2022
