Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
GMFIL,351.0,367.0,350.0,"18,698.00",357.0,356.0,"6,697,258.50",10-08-2022
GMFIL,351.0,367.0,350.0,"18,698.00",357.0,356.0,"6,697,258.50",10-08-2022
GMFIL,354.0,367.2,350.2,"17,066.00",356.0,357.0,"6,083,605.80",11-08-2022
GMFIL,354.0,367.2,350.2,"17,066.00",356.0,357.0,"6,083,605.80",12-08-2022
GMFIL,354.0,367.2,350.2,"17,066.00",356.0,357.0,"6,083,605.80",13-08-2022
GMFIL,353.0,357.0,350.1,"12,363.00",351.0,356.0,"4,363,064.30",14-08-2022
GMFIL,345.0,377.0,345.0,"27,164.00",377.0,351.0,"9,969,180.00",15-08-2022
GMFIL,384.0,392.0,359.0,"51,780.00",365.0,377.0,"19,543,665.00",16-08-2022
GMFIL,366.1,375.0,360.0,"20,320.00",370.0,365.0,"7,457,708.10",17-08-2022
GMFIL,377.4,390.0,372.0,"42,409.00",385.0,370.0,"16,233,821.00",18-08-2022
GMFIL,377.4,390.0,372.0,"42,409.00",385.0,370.0,"16,233,821.00",19-08-2022
GMFIL,377.4,390.0,372.0,"42,409.00",385.0,370.0,"16,233,821.00",20-08-2022
GMFIL,385.0,393.0,370.0,"16,917.00",378.0,385.0,"6,447,081.00",21-08-2022
GMFIL,378.0,382.8,371.0,"13,333.00",376.0,378.0,"5,014,937.80",22-08-2022
GMFIL,380.0,380.0,369.0,"8,676.00",375.0,376.0,"3,227,328.00",23-08-2022
GMFIL,382.5,382.7,370.0,"14,907.00",374.0,375.0,"5,570,222.50",24-08-2022
GMFIL,379.9,379.9,358.0,"10,605.00",361.0,374.0,"3,884,967.80",25-08-2022
GMFIL,358.0,358.0,348.0,"25,302.00",354.9,361.0,"8,917,070.50",26-08-2022
GMFIL,358.0,358.0,348.0,"25,302.00",354.9,361.0,"8,917,070.50",27-08-2022
GMFIL,349.0,356.0,338.0,"31,231.00",338.0,354.9,"10,753,943.20",28-08-2022
GMFIL,333.0,358.3,333.0,"17,255.00",345.0,338.0,"6,022,817.70",29-08-2022
GMFIL,351.9,357.9,343.0,"4,988.00",348.0,345.0,"1,730,556.40",30-08-2022
GMFIL,348.0,348.0,336.0,"9,020.00",340.1,348.0,"3,069,594.30",31-08-2022
GMFIL,340.1,355.0,331.0,"14,200.00",348.0,340.1,"4,833,829.50",01-09-2022
GMFIL,348.0,349.8,342.9,"1,365.00",342.9,348.0,"471,017.00",02-09-2022
GMFIL,348.0,349.8,342.9,"1,365.00",342.9,348.0,"471,017.00",03-09-2022
GMFIL,342.9,353.8,342.9,"4,021.00",344.0,342.9,"1,388,684.60",04-09-2022
GMFIL,350.0,355.0,339.2,"4,235.00",344.9,344.0,"1,446,740.00",05-09-2022
GMFIL,339.0,344.0,335.2,"4,043.00",338.6,344.9,"1,364,678.70",06-09-2022
GMFIL,332.0,341.9,332.0,"6,738.00",338.0,338.6,"2,251,992.50",07-09-2022
GMFIL,332.1,345.8,332.0,"7,193.00",339.0,338.0,"2,433,429.20",08-09-2022
GMFIL,332.1,345.8,332.0,"7,193.00",339.0,338.0,"2,433,429.20",09-09-2022
GMFIL,332.1,345.8,332.0,"7,193.00",339.0,338.0,"2,433,429.20",10-09-2022
GMFIL,333.3,340.0,333.0,"7,875.00",336.0,339.0,"2,641,269.50",11-09-2022
GMFIL,331.6,332.9,326.2,"10,805.00",330.0,336.0,"3,568,270.00",12-09-2022
GMFIL,336.0,342.0,336.0,"9,331.00",338.0,330.0,"3,167,190.30",13-09-2022
GMFIL,339.0,360.2,339.0,"23,550.00",360.0,338.0,"8,352,826.50",14-09-2022
GMFIL,367.2,367.2,335.0,"30,112.00",337.0,360.0,"10,489,308.50",15-09-2022
GMFIL,331.0,336.9,324.0,"12,572.00",330.0,337.0,"4,142,319.40",16-09-2022
GMFIL,331.0,336.9,324.0,"12,572.00",330.0,337.0,"4,142,319.40",17-09-2022
GMFIL,336.6,336.6,323.4,"11,861.00",323.4,330.0,"3,873,625.00",18-09-2022
GMFIL,336.6,336.6,323.4,"11,861.00",323.4,330.0,"3,873,625.00",19-09-2022
GMFIL,318.0,320.2,307.0,"19,741.00",310.5,323.4,"6,144,461.60",20-09-2022
GMFIL,316.7,323.0,316.3,"7,395.00",318.2,310.5,"2,363,545.00",21-09-2022
GMFIL,320.0,320.0,315.1,"4,522.00",316.3,318.2,"1,438,417.00",22-09-2022
GMFIL,320.0,320.0,315.1,"4,522.00",316.3,318.2,"1,438,417.00",23-09-2022
GMFIL,320.0,320.0,315.1,"4,522.00",316.3,318.2,"1,438,417.00",24-09-2022
GMFIL,310.1,314.0,305.0,"6,660.00",306.0,316.3,"2,047,709.60",25-09-2022
GMFIL,310.1,314.0,305.0,"6,660.00",306.0,316.3,"2,047,709.60",26-09-2022
GMFIL,310.0,317.0,309.0,"9,945.00",315.5,306.0,"3,112,285.10",27-09-2022
GMFIL,312.1,314.0,305.8,"7,404.00",311.0,315.5,"2,292,721.20",28-09-2022
GMFIL,316.9,321.9,310.1,"12,074.00",321.9,311.0,"3,786,469.50",29-09-2022
GMFIL,316.9,321.9,310.1,"12,074.00",321.9,311.0,"3,786,469.50",30-09-2022
GMFIL,316.9,321.9,310.1,"12,074.00",321.9,311.0,"3,786,469.50",01-10-2022
GMFIL,316.9,321.9,310.1,"12,074.00",321.9,311.0,"3,786,469.50",02-10-2022
GMFIL,316.9,321.9,310.1,"12,074.00",321.9,311.0,"3,786,469.50",03-10-2022
GMFIL,316.9,321.9,310.1,"12,074.00",321.9,311.0,"3,786,469.50",04-10-2022
GMFIL,316.9,321.9,310.1,"12,074.00",321.9,311.0,"3,786,469.50",05-10-2022
GMFIL,316.9,321.9,310.1,"12,074.00",321.9,311.0,"3,786,469.50",06-10-2022
GMFIL,316.9,321.9,310.1,"12,074.00",321.9,311.0,"3,786,469.50",07-10-2022
GMFIL,316.9,321.9,310.1,"12,074.00",321.9,311.0,"3,786,469.50",08-10-2022
GMFIL,325.0,353.0,325.0,"7,883.00",349.9,321.9,"2,700,949.50",09-10-2022
GMFIL,355.0,355.0,332.0,"9,121.00",339.6,349.9,"3,085,147.30",10-10-2022
GMFIL,333.0,333.0,326.0,"3,463.00",330.0,339.6,"1,136,219.20",11-10-2022
GMFIL,325.0,342.0,325.0,"9,710.00",339.0,330.0,"3,279,363.60",12-10-2022
GMFIL,340.0,345.0,329.1,"5,396.00",341.9,339.0,"1,821,258.90",13-10-2022
GMFIL,340.0,345.0,329.1,"5,396.00",341.9,339.0,"1,821,258.90",14-10-2022
GMFIL,340.0,345.0,329.1,"5,396.00",341.9,339.0,"1,821,258.90",15-10-2022
GMFIL,337.0,337.0,327.0,"5,540.00",331.0,341.9,"1,836,814.30",16-10-2022
GMFIL,337.0,344.3,325.0,"3,601.00",329.9,331.0,"1,183,936.60",17-10-2022
GMFIL,337.0,344.3,325.0,"3,601.00",329.9,331.0,"1,183,936.60",18-10-2022
GMFIL,324.0,324.0,317.6,"1,882.00",323.5,329.9,"605,502.90",19-10-2022
GMFIL,325.0,325.0,318.5,"5,694.00",319.0,323.5,"1,823,211.50",20-10-2022
GMFIL,325.0,325.0,318.5,"5,694.00",319.0,323.5,"1,823,211.50",21-10-2022
GMFIL,325.0,325.0,318.5,"5,694.00",319.0,323.5,"1,823,211.50",22-10-2022
GMFIL,318.0,329.0,318.0,"1,945.00",322.0,319.0,"627,214.00",23-10-2022
GMFIL,318.0,329.0,318.0,"1,945.00",322.0,319.0,"627,214.00",24-10-2022
GMFIL,318.0,329.0,318.0,"1,945.00",322.0,319.0,"627,214.00",25-10-2022
GMFIL,318.0,329.0,318.0,"1,945.00",322.0,319.0,"627,214.00",26-10-2022
GMFIL,318.0,329.0,318.0,"1,945.00",322.0,319.0,"627,214.00",27-10-2022
