Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
GMLI,"1,158.00","1,178.80","1,155.10",755.0,"1,157.00","1,180.00","877,087.00",06-07-2026
GMLI,"1,190.70","1,190.70","1,137.10",550.0,"1,185.00","1,157.00","636,909.00",07-07-2026
GMLI,"1,150.00","1,179.00","1,136.00",858.0,"1,173.90","1,185.00","989,389.00",08-07-2026
GMLI,"1,142.00","1,149.90","1,115.00",849.0,"1,149.90","1,173.90","960,773.30",09-07-2026
GMLI,"1,116.00","1,179.80","1,116.00",356.0,"1,149.00","1,149.90","402,857.80",10-07-2026
GMLI,"1,145.00","1,150.50","1,120.00","1,473.00","1,150.00","1,149.00","1,661,014.10",13-07-2026
GMLI,"1,125.10","1,220.00","1,114.00","3,443.00","1,170.00","1,150.00","3,920,245.00",14-07-2026
GMLI,"1,145.50","1,179.00","1,145.50",598.00,"1,173.00","1,170.00","694,545.00",15-07-2026
GMLI,"1,173.00","1,184.90","1,140.00",934.00,"1,169.90","1,173.00","1,075,707.00",16-07-2026
GMLI,"1,140.00","1,271.00","1,140.00","6,158.00","1,231.00","1,169.90","7,422,683.20",17-07-2026
GMLI,"1,267.90","1,267.90","1,200.00","2,413.00","1,253.90","1,231.00","2,957,674.80",20-07-2026
GMLI,"1,286.90","1,286.90","1,200.40",450.00,"1,248.90","1,253.90","557,792.00",21-07-2026
GMLI,"1,215.00","1,267.00","1,180.00","5,648.00","1,200.00","1,248.90","6,788,989.80",22-07-2026
GMLI,"1,201.00","1,201.00","1,170.50","2,062.00","1,195.00","1,200.00","2,432,253.50",23-07-2026
GMLI,"1,187.00","1,205.00","1,157.00",853.00,"1,175.00","1,186.50","998,657.30",27-07-2026
GMLI,"1,170.00","1,170.00","1,151.30","1,130.00","1,164.00","1,175.00","1,311,212.00",28-07-2026
GMLI,"1,145.80","1,172.00","1,145.80","1,061.00","1,155.00","1,164.00","1,231,961.50",29-07-2026
GMLI,"1,135.40","1,148.40","1,135.40",851.00,"1,137.10","1,155.00","971,552.80",30-07-2026
GMLI,"1,130.10","1,149.90","1,130.10",444.00,"1,149.00","1,137.10","505,211.80",31-07-2026
GMLI,"1,177.00","1,177.00","1,132.30","3,513.00","1,145.00","1,149.00","4,014,013.40",03-08-2026
GMLI,"1,121.00","1,145.00","1,121.00",776.00,"1,131.90","1,145.00","873,010.00",04-08-2026
GMLI,"1,110.00","1,143.00","1,110.00","2,078.00","1,117.00","1,131.90","2,326,965.60",05-08-2026
GMLI,"1,117.00","1,134.00","1,085.10","3,222.00","1,104.00","1,117.00","3,573,973.00",06-08-2026
GMLI,"1,106.00","1,129.90","1,090.00","2,767.00","1,105.00","1,104.00","3,049,589.00",07-08-2026
GMLI,"1,086.50","1,100.00","1,086.00","2,828.00","1,100.00","1,105.00","3,087,439.50",10-08-2026
GMLI,"1,086.00","1,161.60","1,011.00","3,249.00","1,103.00","1,100.00","3,564,961.50",11-08-2026
GMLI,"1,105.00","1,140.00","1,075.00","1,005.00","1,095.00","1,103.00","1,106,086.50",12-08-2026
GMLI,"1,127.00","1,194.00","1,090.00","1,058.00","1,098.00","1,095.00","1,170,692.00",13-08-2026
GMLI,"1,070.00","1,099.00","1,051.00","3,071.00","1,099.00","1,098.00","3,294,399.90",14-08-2026
GMLI,"1,120.00","1,120.00","1,059.00","1,241.00","1,066.00","1,099.00","1,321,626.70",17-08-2026
GMLI,"1,040.00","1,112.00","1,040.00","1,892.00","1,070.00","1,066.00","2,029,109.00",18-08-2026
GMLI,"1,050.00","1,060.00","1,026.00","1,430.00","1,056.00","1,070.00","1,494,115.50",19-08-2026
GMLI,"1,026.00","1,077.00","1,016.00","1,101.00","1,025.10","1,056.00","1,142,046.70",20-08-2026
GMLI,974.00,"1,086.00",974.00,"2,102.00","1,025.00","1,025.10","2,138,143.30",21-08-2026
GMLI,"1,015.00","1,015.00",996.00,802.00,"1,000.00","1,025.00","806,146.60",24-08-2026
GMLI,"1,000.00","1,000.00",985.10,"1,157.00",985.20,"1,000.00","1,144,501.50",25-08-2026
GMLI,985.20,999.90,942.90,"1,532.00",977.00,985.20,"1,477,508.40",26-08-2026
GMLI,950.00,950.00,917.10,828.00,933.00,958.40,"768,083.00",31-08-2026
GMLI,905.20,950.00,905.20,582.00,948.00,933.00,"544,292.50",01-09-2026
GMLI,921.10,959.00,920.00,543.00,949.80,948.00,"510,424.60",02-09-2026
GMLI,950.00,950.00,927.10,"1,021.00",944.00,949.80,"953,807.00",03-09-2026
GMLI,919.00,987.00,919.00,602.00,951.00,944.00,"575,516.00",07-09-2026
GMLI,951.00,960.00,940.00,430.00,957.90,951.00,"406,872.50",09-09-2026
GMLI,950.00,950.00,930.00,445.00,944.00,957.90,"417,786.50",10-09-2026
GMLI,970.00,"1,001.00",889.00,"3,616.00",991.90,944.00,"3,486,676.20",11-09-2026
GMLI,"1,014.90","1,015.00",985.20,526.00,"1,003.70",991.90,"526,856.00",14-09-2026
GMLI,"1,033.80","1,040.00","1,001.00","2,177.00","1,020.10","1,003.70","2,226,304.70",15-09-2026
GMLI,992.00,"1,025.00",980.00,"2,960.00",998.80,"1,020.10","2,956,866.50",16-09-2026
