Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
GWFD83,"1,100.00","1,100.00","1,072.50",300.0,"1,072.50","1,100.00","326,265.00",10-07-2026
GWFD83,"1,072.50","1,100.00","1,072.50",199.0,"1,114.00","1,072.50","218,945.00",13-07-2026
GWFD83,"1,114.00","1,135.00","1,110.00",302.0,"1,120.00","1,114.00","341,524.70",14-07-2026
GWFD83,"1,120.00","1,140.80","1,120.00",11.0,"1,140.80","1,120.00","12,584.00",15-07-2026
GWFD83,"1,140.80","1,140.80","1,140.80",6.0,"1,153.00","1,140.80","6,962.80",16-07-2026
GWFD83,"1,153.00","1,160.00","1,153.00",46.0,"1,160.00","1,153.00","53,410.60",17-07-2026
GWFD83,"1,160.00","1,160.00","1,160.00",2.0,"1,158.00","1,160.00","2,376.00",20-07-2026
GWFD83,"1,158.00","1,158.00","1,158.00",1.0,"1,123.30","1,158.00","1,123.30",30-07-2026
GWFD83,"1,123.30","1,123.30","1,123.30",1.0,"1,089.70","1,123.30","1,089.70",31-07-2026
GWFD83,"1,057.10","1,057.10","1,031.00",125.0,"1,030.20","1,089.70","129,287.50",04-08-2026
GWFD83,"1,030.20","1,030.20","1,030.20",2.0,"1,085.00","1,030.20","2,146.00",05-08-2026
GWFD83,"1,085.00","1,085.00","1,085.00",11.0,"1,054.30","1,085.00","11,845.20",12-08-2026
GWFD83,"1,054.30","1,054.30","1,054.30",1.0,"1,085.00","1,054.30","1,085.00",13-08-2026
GWFD83,"1,065.00","1,065.00","1,065.00",25.0,"1,065.00","1,085.00","26,625.00",17-08-2026
GWFD83,"1,034.00","1,034.00","1,034.00",14.0,"1,034.00","1,065.00","14,476.00",24-08-2026
GWFD83,"1,034.00","1,035.00","1,034.00",50.0,"1,035.00","1,034.00","51,744.10",25-08-2026
GWFD83,"1,027.00","1,027.00","1,016.20",400.0,"1,016.20","1,035.00","407,069.00",31-08-2026
GWFD83,"1,016.30","1,016.30","1,016.00",96.0,"1,016.00","1,016.20","97,546.00",01-09-2026
GWFD83,"1,016.00","1,046.00","1,016.00",11.0,"1,046.00","1,016.00","11,506.00",02-09-2026
GWFD83,"1,020.10","1,020.10","1,020.10",10.0,"1,020.10","1,046.00","10,201.00",07-09-2026
GWFD83,"1,020.60","1,020.60","1,018.20",196.0,"1,018.20","1,020.10","199,822.20",10-09-2026
GWFD83,"1,018.20","1,049.60","1,018.20",16.0,"1,049.60","1,018.20","16,763.10",11-09-2026
GWFD83,"1,030.00","1,030.00","1,025.10",482.0,"1,045.00","1,049.60","496,097.80",15-09-2026
GWFD83,"1,042.00","1,042.00","1,042.00",63.00,"1,042.00","1,045.00","65,646.00",24-09-2026
