Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
H8020,11.62,11.62,11.62,200.0,11.62,11.95,"2,324.00",06-07-2026
H8020,11.04,11.9,11.04,"1,650.00",11.9,11.62,"19,049.50",07-07-2026
H8020,11.65,12.12,11.65,"2,264.00",12.12,11.9,"26,994.58",08-07-2026
H8020,11.76,11.76,11.65,700.00,11.65,12.12,"8,188.00",09-07-2026
H8020,11.65,11.95,11.65,"22,706.00",11.8,11.65,"268,279.80",10-07-2026
H8020,11.45,11.7,11.45,"1,220.00",11.7,11.8,"14,123.60",13-07-2026
H8020,11.5,11.56,11.5,"3,030.00",11.55,11.7,"35,001.50",14-07-2026
H8020,11.55,12.15,11.55,"3,060.00",12.0,11.55,"35,608.00",15-07-2026
H8020,11.65,11.65,11.65,"10,000.00",11.65,12.0,"116,500.00",16-07-2026
H8020,11.35,11.72,11.35,550.00,11.72,11.65,"6,384.50",17-07-2026
H8020,11.55,11.62,11.55,800.00,11.62,11.72,"9,285.00",20-07-2026
H8020,11.56,11.97,11.56,"2,300.00",11.97,11.62,"27,139.00",21-07-2026
H8020,11.97,12.3,11.97,469.00,12.3,11.97,"5,735.70",22-07-2026
H8020,12.3,12.3,11.8,"4,456.00",12.0,12.3,"53,668.80",23-07-2026
H8020,11.8,11.81,11.8,"1,000.00",11.81,12.0,"11,809.00",27-07-2026
H8020,11.7,12.1,11.7,800.00,11.81,11.81,"9,431.00",28-07-2026
H8020,11.7,11.81,11.7,"3,200.00",11.7,11.81,"37,681.00",29-07-2026
H8020,11.70,11.70,11.65,"3,700.00",11.70,11.70,"43,280.00",30-07-2026
