Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
HATHY,701.0,712.0,696.0,"8,560.00",697.0,701.0,"5,987,582.60",06-07-2026
HATHY,700.0,703.0,691.2,"5,570.00",703.0,697.0,"3,889,278.10",07-07-2026
HATHY,700.0,745.0,681.1,"8,237.00",703.0,703.0,"5,803,125.10",08-07-2026
HATHY,691.0,696.0,667.0,"6,267.00",689.9,703.0,"4,266,627.70",09-07-2026
HATHY,675.0,693.0,675.0,"3,429.00",689.8,689.9,"2,347,011.20",10-07-2026
HATHY,681.0,690.0,673.0,"4,910.00",679.9,689.8,"3,333,310.50",13-07-2026
HATHY,665.1,690.0,662.0,"3,689.00",690.0,679.9,"2,491,612.80",14-07-2026
HATHY,699.0,699.0,672.1,"6,928.00",672.2,690.0,"4,699,568.90",15-07-2026
HATHY,675.0,675.0,660.0,"6,428.00",672.9,672.2,"4,277,687.40",16-07-2026
HATHY,675.0,720.0,675.0,"10,866.00",720.0,672.9,"7,672,683.50",17-07-2026
HATHY,720.0,782.0,720.0,"11,632.00",782.0,720.0,"8,665,131.50",20-07-2026
HATHY,785.0,785.0,750.0,"30,191.00",770.0,782.0,"23,079,493.60",21-07-2026
HATHY,770.0,770.0,730.5,"9,728.00",755.0,770.0,"7,287,762.70",22-07-2026
HATHY,767.0,767.0,744.2,"3,251.00",757.9,755.0,"2,443,182.90",23-07-2026
HATHY,750.0,759.0,725.0,"10,058.00",737.0,755.0,"7,382,631.80",27-07-2026
HATHY,737.0,740.0,720.0,"5,096.00",721.0,737.0,"3,688,974.40",28-07-2026
HATHY,742.6,742.6,703.4,"3,398.00",726.0,721.0,"2,450,212.60",29-07-2026
HATHY,726.0,739.0,711.0,"3,152.00",712.0,726.0,"2,256,331.30",30-07-2026
HATHY,727.0,727.0,702.0,"4,107.00",714.0,712.0,"2,911,448.90",31-07-2026
HATHY,701.0,722.0,697.0,"5,364.00",705.0,714.0,"3,774,543.80",03-08-2026
HATHY,690.1,702.0,685.9,"3,739.00",692.0,705.0,"2,593,831.10",04-08-2026
HATHY,726.0,726.0,680.0,"4,134.00",696.0,692.0,"2,852,091.30",05-08-2026
HATHY,681.0,696.9,681.0,"2,640.00",685.9,696.0,"1,815,497.70",06-08-2026
HATHY,681.2,694.5,681.0,"4,014.00",693.0,685.9,"2,760,286.80",07-08-2026
HATHY,705.0,705.0,680.0,"7,602.00",680.0,693.0,"5,203,221.80",10-08-2026
HATHY,646.0,705.0,646.0,"7,526.00",680.0,680.0,"5,151,937.80",11-08-2026
HATHY,681.0,695.0,673.0,"4,187.00",676.0,680.0,"2,837,723.20",12-08-2026
HATHY,676.0,684.9,676.0,"1,764.00",677.0,676.0,"1,196,015.00",13-08-2026
HATHY,678.2,683.0,676.0,"4,648.00",677.0,677.0,"3,160,131.60",14-08-2026
HATHY,677.0,677.0,646.0,"15,034.00",652.6,677.0,"9,833,511.60",17-08-2026
HATHY,658.00,668.00,615.00,"34,935.00",618.90,652.60,"22,002,250.50",18-08-2026
