Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
HBL,323.0,333.5,322.1,"5,530.00",330.0,326.0,"1,819,379.80",10-08-2022
HBL,323.0,333.5,322.1,"5,530.00",330.0,326.0,"1,819,379.80",10-08-2022
HBL,325.0,331.0,320.0,"13,132.00",323.0,330.0,"4,271,226.80",11-08-2022
HBL,325.0,331.0,320.0,"13,132.00",323.0,330.0,"4,271,226.80",12-08-2022
HBL,325.0,331.0,320.0,"13,132.00",323.0,330.0,"4,271,226.80",13-08-2022
HBL,323.0,323.0,313.6,"13,686.00",313.6,323.0,"4,351,261.90",14-08-2022
HBL,313.0,318.0,308.0,"13,038.00",315.5,313.6,"4,093,495.40",15-08-2022
HBL,316.0,325.0,315.0,"11,487.00",321.5,315.5,"3,696,545.40",16-08-2022
HBL,326.0,326.0,319.5,"8,356.00",321.0,321.5,"2,683,088.30",17-08-2022
HBL,327.0,327.0,322.3,"5,060.00",323.1,321.0,"1,639,924.80",18-08-2022
HBL,327.0,327.0,322.3,"5,060.00",323.1,321.0,"1,639,924.80",19-08-2022
HBL,327.0,327.0,322.3,"5,060.00",323.1,321.0,"1,639,924.80",20-08-2022
HBL,329.0,330.0,324.2,"15,429.00",327.0,323.1,"5,047,737.20",21-08-2022
HBL,321.0,327.0,321.0,"6,849.00",322.8,327.0,"2,218,162.00",22-08-2022
HBL,328.0,335.0,325.3,"12,123.00",333.0,322.8,"4,018,603.70",23-08-2022
HBL,339.6,356.0,331.0,"19,050.00",345.0,333.0,"6,533,085.80",24-08-2022
HBL,349.0,352.0,345.0,"19,617.00",345.1,345.0,"6,810,686.20",25-08-2022
HBL,342.0,342.0,331.1,"13,410.00",334.1,345.1,"4,507,288.90",26-08-2022
HBL,342.0,342.0,331.1,"13,410.00",334.1,345.1,"4,507,288.90",27-08-2022
HBL,338.9,338.9,327.5,"10,827.00",328.1,334.1,"3,589,043.20",28-08-2022
HBL,325.0,331.5,325.0,"9,969.00",331.4,328.1,"3,267,568.40",29-08-2022
HBL,331.9,332.0,327.0,"4,660.00",329.0,331.4,"1,534,172.40",30-08-2022
HBL,326.0,327.9,325.0,"2,746.00",325.0,329.0,"895,577.30",31-08-2022
HBL,322.0,505.0,321.0,"10,589.00",322.0,325.0,"3,518,759.00",01-09-2022
HBL,320.1,324.9,320.1,"1,725.00",324.0,322.0,"557,974.30",02-09-2022
HBL,320.1,324.9,320.1,"1,725.00",324.0,322.0,"557,974.30",03-09-2022
HBL,320.0,328.0,320.0,"3,215.00",325.1,324.0,"1,045,435.10",04-09-2022
HBL,331.00,341.00,329.00,"5,422.00",329.00,325.10,"1,807,840.90",05-09-2022
