Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
HDL,"3,788.00","3,790.00","3,680.00","17,970.00","3,751.00","3,762.00","67,137,165.50",10-08-2022
HDL,"3,788.00","3,790.00","3,680.00","17,970.00","3,751.00","3,762.00","67,137,165.50",10-08-2022
HDL,"3,790.00","3,808.00","3,752.00","16,227.00","3,755.00","3,751.00","61,215,192.30",11-08-2022
HDL,"3,790.00","3,808.00","3,752.00","16,227.00","3,755.00","3,751.00","61,215,192.30",12-08-2022
HDL,"3,790.00","3,808.00","3,752.00","16,227.00","3,755.00","3,751.00","61,215,192.30",13-08-2022
HDL,"3,679.90","3,679.90","3,518.20","46,229.00","3,526.00","3,755.00","165,396,514.10",14-08-2022
HDL,"3,526.00","3,590.00","3,400.00","26,772.00","3,585.00","3,526.00","94,148,549.60",15-08-2022
HDL,"3,600.00","3,665.00","3,550.00","16,310.00","3,550.00","3,585.00","58,779,129.50",16-08-2022
HDL,"3,550.00","3,590.00","3,535.00","7,351.00","3,540.00","3,550.00","26,118,868.50",17-08-2022
HDL,"3,550.00","3,599.90","3,550.00","13,906.00","3,580.00","3,540.00","49,757,421.40",18-08-2022
HDL,"3,550.00","3,599.90","3,550.00","13,906.00","3,580.00","3,540.00","49,757,421.40",19-08-2022
HDL,"3,550.00","3,599.90","3,550.00","13,906.00","3,580.00","3,540.00","49,757,421.40",20-08-2022
HDL,"3,600.00","3,635.00","3,586.00","13,202.00","3,600.00","3,580.00","47,710,895.20",21-08-2022
HDL,"3,600.00","3,630.00","3,560.00","6,359.00","3,570.00","3,600.00","22,760,312.20",22-08-2022
HDL,"3,572.00","3,580.00","3,556.00","4,567.00","3,564.00","3,570.00","16,267,296.90",23-08-2022
HDL,"3,629.00","3,629.00","3,545.00","14,377.00","3,550.10","3,564.00","51,182,592.40",24-08-2022
HDL,"3,560.00","3,575.00","3,500.00","11,238.00","3,505.10","3,550.10","39,669,022.60",25-08-2022
HDL,"3,525.00","3,525.00","3,445.00","9,079.00","3,460.00","3,505.10","31,412,882.40",26-08-2022
HDL,"3,525.00","3,525.00","3,445.00","9,079.00","3,460.00","3,505.10","31,412,882.40",27-08-2022
HDL,"3,460.00","3,460.00","3,390.10","18,202.00","3,390.10","3,460.00","62,053,830.30",28-08-2022
HDL,"3,390.00","3,420.00","3,335.00","11,934.00","3,410.00","3,390.10","40,249,192.00",29-08-2022
HDL,"3,469.00","3,500.00","3,430.00","4,638.00","3,433.60","3,410.00","16,006,216.70",30-08-2022
HDL,"3,402.00","3,435.00","3,380.00","6,419.00","3,385.00","3,433.60","21,835,318.00",31-08-2022
HDL,"3,385.00","3,401.00","3,350.00","7,891.00","3,380.00","3,385.00","26,604,096.20",01-09-2022
HDL,"3,430.00","3,430.00","3,362.00","2,309.00","3,390.00","3,380.00","7,817,650.00",02-09-2022
HDL,"3,430.00","3,430.00","3,362.00","2,309.00","3,390.00","3,380.00","7,817,650.00",03-09-2022
HDL,"3,390.00","3,435.00","3,365.00","9,111.00","3,380.10","3,390.00","30,933,263.40",04-09-2022
HDL,"3,447.00","3,447.00","3,380.00","4,714.00","3,390.00","3,380.10","16,006,660.00",05-09-2022
HDL,"3,390.00","3,399.00","3,365.00","6,070.00","3,370.00","3,390.00","20,486,008.40",06-09-2022
HDL,"3,361.00","3,370.00","3,340.00","4,963.00","3,348.00","3,370.00","16,633,744.10",07-09-2022
HDL,"3,340.00","3,378.00","3,325.00","7,164.00","3,332.00","3,348.00","23,915,797.80",08-09-2022
HDL,"3,340.00","3,378.00","3,325.00","7,164.00","3,332.00","3,348.00","23,915,797.80",09-09-2022
HDL,"3,340.00","3,378.00","3,325.00","7,164.00","3,332.00","3,348.00","23,915,797.80",10-09-2022
HDL,"3,350.00","3,367.00","3,321.10","4,889.00","3,322.00","3,332.00","16,327,419.00",11-09-2022
HDL,"3,333.00","3,335.00","3,285.00","7,791.00","3,292.00","3,322.00","25,671,463.70",12-09-2022
HDL,"3,330.00","3,384.00","3,285.00","6,469.00","3,379.90","3,292.00","21,696,791.00",13-09-2022
HDL,"3,390.00","3,500.00","3,390.00","11,332.00","3,499.90","3,379.90","39,237,817.90",14-09-2022
HDL,"3,549.00","3,549.00","3,370.00","16,854.00","3,380.00","3,499.90","57,784,501.50",15-09-2022
HDL,"3,313.00","3,345.00","3,250.00","9,108.00","3,325.00","3,380.00","30,202,268.60",16-09-2022
HDL,"3,313.00","3,345.00","3,250.00","9,108.00","3,325.00","3,380.00","30,202,268.60",17-09-2022
HDL,"3,325.00","3,326.00","3,293.00","9,561.00","3,296.00","3,325.00","31,565,876.80",18-09-2022
HDL,"3,325.00","3,326.00","3,293.00","9,561.00","3,296.00","3,325.00","31,565,876.80",19-09-2022
HDL,"3,271.00","3,271.00","3,200.00","17,559.00","3,210.00","3,296.00","56,533,829.60",20-09-2022
