Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
HEI,509.6,509.6,459.5,"39,935.00",459.5,510.48,"18,551,021.40",10-08-2022
HEI,509.6,509.6,459.5,"39,935.00",459.5,510.48,"18,551,021.40",10-08-2022
HEI,450.4,450.4,424.0,"106,384.00",432.2,459.5,"46,151,404.80",11-08-2022
HEI,450.4,450.4,424.0,"106,384.00",432.2,459.5,"46,151,404.80",12-08-2022
HEI,450.4,450.4,424.0,"106,384.00",432.2,459.5,"46,151,404.80",13-08-2022
HEI,432.0,432.0,416.6,"18,955.00",424.0,432.2,"7,987,119.70",14-08-2022
HEI,430.0,438.6,400.9,"73,423.00",435.0,424.0,"30,312,370.10",15-08-2022
HEI,430.0,432.0,412.0,"29,833.00",421.9,435.0,"12,581,095.80",16-08-2022
HEI,416.5,434.0,411.0,"19,105.00",424.9,421.9,"8,004,230.50",17-08-2022
HEI,430.0,430.0,414.0,"36,151.00",417.9,424.9,"15,058,440.30",18-08-2022
HEI,430.0,430.0,414.0,"36,151.00",417.9,424.9,"15,058,440.30",19-08-2022
HEI,430.0,430.0,414.0,"36,151.00",417.9,424.9,"15,058,440.30",20-08-2022
HEI,415.0,419.8,413.1,"17,196.00",415.0,417.9,"7,125,597.40",21-08-2022
HEI,411.7,431.4,408.1,"11,844.00",417.9,415.0,"4,913,995.40",22-08-2022
HEI,417.0,419.0,408.0,"10,994.00",410.0,417.9,"4,537,827.90",23-08-2022
HEI,415.0,415.0,408.1,"8,711.00",411.8,410.0,"3,580,107.90",24-08-2022
HEI,407.0,414.0,399.0,"26,968.00",400.0,411.8,"10,924,520.70",25-08-2022
HEI,400.0,400.0,392.0,"12,876.00",392.0,400.0,"5,074,443.10",26-08-2022
HEI,400.0,400.0,392.0,"12,876.00",392.0,400.0,"5,074,443.10",27-08-2022
HEI,387.0,390.0,375.0,"24,649.00",375.1,392.0,"9,342,753.50",28-08-2022
HEI,378.0,385.0,371.0,"10,683.00",381.9,375.1,"4,049,582.20",29-08-2022
HEI,389.0,389.0,379.0,"7,955.00",383.9,381.9,"3,039,082.30",30-08-2022
HEI,389.5,389.5,370.0,"10,845.00",370.0,383.9,"4,058,927.50",31-08-2022
HEI,375.0,407.0,367.5,"143,616.00",407.0,370.0,"56,554,781.60",01-09-2022
HEI,415.1,415.1,394.0,"15,502.00",396.6,407.0,"6,244,176.80",02-09-2022
HEI,415.1,415.1,394.0,"15,502.00",396.6,407.0,"6,244,176.80",03-09-2022
HEI,403.0,436.0,400.0,"136,843.00",433.0,396.6,"57,816,560.90",04-09-2022
HEI,441.6,450.4,418.0,"107,791.00",450.0,433.0,"45,978,664.00",05-09-2022
HEI,441.0,465.0,414.0,"217,023.00",422.9,450.0,"91,418,726.40",06-09-2022
HEI,420.0,420.0,402.0,"113,241.00",404.1,422.9,"46,129,386.00",07-09-2022
HEI,400.3,421.1,400.0,"324,764.00",411.9,404.1,"131,045,365.90",08-09-2022
HEI,400.3,421.1,400.0,"324,764.00",411.9,404.1,"131,045,365.90",09-09-2022
HEI,400.3,421.1,400.0,"324,764.00",411.9,404.1,"131,045,365.90",10-09-2022
HEI,418.0,418.0,401.0,"97,751.00",406.7,411.9,"39,578,471.90",11-09-2022
HEI,400.5,404.0,398.6,"24,198.00",401.0,406.7,"9,685,945.20",12-09-2022
HEI,406.9,407.0,398.0,"95,720.00",404.5,401.0,"38,427,185.00",13-09-2022
HEI,400.0,413.5,400.0,"107,208.00",412.9,404.5,"43,447,099.00",14-09-2022
HEI,406.1,410.0,385.0,"102,070.00",392.0,412.9,"40,600,540.10",15-09-2022
HEI,384.2,406.0,378.0,"22,169.00",406.0,392.0,"8,574,918.50",16-09-2022
HEI,384.2,406.0,378.0,"22,169.00",406.0,392.0,"8,574,918.50",17-09-2022
HEI,398.0,398.0,379.0,"37,496.00",384.0,406.0,"14,393,975.70",18-09-2022
HEI,398.0,398.0,379.0,"37,496.00",384.0,406.0,"14,393,975.70",19-09-2022
HEI,377.0,377.0,366.2,"43,519.00",368.0,384.0,"16,052,468.20",20-09-2022
HEI,374.7,375.0,366.1,"21,990.00",370.7,368.0,"8,125,066.00",21-09-2022
