Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
HEIP,274.0,282.0,268.6,510.0,276.4,0.0,"138,050.00",02-09-2022
HEIP,274.0,282.0,268.6,510.0,276.4,0.0,"138,050.00",03-09-2022
HEIP,276.0,298.0,276.0,"11,192.00",291.4,276.4,"3,181,207.00",04-09-2022
HEIP,285.6,288.0,281.1,"1,162.00",281.1,291.4,"327,597.00",05-09-2022
HEIP,286.7,292.4,280.0,"1,898.00",291.2,281.1,"539,908.60",06-09-2022
HEIP,285.4,285.4,285.4,10.00,285.4,291.2,"2,854.00",07-09-2022
HEIP,285.4,285.4,285.4,17.00,285.4,285.4,"4,851.80",08-09-2022
HEIP,285.4,285.4,285.4,17.00,285.4,285.4,"4,851.80",09-09-2022
HEIP,285.4,285.4,285.4,17.00,285.4,285.4,"4,851.80",10-09-2022
HEIP,291.0,291.0,268.8,"2,040.00",268.8,285.4,"571,005.00",11-09-2022
HEIP,273.0,273.0,269.0,280.00,269.0,268.8,"76,099.00",12-09-2022
HEIP,274.0,274.0,274.0,500.00,274.0,269.0,"137,000.00",13-09-2022
HEIP,279.4,291.8,276.4,"1,435.00",281.8,274.0,"408,921.00",14-09-2022
HEIP,276.2,276.2,265.6,"2,524.00",265.7,281.8,"681,975.80",15-09-2022
HEIP,261.0,281.0,260.5,"1,051.00",281.0,265.7,"278,135.50",16-09-2022
HEIP,261.0,281.0,260.5,"1,051.00",281.0,265.7,"278,135.50",17-09-2022
HEIP,275.4,275.4,265.0,366.00,265.0,281.0,"100,325.00",18-09-2022
HEIP,275.4,275.4,265.0,366.00,265.0,281.0,"100,325.00",19-09-2022
HEIP,259.7,259.7,259.7,10.00,259.7,265.0,"2,597.00",20-09-2022
HEIP,264.0,269.0,255.0,"1,471.00",269.0,259.7,"378,121.40",21-09-2022
HEIP,263.7,263.7,254.3,350.00,254.3,269.0,"90,635.00",22-09-2022
HEIP,263.7,263.7,254.3,350.00,254.3,269.0,"90,635.00",23-09-2022
HEIP,263.7,263.7,254.3,350.00,254.3,269.0,"90,635.00",24-09-2022
HEIP,250.1,279.7,249.3,"1,630.00",279.7,254.3,"408,893.00",25-09-2022
HEIP,250.1,279.7,249.3,"1,630.00",279.7,254.3,"408,893.00",26-09-2022
HEIP,279.0,285.1,279.0,55.00,285.1,279.7,"15,406.00",27-09-2022
HEIP,290.5,290.5,290.5,10.00,290.5,285.1,"2,905.00",28-09-2022
HEIP,284.7,284.7,275.0,"816,282.00",279.0,290.5,"226,981,744.00",09-10-2022
HEIP,283.9,283.9,251.1,"593,932.00",251.1,279.0,"165,877,414.90",10-10-2022
HEIP,247.3,256.0,247.0,"5,315.00",256.0,251.1,"1,316,650.00",11-10-2022
HEIP,251.0,251.0,246.0,"1,740.00",251.0,256.0,"428,592.00",12-10-2022
HEIP,247.1,250.0,238.0,"4,780.00",250.0,251.0,"1,161,896.80",13-10-2022
HEIP,247.1,250.0,238.0,"4,780.00",250.0,251.0,"1,161,896.80",14-10-2022
HEIP,247.1,250.0,238.0,"4,780.00",250.0,251.0,"1,161,896.80",15-10-2022
HEIP,250.0,250.0,236.5,"1,541.00",247.5,250.0,"373,884.40",16-10-2022
HEIP,252.4,261.9,240.0,"1,190.00",251.4,247.5,"306,340.00",17-10-2022
HEIP,252.4,261.9,240.0,"1,190.00",251.4,247.5,"306,340.00",18-10-2022
HEIP,256.4,256.4,241.4,60.00,249.9,251.4,"15,002.00",19-10-2022
HEIP,254.8,254.8,238.0,559.00,238.1,249.9,"134,214.90",20-10-2022
