Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
HIDCL,211.9,212.0,204.0,"103,559.00",207.9,209.4,"21,583,865.30",10-08-2022
HIDCL,211.9,212.0,204.0,"103,559.00",207.9,209.4,"21,583,865.30",10-08-2022
HIDCL,211.0,212.0,204.0,"120,233.00",205.0,207.9,"24,871,623.60",11-08-2022
HIDCL,211.0,212.0,204.0,"120,233.00",205.0,207.9,"24,871,623.60",12-08-2022
HIDCL,211.0,212.0,204.0,"120,233.00",205.0,207.9,"24,871,623.60",13-08-2022
HIDCL,206.0,210.0,200.0,"160,174.00",201.9,205.0,"32,492,664.30",14-08-2022
HIDCL,201.9,214.0,201.0,"153,670.00",214.0,201.9,"32,136,362.60",15-08-2022
HIDCL,218.2,222.0,208.0,"165,060.00",209.0,214.0,"35,305,116.00",16-08-2022
HIDCL,213.0,213.0,206.1,"58,107.00",207.9,209.0,"12,153,816.00",17-08-2022
HIDCL,208.0,213.0,208.0,"99,406.00",212.6,207.9,"21,000,638.70",18-08-2022
HIDCL,208.0,213.0,208.0,"99,406.00",212.6,207.9,"21,000,638.70",19-08-2022
HIDCL,208.0,213.0,208.0,"99,406.00",212.6,207.9,"21,000,638.70",20-08-2022
HIDCL,212.0,215.0,208.9,"74,996.00",209.0,212.6,"15,853,149.70",21-08-2022
HIDCL,212.0,212.0,206.1,"55,244.00",207.5,209.0,"11,488,174.50",22-08-2022
HIDCL,206.0,210.0,206.0,"43,207.00",208.0,207.5,"8,978,585.00",23-08-2022
HIDCL,208.0,211.0,207.0,"49,715.00",207.0,208.0,"10,363,826.60",24-08-2022
HIDCL,207.0,211.0,204.1,"68,338.00",205.0,207.0,"14,110,516.30",25-08-2022
HIDCL,205.0,205.0,200.0,"78,494.00",202.5,205.0,"15,851,293.30",26-08-2022
HIDCL,205.0,205.0,200.0,"78,494.00",202.5,205.0,"15,851,293.30",27-08-2022
HIDCL,202.50,203.80,196.00,"139,016.00",196.00,202.50,"27,663,564.40",28-08-2022
