Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
HIDCLP,115.2,115.2,101.7,"166,062.00",103.7,113.0,"17,140,158.00",26-08-2022
HIDCLP,115.2,115.2,101.7,"166,062.00",103.7,113.0,"17,140,158.00",27-08-2022
HIDCLP,105.5,105.5,98.0,"77,430.00",100.0,103.7,"7,679,395.00",28-08-2022
HIDCLP,98.0,104.3,96.5,"16,850.00",100.4,100.0,"1,687,670.00",29-08-2022
HIDCLP,102.3,102.3,97.3,"63,770.00",100.4,100.4,"6,292,065.00",30-08-2022
HIDCLP,102.4,104.0,97.1,"34,940.00",98.2,100.4,"3,434,156.00",31-08-2022
HIDCLP,98.2,106.3,98.0,"120,254.00",100.0,98.2,"12,019,451.00",01-09-2022
HIDCLP,101.9,106.8,99.9,"50,310.00",105.5,100.0,"5,180,282.30",02-09-2022
HIDCLP,101.9,106.8,99.9,"50,310.00",105.5,100.0,"5,180,282.30",03-09-2022
HIDCLP,103.4,107.3,103.1,"202,424.00",107.3,105.5,"21,366,420.60",04-09-2022
HIDCLP,105.2,108.0,104.1,"76,871.00",105.5,107.3,"8,143,570.90",05-09-2022
HIDCLP,104.9,104.9,101.2,"51,890.00",101.7,105.5,"5,321,586.00",06-09-2022
HIDCLP,103.7,104.9,100.9,"19,640.00",104.5,101.7,"2,017,803.00",07-09-2022
HIDCLP,102.5,103.9,102.0,"3,020.00",103.0,104.5,"308,569.00",08-09-2022
HIDCLP,102.5,103.9,102.0,"3,020.00",103.0,104.5,"308,569.00",09-09-2022
HIDCLP,102.50,103.90,102.00,"3,020.00",103.00,104.50,"308,569.00",10-09-2022
