Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
HIMSTAR,761.0,761.0,722.0,"7,139.00",743.0,773.0,"5,292,866.50",06-07-2026
HIMSTAR,721.1,742.0,721.1,"3,798.00",740.0,743.0,"2,784,009.00",07-07-2026
HIMSTAR,724.0,737.9,713.1,"3,085.00",713.1,740.0,"2,224,491.00",08-07-2026
HIMSTAR,712.0,713.0,659.6,"9,538.00",678.0,713.1,"6,530,961.40",09-07-2026
HIMSTAR,677.9,696.9,660.1,"2,758.00",670.0,678.0,"1,863,555.00",10-07-2026
HIMSTAR,680.0,680.0,610.2,"8,541.00",627.0,670.0,"5,449,316.40",13-07-2026
HIMSTAR,625.0,655.0,596.1,"8,078.00",644.0,627.0,"5,041,732.00",14-07-2026
HIMSTAR,650.0,655.0,627.0,"3,845.00",649.9,644.0,"2,448,798.80",15-07-2026
HIMSTAR,634.0,650.0,633.5,"3,549.00",648.5,649.9,"2,272,171.70",16-07-2026
HIMSTAR,653.0,719.0,653.0,"8,444.00",714.0,648.5,"5,767,883.40",17-07-2026
HIMSTAR,714.0,770.0,693.0,"10,958.00",762.0,714.0,"8,113,910.60",20-07-2026
HIMSTAR,770.0,784.0,745.0,"15,018.00",774.9,762.0,"11,468,834.60",21-07-2026
HIMSTAR,755.0,760.0,730.1,"8,786.00",751.0,774.9,"6,555,661.60",22-07-2026
HIMSTAR,731.0,760.0,717.0,"10,128.00",759.0,751.0,"7,475,787.60",23-07-2026
HIMSTAR,748.0,780.0,721.1,"7,989.00",728.0,770.0,"5,966,784.70",27-07-2026
HIMSTAR,749.7,749.8,727.4,"6,080.00",739.0,728.0,"4,468,722.00",28-07-2026
HIMSTAR,722.7,745.1,722.7,"4,500.00",742.9,739.0,"3,292,378.60",29-07-2026
HIMSTAR,728.1,732.0,715.0,"3,315.00",725.0,742.9,"2,400,399.70",30-07-2026
HIMSTAR,710.0,740.0,710.0,"1,586.00",740.0,725.0,"1,145,658.00",31-07-2026
HIMSTAR,760.5,760.5,726.2,"2,599.00",738.7,740.0,"1,901,922.00",03-08-2026
HIMSTAR,737.0,737.0,721.0,"3,316.00",730.0,738.7,"2,396,848.70",04-08-2026
HIMSTAR,721.0,730.0,706.1,"2,432.00",727.0,730.0,"1,745,763.50",05-08-2026
HIMSTAR,709.0,720.0,706.0,"2,781.00",708.0,727.0,"1,974,842.20",06-08-2026
HIMSTAR,696.0,707.8,690.0,"4,565.00",696.0,708.0,"3,184,631.70",07-08-2026
HIMSTAR,690.0,694.0,685.0,"2,624.00",693.0,696.0,"1,805,780.00",10-08-2026
HIMSTAR,682.1,719.5,682.0,"5,620.00",718.9,693.0,"3,969,611.00",11-08-2026
HIMSTAR,724.9,734.7,707.1,"3,402.00",715.0,718.9,"2,435,575.00",12-08-2026
HIMSTAR,702.3,714.9,697.1,"2,030.00",701.3,715.0,"1,425,309.70",13-08-2026
HIMSTAR,691.1,728.9,680.1,"7,840.00",690.0,701.3,"5,451,078.80",14-08-2026
HIMSTAR,690.0,701.5,683.3,"2,615.00",692.0,690.0,"1,816,603.60",17-08-2026
HIMSTAR,692.0,700.0,682.2,"1,146.00",698.0,692.0,"793,898.10",18-08-2026
HIMSTAR,680.1,698.9,680.1,"2,640.00",686.4,698.0,"1,817,222.00",19-08-2026
HIMSTAR,671.0,690.0,671.0,"1,570.00",688.7,686.4,"1,068,939.00",20-08-2026
HIMSTAR,685.0,699.9,670.0,"3,560.00",670.0,688.7,"2,424,880.80",21-08-2026
HIMSTAR,670.0,675.0,652.1,"6,689.00",655.0,670.0,"4,444,729.60",24-08-2026
HIMSTAR,665.0,665.0,655.0,"3,400.00",658.0,655.0,"2,251,033.50",25-08-2026
HIMSTAR,651.0,658.9,641.0,"2,520.00",655.0,658.0,"1,629,292.00",26-08-2026
HIMSTAR,650.0,650.0,625.0,"4,645.00",640.0,659.9,"2,963,184.60",31-08-2026
HIMSTAR,623.0,659.0,623.0,"3,691.00",638.9,640.0,"2,353,233.70",01-09-2026
HIMSTAR,621.1,638.5,620.0,"1,447.00",638.5,638.9,"910,665.00",02-09-2026
HIMSTAR,654.0,654.0,626.1,"2,279.00",632.0,638.5,"1,441,881.90",03-09-2026
HIMSTAR,632.0,650.0,623.2,"4,379.00",649.0,632.0,"2,817,630.40",07-09-2026
HIMSTAR,645.9,675.0,640.0,"3,536.00",650.0,649.0,"2,324,219.50",09-09-2026
HIMSTAR,650.0,650.0,630.5,"1,155.00",648.9,650.0,"745,367.00",10-09-2026
HIMSTAR,649.0,664.0,642.2,"1,280.00",659.0,648.9,"833,443.70",11-09-2026
HIMSTAR,650.0,680.0,645.5,"3,566.00",655.1,659.0,"2,348,301.30",14-09-2026
HIMSTAR,687.0,700.0,665.0,"2,732.00",676.0,655.1,"1,861,348.30",15-09-2026
HIMSTAR,680.0,680.0,655.0,"1,935.00",663.5,676.0,"1,279,779.00",16-09-2026
HIMSTAR,663.0,680.0,645.0,"2,425.00",660.0,663.5,"1,619,092.00",17-09-2026
HIMSTAR,650.0,665.0,646.3,"3,903.00",665.0,660.0,"2,556,278.00",18-09-2026
HIMSTAR,680.0,680.0,648.2,"1,709.00",656.0,665.0,"1,125,553.50",22-09-2026
HIMSTAR,644.00,650.00,635.10,"3,065.00",645.50,656.00,"1,977,517.90",23-09-2026
