Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
HLI,350.0,381.1,350.0,"1,694.00",381.1,0.0,"643,813.70",22-06-2023
HLI,350.0,381.1,350.0,"1,694.00",381.1,0.0,"643,813.70",23-06-2023
HLI,350.0,381.1,350.0,"1,694.00",381.1,0.0,"643,813.70",24-06-2023
HLI,388.7,419.2,388.7,"5,728.00",419.2,381.1,"2,400,285.70",25-06-2023
HLI,420.0,461.1,420.0,"4,364.00",461.1,419.2,"2,009,685.70",26-06-2023
HLI,470.3,507.2,470.3,"24,091.00",507.2,461.1,"12,154,377.30",27-06-2023
HLI,517.0,557.9,517.0,"1,523,712.00",557.9,507.2,"837,036,791.90",28-06-2023
HLI,517.0,557.9,517.0,"1,523,712.00",557.9,507.2,"837,036,791.90",29-06-2023
HLI,517.0,557.9,517.0,"1,523,712.00",557.9,507.2,"837,036,791.90",30-06-2023
HLI,517.0,557.9,517.0,"1,523,712.00",557.9,507.2,"837,036,791.90",01-07-2023
HLI,569.0,574.0,548.0,"762,109.00",549.0,557.9,"425,654,707.90",02-07-2023
HLI,548.0,549.0,530.0,"443,519.00",532.0,549.0,"239,445,785.10",03-07-2023
HLI,542.6,542.6,520.4,"214,583.00",529.0,532.0,"113,384,502.40",04-07-2023
HLI,535.00,535.00,505.00,"270,713.00",508.80,529.00,"139,088,920.30",05-07-2023
