Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
HLICF,9.06,9.1,8.9,"3,584.00",8.9,8.8,"32,225.20",06-07-2026
HLICF,9.0,9.0,8.9,700.00,8.9,8.9,"6,260.00",07-07-2026
HLICF,9.16,9.16,8.9,"3,400.00",9.16,8.9,"30,700.00",08-07-2026
HLICF,9.16,9.16,8.63,"4,200.00",8.75,9.16,"36,715.00",09-07-2026
HLICF,8.49,9.01,8.49,"2,832.00",8.73,8.75,"25,009.99",10-07-2026
HLICF,8.73,8.8,8.48,"1,700.00",8.75,8.73,"14,647.00",13-07-2026
HLICF,8.7,8.75,8.7,"1,082.00",8.75,8.75,"9,456.50",14-07-2026
HLICF,8.75,8.75,8.55,700.00,8.7,8.75,"6,035.00",15-07-2026
HLICF,8.7,8.8,8.67,"4,360.00",8.7,8.7,"37,970.00",16-07-2026
HLICF,8.7,8.9,8.64,800.00,8.64,8.7,"7,022.00",17-07-2026
HLICF,8.42,8.74,8.25,"10,620.00",8.74,8.64,"89,455.99",20-07-2026
HLICF,8.74,8.99,8.73,"1,525.00",8.73,8.74,"13,358.75",21-07-2026
HLICF,8.48,8.95,8.48,"1,300.00",8.95,8.73,"11,369.00",22-07-2026
HLICF,8.69,8.95,8.69,"2,320.00",8.92,8.95,"20,414.00",23-07-2026
HLICF,8.49,8.6,8.25,"2,750.00",8.6,8.75,"22,864.50",27-07-2026
HLICF,8.35,8.41,8.35,500.00,8.41,8.6,"4,198.00",28-07-2026
HLICF,8.43,8.92,8.3,"4,195.00",8.69,8.41,"36,701.80",29-07-2026
HLICF,8.7,8.7,8.5,"1,300.00",8.69,8.69,"11,209.00",30-07-2026
HLICF,8.7,8.95,8.47,"1,800.00",8.55,8.69,"15,496.00",31-07-2026
HLICF,8.43,8.51,8.43,"2,083.00",8.51,8.55,"17,584.69",03-08-2026
HLICF,8.76,9.02,8.53,"12,475.00",8.66,8.51,"108,647.20",04-08-2026
HLICF,8.66,8.66,8.66,"1,300.00",8.66,8.66,"11,258.00",05-08-2026
HLICF,8.66,8.66,8.41,"1,770.00",8.5,8.66,"15,044.00",06-08-2026
HLICF,8.25,8.95,8.25,"2,934.00",8.94,8.5,"25,359.00",07-08-2026
HLICF,9.0,9.0,8.27,"5,750.00",8.72,8.94,"49,171.00",10-08-2026
HLICF,8.47,8.75,8.47,"3,200.00",8.5,8.72,"27,541.00",11-08-2026
HLICF,8.5,8.75,8.5,"1,500.00",8.53,8.5,"12,831.00",12-08-2026
HLICF,8.78,8.78,8.27,700.00,8.41,8.53,"6,032.00",13-08-2026
HLICF,8.5,8.9,8.5,"1,834.00",8.6,8.41,"15,961.50",14-08-2026
HLICF,8.5,8.5,8.4,700.00,8.4,8.6,"5,930.00",17-08-2026
HLICF,8.3,8.7,8.3,"1,000.00",8.7,8.4,"8,443.00",18-08-2026
HLICF,8.44,8.61,8.25,"2,300.00",8.61,8.7,"19,481.00",19-08-2026
HLICF,8.61,8.61,8.37,"1,400.00",8.37,8.61,"11,979.00",20-08-2026
HLICF,8.00,8.56,8.00,"2,050.00",8.55,8.37,"17,232.00",21-08-2026
