Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
HPPL,393.0,396.0,380.0,"8,077.00",380.0,394.7,"3,150,853.10",10-08-2022
HPPL,393.0,396.0,380.0,"8,077.00",380.0,394.7,"3,150,853.10",10-08-2022
HPPL,386.0,392.8,377.5,"15,938.00",392.8,380.0,"6,133,172.80",11-08-2022
HPPL,386.0,392.8,377.5,"15,938.00",392.8,380.0,"6,133,172.80",12-08-2022
HPPL,386.0,392.8,377.5,"15,938.00",392.8,380.0,"6,133,172.80",13-08-2022
HPPL,390.0,390.0,371.8,"8,780.00",387.6,392.8,"3,341,979.50",14-08-2022
HPPL,395.2,402.0,382.5,"16,126.00",402.0,387.6,"6,333,659.20",15-08-2022
HPPL,403.0,403.0,378.0,"25,512.00",387.0,402.0,"9,854,607.20",16-08-2022
HPPL,380.0,393.0,380.0,"2,910.00",380.0,387.0,"1,117,956.50",17-08-2022
HPPL,375.1,389.0,375.1,"9,846.00",382.0,380.0,"3,786,015.30",18-08-2022
HPPL,375.1,389.0,375.1,"9,846.00",382.0,380.0,"3,786,015.30",19-08-2022
HPPL,375.1,389.0,375.1,"9,846.00",382.0,380.0,"3,786,015.30",20-08-2022
HPPL,384.0,389.5,373.7,"9,944.00",373.7,382.0,"3,749,896.80",21-08-2022
HPPL,370.0,380.0,370.0,"5,779.00",380.0,373.7,"2,154,956.40",22-08-2022
HPPL,372.5,379.0,370.0,"6,788.00",370.0,380.0,"2,522,232.50",23-08-2022
HPPL,377.0,384.4,370.0,"4,794.00",372.0,370.0,"1,778,003.40",24-08-2022
HPPL,377.90,385.00,365.10,"4,445.00",366.10,372.00,"1,647,675.00",25-08-2022
