Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
HRL,578.1,589.0,575.0,"29,470.00",578.5,583.0,"17,019,202.00",06-07-2026
HRL,575.0,582.0,570.0,"50,356.00",579.0,578.5,"29,093,529.90",07-07-2026
HRL,585.0,585.0,565.0,"39,826.00",569.5,579.0,"22,703,569.90",08-07-2026
HRL,564.0,569.0,558.1,"48,029.00",560.0,569.5,"27,066,662.40",09-07-2026
HRL,561.1,570.3,559.0,"36,765.00",561.0,560.0,"20,695,057.10",10-07-2026
HRL,561.0,568.0,555.6,"45,767.00",556.0,561.0,"25,563,817.00",13-07-2026
HRL,555.0,564.0,545.0,"61,911.00",554.0,556.0,"34,311,273.11",14-07-2026
HRL,560.0,564.0,555.0,"33,156.00",557.0,554.0,"18,552,472.50",15-07-2026
HRL,584.8,584.8,552.0,"43,458.00",553.0,557.0,"24,249,454.30",16-07-2026
HRL,568.0,582.0,560.2,"93,740.00",581.9,553.0,"53,757,882.80",17-07-2026
HRL,582.0,625.0,580.0,"185,510.00",616.0,581.9,"113,181,873.90",20-07-2026
HRL,624.0,657.0,624.0,"341,552.00",645.0,616.0,"220,121,762.90",21-07-2026
HRL,677.2,677.2,635.0,"151,511.00",636.2,645.0,"97,303,435.60",22-07-2026
HRL,636.2,645.0,625.1,"90,968.00",641.0,636.2,"57,689,260.60",23-07-2026
HRL,635.0,635.0,602.0,"168,162.00",603.9,629.0,"103,287,146.90",27-07-2026
HRL,601.0,605.0,595.1,"95,625.00",596.0,603.9,"57,305,281.60",28-07-2026
HRL,600.0,613.0,600.0,"66,078.00",601.1,596.0,"39,935,887.90",29-07-2026
HRL,610.0,610.0,595.5,"42,529.00",597.0,601.1,"25,470,794.30",30-07-2026
HRL,597.0,604.0,590.0,"69,303.00",603.0,597.0,"41,283,664.09",31-07-2026
HRL,605.0,609.9,595.0,"62,706.00",595.0,603.0,"37,605,228.90",03-08-2026
HRL,605.0,605.0,585.0,"50,862.00",586.0,595.0,"30,045,522.90",04-08-2026
HRL,615.00,615.00,577.00,"48,792.00",588.00,586.00,"28,711,971.10",05-08-2026
