Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
HURJA,276.4,282.0,266.0,"5,630.00",275.0,282.0,"1,550,487.80",10-08-2022
HURJA,276.4,282.0,266.0,"5,630.00",275.0,282.0,"1,550,487.80",10-08-2022
HURJA,280.5,280.5,260.0,"13,958.00",264.0,275.0,"3,735,730.00",11-08-2022
HURJA,280.5,280.5,260.0,"13,958.00",264.0,275.0,"3,735,730.00",12-08-2022
HURJA,280.5,280.5,260.0,"13,958.00",264.0,275.0,"3,735,730.00",13-08-2022
HURJA,260.0,265.0,255.0,"17,536.00",257.0,264.0,"4,561,887.00",14-08-2022
HURJA,257.0,282.0,257.0,"7,298.00",282.0,257.0,"1,966,368.10",15-08-2022
HURJA,284.0,289.0,267.0,"17,355.00",267.0,282.0,"4,787,897.80",16-08-2022
HURJA,265.0,275.0,263.0,"2,642.00",271.8,267.0,"713,218.70",17-08-2022
HURJA,266.4,278.5,266.4,"8,245.00",273.0,271.8,"2,262,444.00",18-08-2022
HURJA,266.4,278.5,266.4,"8,245.00",273.0,271.8,"2,262,444.00",19-08-2022
HURJA,266.4,278.5,266.4,"8,245.00",273.0,271.8,"2,262,444.00",20-08-2022
HURJA,273.0,274.0,263.8,"14,290.00",269.9,273.0,"3,852,346.50",21-08-2022
HURJA,264.6,270.0,260.2,"8,622.00",268.0,269.9,"2,284,582.40",22-08-2022
HURJA,270.0,270.0,258.8,"4,110.00",266.0,268.0,"1,082,851.00",23-08-2022
HURJA,271.0,273.0,262.3,"4,975.00",267.0,266.0,"1,321,648.60",24-08-2022
HURJA,272.3,280.0,257.5,"6,849.00",259.0,267.0,"1,800,099.20",25-08-2022
HURJA,254.0,262.1,250.0,"2,584.00",252.3,259.0,"658,329.50",26-08-2022
HURJA,254.00,262.10,250.00,"2,584.00",252.30,259.00,"658,329.50",27-08-2022
