Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
ICFC,526.0,530.0,516.0,"47,222.00",520.0,526.0,"24,585,588.00",10-08-2022
ICFC,526.0,530.0,516.0,"47,222.00",520.0,526.0,"24,585,588.00",10-08-2022
ICFC,520.0,527.0,511.2,"19,140.00",511.2,520.0,"9,922,354.60",11-08-2022
ICFC,520.0,527.0,511.2,"19,140.00",511.2,520.0,"9,922,354.60",12-08-2022
ICFC,520.0,527.0,511.2,"19,140.00",511.2,520.0,"9,922,354.60",13-08-2022
ICFC,504.0,520.0,492.0,"38,493.00",495.0,511.2,"19,373,297.90",14-08-2022
ICFC,486.0,544.0,486.0,"69,564.00",540.0,495.0,"36,054,504.10",15-08-2022
ICFC,549.0,555.0,520.0,"75,238.00",530.0,540.0,"40,495,543.90",16-08-2022
ICFC,520.1,540.0,519.6,"68,943.00",528.0,530.0,"36,556,337.40",17-08-2022
ICFC,521.1,547.5,521.1,"98,719.00",541.0,528.0,"52,880,938.80",18-08-2022
ICFC,521.1,547.5,521.1,"98,719.00",541.0,528.0,"52,880,938.80",19-08-2022
ICFC,521.1,547.5,521.1,"98,719.00",541.0,528.0,"52,880,938.80",20-08-2022
ICFC,541.0,552.0,531.0,"30,901.00",534.0,541.0,"16,719,678.10",21-08-2022
ICFC,524.0,539.0,520.1,"50,668.00",533.0,534.0,"26,849,149.70",22-08-2022
ICFC,540.0,540.0,525.1,"30,388.00",527.5,533.0,"16,064,096.80",23-08-2022
ICFC,538.0,538.0,523.2,"26,077.00",525.0,527.5,"13,798,384.70",24-08-2022
ICFC,525.0,535.0,515.0,"35,246.00",517.9,525.0,"18,388,388.60",25-08-2022
ICFC,516.6,526.0,501.0,"50,004.00",503.0,517.9,"25,239,774.00",26-08-2022
ICFC,516.6,526.0,501.0,"50,004.00",503.0,517.9,"25,239,774.00",27-08-2022
ICFC,493.0,513.0,483.0,"78,933.00",483.0,503.0,"38,675,872.20",28-08-2022
ICFC,481.0,498.0,476.0,"31,086.00",491.0,483.0,"15,139,782.50",29-08-2022
ICFC,490.0,502.5,485.0,"25,777.00",485.0,491.0,"12,739,779.50",30-08-2022
ICFC,484.0,495.0,475.5,"19,092.00",476.2,485.0,"9,173,156.40",31-08-2022
ICFC,471.0,485.0,462.0,"37,702.00",484.0,476.2,"17,795,030.70",01-09-2022
ICFC,476.0,494.0,476.0,"14,505.00",486.9,484.0,"6,996,291.60",02-09-2022
ICFC,476.0,494.0,476.0,"14,505.00",486.9,484.0,"6,996,291.60",03-09-2022
ICFC,478.0,496.0,478.0,"16,325.00",487.0,486.9,"7,995,349.40",04-09-2022
ICFC,478.1,495.0,478.1,"21,062.00",479.3,487.0,"10,171,816.10",05-09-2022
ICFC,478.0,480.0,467.0,"17,789.00",467.0,479.3,"8,380,198.50",06-09-2022
ICFC,474.0,474.0,455.0,"21,004.00",463.0,467.0,"9,681,436.50",07-09-2022
ICFC,465.0,476.3,454.0,"35,136.00",465.0,463.0,"16,387,200.00",08-09-2022
ICFC,465.0,476.3,454.0,"35,136.00",465.0,463.0,"16,387,200.00",09-09-2022
ICFC,465.0,476.3,454.0,"35,136.00",465.0,463.0,"16,387,200.00",10-09-2022
ICFC,460.1,472.0,456.1,"16,367.00",457.1,465.0,"7,566,709.20",11-09-2022
ICFC,451.1,460.0,451.1,"13,702.00",454.0,457.1,"6,236,409.00",12-09-2022
ICFC,462.0,469.0,460.0,"14,319.00",465.0,454.0,"6,671,601.70",13-09-2022
ICFC,470.0,497.0,470.0,"48,244.00",496.0,465.0,"23,399,267.00",14-09-2022
ICFC,495.0,499.9,465.7,"51,061.00",470.0,496.0,"24,450,331.10",15-09-2022
ICFC,461.0,466.0,442.0,"27,045.00",462.0,470.0,"12,350,613.40",16-09-2022
ICFC,461.0,466.0,442.0,"27,045.00",462.0,470.0,"12,350,613.40",17-09-2022
ICFC,460.0,463.0,445.0,"34,200.00",450.0,462.0,"15,453,769.60",18-09-2022
ICFC,460.0,463.0,445.0,"34,200.00",450.0,462.0,"15,453,769.60",19-09-2022
ICFC,441.0,446.0,430.4,"22,812.00",430.4,450.0,"9,924,060.70",20-09-2022
ICFC,439.0,446.0,431.0,"16,011.00",435.0,430.4,"7,000,109.60",21-09-2022
ICFC,434.0,438.6,427.0,"12,274.00",428.0,435.0,"5,289,286.90",22-09-2022
ICFC,434.0,438.6,427.0,"12,274.00",428.0,435.0,"5,289,286.90",23-09-2022
ICFC,434.0,438.6,427.0,"12,274.00",428.0,435.0,"5,289,286.90",24-09-2022
ICFC,420.0,428.0,411.6,"16,625.00",412.0,428.0,"6,912,645.20",25-09-2022
ICFC,420.0,428.0,411.6,"16,625.00",412.0,428.0,"6,912,645.20",26-09-2022
ICFC,412.0,428.0,406.0,"14,423.00",423.0,412.0,"6,020,832.00",27-09-2022
ICFC,429.0,430.0,415.0,"9,494.00",421.0,423.0,"3,974,512.70",28-09-2022
ICFC,428.0,428.7,417.0,"9,689.00",420.0,421.0,"4,083,295.20",29-09-2022
ICFC,428.0,428.7,417.0,"9,689.00",420.0,421.0,"4,083,295.20",30-09-2022
ICFC,428.0,428.7,417.0,"9,689.00",420.0,421.0,"4,083,295.20",01-10-2022
ICFC,428.0,428.7,417.0,"9,689.00",420.0,421.0,"4,083,295.20",02-10-2022
ICFC,428.0,428.7,417.0,"9,689.00",420.0,421.0,"4,083,295.20",03-10-2022
ICFC,428.0,428.7,417.0,"9,689.00",420.0,421.0,"4,083,295.20",04-10-2022
ICFC,428.0,428.7,417.0,"9,689.00",420.0,421.0,"4,083,295.20",05-10-2022
ICFC,428.0,428.7,417.0,"9,689.00",420.0,421.0,"4,083,295.20",06-10-2022
ICFC,428.0,428.7,417.0,"9,689.00",420.0,421.0,"4,083,295.20",07-10-2022
ICFC,428.0,428.7,417.0,"9,689.00",420.0,421.0,"4,083,295.20",08-10-2022
ICFC,428.0,449.5,422.0,"19,165.00",447.0,420.0,"8,418,282.50",09-10-2022
ICFC,450.1,450.1,431.3,"17,693.00",439.0,447.0,"7,780,054.40",10-10-2022
ICFC,431.0,441.0,428.0,"11,099.00",440.0,439.0,"4,826,391.70",11-10-2022
ICFC,440.0,459.0,432.0,"18,015.00",455.0,440.0,"8,098,239.90",12-10-2022
ICFC,458.0,462.0,447.1,"15,678.00",455.9,455.0,"7,146,462.70",13-10-2022
ICFC,458.0,462.0,447.1,"15,678.00",455.9,455.0,"7,146,462.70",14-10-2022
ICFC,458.0,462.0,447.1,"15,678.00",455.9,455.0,"7,146,462.70",15-10-2022
ICFC,463.0,463.0,439.0,"17,613.00",442.0,455.9,"7,833,842.70",16-10-2022
ICFC,450.8,450.8,431.4,"12,598.00",438.0,442.0,"5,508,099.70",17-10-2022
ICFC,450.8,450.8,431.4,"12,598.00",438.0,442.0,"5,508,099.70",18-10-2022
ICFC,437.0,437.9,422.4,"14,833.00",424.2,438.0,"6,307,563.70",19-10-2022
ICFC,417.0,428.4,417.0,"13,490.00",426.0,424.2,"5,696,567.00",20-10-2022
ICFC,417.0,428.4,417.0,"13,490.00",426.0,424.2,"5,696,567.00",21-10-2022
ICFC,417.0,428.4,417.0,"13,490.00",426.0,424.2,"5,696,567.00",22-10-2022
ICFC,421.0,433.0,421.0,"4,454.00",430.0,426.0,"1,908,519.00",23-10-2022
