Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
ICFCD89,"1,091.20","1,111.00","1,091.20",650.0,"1,100.00","1,110.00","717,725.00",06-07-2026
ICFCD89,"1,100.30","1,100.30","1,100.30",25.0,"1,100.30","1,100.00","27,507.50",07-07-2026
ICFCD89,"1,101.00","1,115.00","1,100.00",470.0,"1,115.00","1,100.30","517,592.00",08-07-2026
ICFCD89,"1,100.50","1,100.50","1,100.50",80.0,"1,113.00","1,115.00","88,102.50",09-07-2026
ICFCD89,"1,113.00","1,113.00","1,113.00",25.0,"1,113.00","1,113.00","27,825.00",10-07-2026
ICFCD89,"1,113.00","1,113.00","1,101.50",158.0,"1,112.00","1,113.00","174,508.00",13-07-2026
ICFCD89,"1,110.00","1,120.00","1,105.10",636.0,"1,120.00","1,112.00","707,178.50",14-07-2026
ICFCD89,"1,120.00","1,120.00","1,108.10",133.0,"1,108.30","1,120.00","148,087.00",15-07-2026
ICFCD89,"1,108.30","1,109.00","1,107.30",128.0,"1,119.00","1,108.30","141,869.50",16-07-2026
ICFCD89,"1,105.00","1,108.00","1,085.00",619.0,"1,106.00","1,119.00","680,260.80",17-07-2026
ICFCD89,"1,090.10","1,100.00","1,089.10",200.0,"1,100.00","1,106.00","219,480.00",20-07-2026
ICFCD89,"1,100.00","1,107.00","1,086.10",634.0,"1,090.00","1,100.00","696,102.00",21-07-2026
ICFCD89,"1,090.00","1,103.00","1,088.00",491.0,"1,091.00","1,090.00","539,209.50",22-07-2026
ICFCD89,"1,106.00","1,123.70","1,106.00",385.0,"1,120.00","1,091.00","431,160.00",23-07-2026
ICFCD89,"1,100.00","1,101.00","1,097.00",95.0,"1,097.60","1,101.00","104,406.00",27-07-2026
ICFCD89,"1,086.00","1,097.00","1,086.00",170.0,"1,098.00","1,097.60","186,138.00",28-07-2026
ICFCD89,"1,092.70","1,100.00","1,092.70",170.0,"1,100.00","1,098.00","186,497.50",29-07-2026
ICFCD89,"1,099.00","1,100.00","1,090.60",225.0,"1,092.30","1,100.00","246,671.50",30-07-2026
ICFCD89,"1,092.30","1,093.20","1,091.10",60.0,"1,093.20","1,092.30","65,530.50",31-07-2026
ICFCD89,"1,095.00","1,101.00","1,085.00",200.0,"1,101.00","1,093.20","219,125.00",03-08-2026
ICFCD89,"1,100.00","1,100.00","1,092.00",50.0,"1,092.00","1,101.00","54,800.00",04-08-2026
ICFCD89,"1,082.00","1,082.00","1,082.00",25.0,"1,082.00","1,092.00","27,050.00",05-08-2026
ICFCD89,"1,081.10","1,090.00","1,081.10",150.0,"1,090.00","1,082.00","162,932.50",06-08-2026
ICFCD89,"1,085.00","1,092.00","1,085.00",222.0,"1,092.00","1,090.00","241,585.00",07-08-2026
ICFCD89,"1,064.20","1,064.20","1,064.20",25.0,"1,064.20","1,092.00","26,605.00",10-08-2026
ICFCD89,"1,077.10","1,077.40","1,077.10",50.0,"1,077.40","1,064.20","53,862.50",12-08-2026
ICFCD89,"1,077.40","1,100.00","1,077.40",275.0,"1,092.00","1,077.40","300,510.00",13-08-2026
ICFCD89,"1,080.00","1,092.00","1,080.00",100.00,"1,092.00","1,092.00","108,775.00",14-08-2026
