Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
IHL,291.8,320.9,291.0,"69,635.00",320.9,291.8,"22,078,936.80",20-06-2023
IHL,327.0,352.9,320.9,"38,920.00",340.1,320.9,"13,127,518.30",21-06-2023
IHL,346.8,346.8,314.0,"34,344.00",316.0,340.1,"11,128,906.40",22-06-2023
IHL,346.8,346.8,314.0,"34,344.00",316.0,340.1,"11,128,906.40",23-06-2023
IHL,346.8,346.8,314.0,"34,344.00",316.0,340.1,"11,128,906.40",24-06-2023
IHL,320.0,320.0,292.0,"34,233.00",305.0,316.0,"10,287,833.00",25-06-2023
IHL,299.3,320.0,294.0,"26,084.00",312.0,305.0,"7,884,962.70",26-06-2023
IHL,305.9,315.0,302.0,"15,285.00",314.9,312.0,"4,692,311.00",27-06-2023
IHL,315.0,320.0,290.2,"14,295.00",294.0,314.9,"4,328,908.50",28-06-2023
IHL,315.0,320.0,290.2,"14,295.00",294.0,314.9,"4,328,908.50",29-06-2023
IHL,315.0,320.0,290.2,"14,295.00",294.0,314.9,"4,328,908.50",30-06-2023
IHL,315.0,320.0,290.2,"14,295.00",294.0,314.9,"4,328,908.50",01-07-2023
IHL,289.3,298.0,282.0,"12,473.00",282.0,294.0,"3,584,437.00",02-07-2023
IHL,276.4,292.3,271.0,"8,589.00",274.4,282.0,"2,385,340.40",03-07-2023
IHL,270.0,279.0,267.8,"7,019.00",276.0,274.4,"1,906,588.50",04-07-2023
IHL,270.5,283.4,260.0,"11,648.00",264.0,276.0,"3,099,510.00",05-07-2023
IHL,259.0,274.5,250.0,"10,071.00",256.0,264.0,"2,565,843.80",06-07-2023
IHL,259.0,274.5,250.0,"10,071.00",256.0,264.0,"2,565,843.80",07-07-2023
IHL,259.00,274.50,250.00,"10,071.00",256.00,264.00,"2,565,843.80",08-07-2023
