Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
JALPA,"2,950.00","3,029.80","2,950.00","5,011.00","2,981.00","2,972.00","14,993,869.20",10-08-2022
JALPA,"2,950.00","3,029.80","2,950.00","5,011.00","2,981.00","2,972.00","14,993,869.20",10-08-2022
JALPA,"3,000.00","3,130.00","2,976.00","9,168.00","3,088.00","2,981.00","28,105,521.90",11-08-2022
JALPA,"3,000.00","3,130.00","2,976.00","9,168.00","3,088.00","2,981.00","28,105,521.90",12-08-2022
JALPA,"3,000.00","3,130.00","2,976.00","9,168.00","3,088.00","2,981.00","28,105,521.90",13-08-2022
JALPA,"3,088.00","3,211.00","3,088.00","7,473.00","3,150.00","3,088.00","23,542,760.10",14-08-2022
JALPA,"3,180.00","3,200.00","3,137.00","6,858.00","3,180.00","3,150.00","21,697,760.10",15-08-2022
JALPA,"3,240.00","3,240.00","3,050.00","6,847.00","3,070.00","3,180.00","21,336,190.90",16-08-2022
JALPA,"3,120.00","3,124.00","3,010.00","5,071.00","3,088.00","3,070.00","15,630,366.90",17-08-2022
JALPA,"3,119.00","3,150.00","3,075.00","3,698.00","3,129.00","3,088.00","11,570,359.70",18-08-2022
JALPA,"3,119.00","3,150.00","3,075.00","3,698.00","3,129.00","3,088.00","11,570,359.70",19-08-2022
JALPA,"3,119.00","3,150.00","3,075.00","3,698.00","3,129.00","3,088.00","11,570,359.70",20-08-2022
JALPA,"3,189.00","3,189.00","3,090.10","11,510.00","3,102.00","3,129.00","35,799,226.50",21-08-2022
JALPA,"3,085.10","3,175.00","3,085.10","8,717.00","3,103.00","3,102.00","27,373,673.50",22-08-2022
JALPA,"3,164.00","3,220.00","3,107.10","3,289.00","3,170.00","3,103.00","10,379,330.20",23-08-2022
JALPA,"3,198.00","3,198.00","3,153.10","5,752.00","3,175.00","3,170.00","18,263,800.40",24-08-2022
JALPA,"3,199.00","3,299.50","3,168.00","10,392.00","3,233.00","3,175.00","33,842,933.00",25-08-2022
JALPA,"3,200.00","3,240.00","3,200.00","2,090.00","3,214.00","3,233.00","6,714,251.00",26-08-2022
JALPA,"3,200.00","3,240.00","3,200.00","2,090.00","3,214.00","3,233.00","6,714,251.00",27-08-2022
JALPA,"3,270.00","3,270.00","3,098.00","5,900.00","3,103.00","3,214.00","18,511,405.20",28-08-2022
JALPA,"3,165.00","3,165.00","3,080.00","4,019.00","3,139.00","3,103.00","12,487,317.20",29-08-2022
JALPA,"3,200.00","3,200.00","3,082.00","4,642.00","3,082.00","3,139.00","14,413,141.80",30-08-2022
JALPA,"3,143.00","3,143.00","3,026.00","3,424.00","3,028.00","3,082.00","10,461,839.50",31-08-2022
JALPA,"3,000.10","3,048.00","2,973.50","3,461.00","3,046.80","3,028.00","10,387,921.00",01-09-2022
JALPA,"3,020.00","3,100.00","3,014.00",769.00,"3,014.00","3,046.80","2,345,141.00",02-09-2022
JALPA,"3,020.00","3,100.00","3,014.00",769.00,"3,014.00","3,046.80","2,345,141.00",03-09-2022
JALPA,"2,990.00","3,220.00","2,980.00","4,735.00","3,145.00","3,014.00","14,839,643.00",04-09-2022
JALPA,"3,200.00","3,200.00","3,100.00","1,869.00","3,150.00","3,145.00","5,875,195.60",05-09-2022
JALPA,"3,100.00","3,140.00","3,060.00","1,925.00","3,094.00","3,150.00","5,964,953.80",06-09-2022
JALPA,"3,094.00","3,135.00","3,020.00","1,075.00","3,050.00","3,094.00","3,274,210.00",07-09-2022
JALPA,"3,100.00","3,107.00","2,990.00","2,849.00","3,032.20","3,050.00","8,607,408.50",08-09-2022
JALPA,"3,100.00","3,107.00","2,990.00","2,849.00","3,032.20","3,050.00","8,607,408.50",09-09-2022
JALPA,"3,100.00","3,107.00","2,990.00","2,849.00","3,032.20","3,050.00","8,607,408.50",10-09-2022
JALPA,"3,092.00","3,092.00","2,997.00","1,395.00","3,007.00","3,032.20","4,218,052.00",11-09-2022
JALPA,"3,000.00","3,025.00","2,963.10","3,773.00","3,019.00","3,007.00","11,256,224.50",12-09-2022
JALPA,"3,019.00","3,083.00","2,992.40","5,987.00","3,040.00","3,019.00","18,235,353.50",13-09-2022
JALPA,"3,100.00","3,140.00","3,045.00","2,173.00","3,125.90","3,040.00","6,758,283.00",14-09-2022
JALPA,"3,140.00","3,180.00","3,015.10","4,425.00","3,040.00","3,125.90","13,664,657.50",15-09-2022
JALPA,"2,981.00","3,069.00","2,957.00","2,000.00","3,016.10","3,040.00","5,991,548.00",16-09-2022
JALPA,"2,981.00","3,069.00","2,957.00","2,000.00","3,016.10","3,040.00","5,991,548.00",17-09-2022
JALPA,"3,074.90","3,074.90","2,958.20","2,587.00","2,972.10","3,016.10","7,708,244.00",18-09-2022
JALPA,"3,074.90","3,074.90","2,958.20","2,587.00","2,972.10","3,016.10","7,708,244.00",19-09-2022
JALPA,"2,931.00","2,980.00","2,901.50","2,409.00","2,902.00","2,972.10","7,021,954.20",20-09-2022
JALPA,"2,949.00","2,990.00","2,902.10","2,154.00","2,920.00","2,902.00","6,337,187.50",21-09-2022
JALPA,"2,920.00","2,948.90","2,875.00","2,473.00","2,948.90","2,920.00","7,208,481.80",22-09-2022
JALPA,"2,920.00","2,948.90","2,875.00","2,473.00","2,948.90","2,920.00","7,208,481.80",23-09-2022
JALPA,"2,920.00","2,948.90","2,875.00","2,473.00","2,948.90","2,920.00","7,208,481.80",24-09-2022
JALPA,"2,890.00","2,900.00","2,850.00","1,800.00","2,872.00","2,948.90","5,176,074.00",25-09-2022
JALPA,"2,890.00","2,900.00","2,850.00","1,800.00","2,872.00","2,948.90","5,176,074.00",26-09-2022
JALPA,"2,920.00","2,935.00","2,846.10","2,606.00","2,890.10","2,872.00","7,568,237.70",27-09-2022
JALPA,"2,850.10","2,900.00","2,850.10",614.00,"2,881.10","2,890.10","1,771,006.20",28-09-2022
JALPA,"2,881.10","2,980.00","2,881.10","1,478.00","2,980.00","2,881.10","4,356,349.70",29-09-2022
JALPA,"2,881.10","2,980.00","2,881.10","1,478.00","2,980.00","2,881.10","4,356,349.70",30-09-2022
JALPA,"2,881.10","2,980.00","2,881.10","1,478.00","2,980.00","2,881.10","4,356,349.70",01-10-2022
JALPA,"2,881.10","2,980.00","2,881.10","1,478.00","2,980.00","2,881.10","4,356,349.70",02-10-2022
JALPA,"2,881.10","2,980.00","2,881.10","1,478.00","2,980.00","2,881.10","4,356,349.70",03-10-2022
JALPA,"2,881.10","2,980.00","2,881.10","1,478.00","2,980.00","2,881.10","4,356,349.70",04-10-2022
JALPA,"2,881.10","2,980.00","2,881.10","1,478.00","2,980.00","2,881.10","4,356,349.70",05-10-2022
JALPA,"2,881.10","2,980.00","2,881.10","1,478.00","2,980.00","2,881.10","4,356,349.70",06-10-2022
JALPA,"2,881.10","2,980.00","2,881.10","1,478.00","2,980.00","2,881.10","4,356,349.70",07-10-2022
JALPA,"2,881.10","2,980.00","2,881.10","1,478.00","2,980.00","2,881.10","4,356,349.70",08-10-2022
JALPA,"2,950.00","3,099.00","2,950.00",974.00,"3,099.00","2,980.00","2,966,020.00",09-10-2022
JALPA,"3,050.00","3,095.00","3,003.30","1,347.00","3,011.00","3,099.00","4,096,618.30",10-10-2022
JALPA,"2,962.00","2,999.00","2,951.00",972.00,"2,980.30","3,011.00","2,891,230.00",11-10-2022
JALPA,"3,000.00","3,029.00","2,970.00","1,124.00","3,000.00","2,980.30","3,369,597.00",12-10-2022
JALPA,"2,990.00","3,015.00","2,977.00","1,056.00","2,996.30","3,000.00","3,166,126.00",13-10-2022
JALPA,"2,990.00","3,015.00","2,977.00","1,056.00","2,996.30","3,000.00","3,166,126.00",14-10-2022
JALPA,"2,990.00","3,015.00","2,977.00","1,056.00","2,996.30","3,000.00","3,166,126.00",15-10-2022
JALPA,"2,965.00","3,024.00","2,964.00",625.00,"2,964.00","2,996.30","1,866,919.00",16-10-2022
JALPA,"2,950.00","2,980.00","2,915.00","1,270.00","2,937.20","2,964.00","3,747,736.00",17-10-2022
JALPA,"2,950.00","2,980.00","2,915.00","1,270.00","2,937.20","2,964.00","3,747,736.00",18-10-2022
JALPA,"2,930.00","2,930.00","2,863.00",820.00,"2,900.10","2,937.20","2,373,119.50",19-10-2022
JALPA,"2,866.10","2,928.00","2,866.10",815.00,"2,892.50","2,900.10","2,367,038.00",20-10-2022
JALPA,"2,866.10","2,928.00","2,866.10",815.00,"2,892.50","2,900.10","2,367,038.00",21-10-2022
JALPA,"2,866.10","2,928.00","2,866.10",815.00,"2,892.50","2,900.10","2,367,038.00",22-10-2022
JALPA,"2,862.00","2,950.00","2,862.00",908.00,"2,950.00","2,892.50","2,662,985.00",23-10-2022
JALPA,"2,862.00","2,950.00","2,862.00",908.00,"2,950.00","2,892.50","2,662,985.00",24-10-2022
