Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
KAHL,410.1,449.1,410.1,470.0,449.1,390.6,"209,878.00",06-07-2026
KAHL,462.5,516.4,462.5,"2,530.00",516.4,449.1,"1,305,181.00",07-07-2026
KAHL,542.2,542.2,485.0,"142,982.00",487.0,516.4,"70,837,396.40",08-07-2026
KAHL,480.0,480.0,463.0,"55,910.00",477.0,487.0,"26,297,794.00",09-07-2026
KAHL,477.0,535.6,465.0,"51,203.00",510.0,477.0,"26,146,678.00",10-07-2026
KAHL,510.0,510.0,481.5,"38,258.00",486.0,510.0,"18,706,043.50",13-07-2026
KAHL,472.0,500.5,462.0,"44,088.00",479.0,486.0,"21,225,132.10",14-07-2026
KAHL,479.0,495.2,475.0,"22,727.00",479.9,479.0,"11,010,797.80",15-07-2026
KAHL,480.0,482.5,470.5,"20,278.00",473.0,479.9,"9,629,204.10",16-07-2026
KAHL,473.0,499.8,463.0,"33,606.00",497.0,473.0,"16,475,065.30",17-07-2026
KAHL,497.0,512.0,485.6,"51,475.00",508.0,497.0,"25,893,417.40",20-07-2026
KAHL,510.0,574.0,498.1,"78,927.00",546.1,508.0,"42,881,653.40",21-07-2026
KAHL,547.0,580.0,530.0,"52,360.00",560.0,546.1,"29,156,532.40",22-07-2026
KAHL,550.0,583.0,533.2,"75,792.00",583.0,560.0,"42,335,884.20",23-07-2026
KAHL,601.2,608.0,527.0,"71,399.00",552.0,601.2,"40,527,413.30",27-07-2026
KAHL,575.0,575.0,532.0,"62,096.00",561.3,552.0,"34,110,813.00",28-07-2026
KAHL,579.0,579.0,540.0,"48,643.00",549.0,561.3,"27,034,129.20",29-07-2026
KAHL,548.0,560.0,533.0,"40,236.00",536.0,549.0,"21,835,860.80",30-07-2026
KAHL,534.0,550.0,521.1,"37,097.00",544.0,536.0,"19,947,535.80",31-07-2026
KAHL,541.0,576.0,533.0,"41,714.00",537.1,544.0,"22,681,976.20",03-08-2026
KAHL,527.1,537.0,521.2,"28,617.00",526.0,537.1,"15,165,001.90",04-08-2026
KAHL,521.0,537.0,518.0,"38,622.00",530.0,526.0,"20,425,534.70",05-08-2026
KAHL,530.0,565.0,527.3,"89,655.00",554.5,530.0,"49,628,261.20",06-08-2026
KAHL,554.5,555.0,537.2,"31,077.00",542.2,554.5,"16,851,159.00",07-08-2026
KAHL,533.1,550.0,533.1,"28,378.00",542.0,542.2,"15,361,803.90",10-08-2026
KAHL,537.0,555.2,537.0,"47,780.00",542.0,542.0,"26,093,803.70",11-08-2026
KAHL,539.0,550.0,531.0,"46,191.00",532.0,542.0,"24,886,647.00",12-08-2026
KAHL,508.0,539.0,508.0,"23,312.00",539.0,532.0,"12,441,796.80",13-08-2026
KAHL,530.0,543.0,528.2,"21,868.00",536.0,539.0,"11,706,319.70",14-08-2026
KAHL,530.0,553.0,528.0,"58,046.00",550.0,536.0,"31,572,671.30",17-08-2026
KAHL,550.0,565.1,546.2,"76,841.00",548.9,550.0,"42,632,985.70",18-08-2026
KAHL,544.0,556.0,533.0,"25,463.00",550.0,548.9,"13,939,241.60",19-08-2026
KAHL,540.0,549.0,536.0,"22,715.00",540.0,550.0,"12,285,916.30",20-08-2026
KAHL,535.0,545.0,522.0,"49,833.00",527.0,540.0,"26,454,714.30",21-08-2026
KAHL,553.3,553.3,506.0,"48,136.00",506.0,527.0,"24,746,993.60",24-08-2026
KAHL,499.0,517.0,498.0,"33,972.00",503.0,506.0,"17,143,989.80",25-08-2026
KAHL,500.0,503.0,488.1,"32,048.00",490.8,503.0,"15,789,035.40",26-08-2026
KAHL,502.5,502.5,475.4,"24,009.00",476.0,502.5,"11,596,718.50",31-08-2026
KAHL,465.0,490.4,465.0,"21,230.00",475.0,476.0,"10,207,704.10",01-09-2026
KAHL,475.0,487.0,471.3,"15,295.00",484.0,475.0,"7,351,908.00",02-09-2026
KAHL,480.0,495.0,480.0,"18,961.00",490.0,484.0,"9,279,277.60",03-09-2026
KAHL,490.0,502.0,485.2,"15,554.00",493.0,490.0,"7,663,279.20",07-09-2026
KAHL,490.0,500.0,481.3,"26,585.00",483.0,493.0,"13,042,796.40",09-09-2026
KAHL,458.9,488.0,458.9,"18,972.00",484.0,483.0,"9,119,362.10",10-09-2026
KAHL,471.1,495.0,471.1,"18,607.00",493.0,484.0,"9,058,382.60",11-09-2026
KAHL,492.0,505.0,492.0,"19,318.00",499.7,493.0,"9,624,815.50",14-09-2026
KAHL,510.0,520.0,500.2,"42,865.00",506.0,499.7,"21,700,155.10",15-09-2026
KAHL,490.9,509.0,490.9,"22,537.00",493.5,506.0,"11,213,694.20",16-09-2026
KAHL,493.50,506.00,490.20,"17,165.00",495.00,493.50,"8,527,173.80",17-09-2026
