Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
KBL,206.0,206.0,203.3,"46,351.00",203.7,206.5,"9,454,751.50",10-08-2022
KBL,206.0,206.0,203.3,"46,351.00",203.7,206.5,"9,454,751.50",10-08-2022
KBL,205.0,205.9,202.0,"42,620.00",202.0,203.7,"8,655,801.00",11-08-2022
KBL,205.0,205.9,202.0,"42,620.00",202.0,203.7,"8,655,801.00",12-08-2022
KBL,205.0,205.9,202.0,"42,620.00",202.0,203.7,"8,655,801.00",13-08-2022
KBL,205.0,205.0,200.1,"48,388.00",201.4,202.0,"9,756,725.50",14-08-2022
KBL,201.0,203.0,201.0,"40,193.00",202.9,201.4,"8,121,374.80",15-08-2022
KBL,204.9,204.9,201.0,"45,808.00",201.1,202.9,"9,303,331.90",16-08-2022
KBL,200.0,203.0,200.0,"31,962.00",201.9,201.1,"6,409,564.00",17-08-2022
KBL,201.9,203.0,200.1,"80,356.00",201.9,201.9,"16,219,089.60",18-08-2022
KBL,201.9,203.0,200.1,"80,356.00",201.9,201.9,"16,219,089.60",19-08-2022
KBL,201.9,203.0,200.1,"80,356.00",201.9,201.9,"16,219,089.60",20-08-2022
KBL,201.0,203.5,201.0,"70,532.00",202.0,201.9,"14,280,312.10",21-08-2022
KBL,202.0,203.0,199.5,"40,883.00",201.0,202.0,"8,213,596.20",22-08-2022
KBL,201.9,204.0,201.2,"31,300.00",202.9,201.0,"6,343,073.00",23-08-2022
KBL,203.0,205.0,202.2,"51,003.00",202.3,202.9,"10,362,005.40",24-08-2022
KBL,202.0,204.9,201.3,"21,633.00",201.4,202.3,"4,377,154.60",25-08-2022
KBL,200.1,201.0,199.3,"24,794.00",200.0,201.4,"4,954,325.90",26-08-2022
KBL,200.1,201.0,199.3,"24,794.00",200.0,201.4,"4,954,325.90",27-08-2022
KBL,200.0,201.5,198.0,"31,292.00",198.9,200.0,"6,222,646.20",28-08-2022
KBL,198.9,203.0,197.1,"42,065.00",202.5,198.9,"8,443,175.70",29-08-2022
KBL,202.0,202.5,197.0,"19,155.00",200.0,202.5,"3,817,880.90",30-08-2022
KBL,200.0,201.0,198.0,"25,492.00",198.0,200.0,"5,071,213.80",31-08-2022
KBL,197.0,200.0,196.3,"40,468.00",198.2,198.0,"8,046,645.10",01-09-2022
KBL,198.0,200.0,196.3,"31,744.00",196.3,198.2,"6,261,584.50",02-09-2022
KBL,198.0,200.0,196.3,"31,744.00",196.3,198.2,"6,261,584.50",03-09-2022
KBL,198.0,200.0,196.0,"40,476.00",197.0,196.3,"8,009,336.50",04-09-2022
KBL,194.0,200.9,194.0,"18,926.00",198.0,197.0,"3,735,766.70",05-09-2022
KBL,198.9,199.0,195.0,"39,717.00",196.9,198.0,"7,775,211.30",06-09-2022
KBL,196.0,199.8,194.0,"26,649.00",194.0,196.9,"5,187,027.30",07-09-2022
KBL,194.0,196.8,193.0,"29,534.00",195.2,194.0,"5,750,843.70",08-09-2022
KBL,194.0,196.8,193.0,"29,534.00",195.2,194.0,"5,750,843.70",09-09-2022
KBL,194.00,196.80,193.00,"29,534.00",195.20,194.00,"5,750,843.70",10-09-2022
