Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
KBLPO,118.2,118.2,118.2,"20,000.00",118.2,120.6,"2,364,000.00",30-08-2022
KBLPO,118.0,118.0,118.0,"10,857.00",118.0,118.2,"1,281,126.00",14-09-2022
KBLPO,102.0,102.0,102.0,"1,077,239.00",102.0,102.0,"109,878,378.00",12-12-2022
KBLPO,100.0,100.0,100.0,"11,221.00",100.0,102.0,"1,122,100.00",20-12-2022
KBLPO,115.0,115.0,115.0,"200,000.00",115.0,115.0,"23,000,000.00",24-01-2023
KBLPO,115.0,115.0,115.0,"15,601.00",115.0,115.0,"1,794,115.00",26-01-2023
KBLPO,115.0,115.0,115.0,"15,601.00",115.0,115.0,"1,794,115.00",28-01-2023
KBLPO,115.0,115.0,115.0,"4,539.00",115.0,115.0,"521,985.00",06-02-2023
KBLPO,115.0,115.0,115.0,"25,000.00",115.0,115.0,"2,875,000.00",07-02-2023
KBLPO,113.0,113.0,113.0,"21,019.00",113.0,115.0,"2,375,147.00",02-03-2023
KBLPO,113.0,113.0,113.0,"21,019.00",113.0,115.0,"2,375,147.00",03-03-2023
KBLPO,113.0,113.0,113.0,"21,019.00",113.0,115.0,"2,375,147.00",04-03-2023
KBLPO,113.0,113.0,113.0,"75,000.00",113.0,113.0,"8,475,000.00",07-03-2023
KBLPO,113.0,113.0,113.0,"75,000.00",113.0,113.0,"8,475,000.00",08-03-2023
KBLPO,110.8,110.8,110.8,"92,539.00",110.8,113.0,"10,253,321.20",16-03-2023
KBLPO,110.8,110.8,110.8,"92,539.00",110.8,113.0,"10,253,321.20",17-03-2023
KBLPO,110.8,110.8,110.8,"92,539.00",110.8,113.0,"10,253,321.20",18-03-2023
KBLPO,110.80,110.80,110.80,"2,000.00",110.80,110.80,"276,000.00",19-03-2023
