Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
KKHC,224.8,233.0,216.0,"13,981.00",228.9,229.3,"3,177,106.00",10-08-2022
KKHC,224.8,233.0,216.0,"13,981.00",228.9,229.3,"3,177,106.00",10-08-2022
KKHC,233.4,233.4,222.0,"7,489.00",225.0,228.9,"1,699,352.00",11-08-2022
KKHC,233.4,233.4,222.0,"7,489.00",225.0,228.9,"1,699,352.00",12-08-2022
KKHC,233.4,233.4,222.0,"7,489.00",225.0,228.9,"1,699,352.00",13-08-2022
KKHC,229.5,229.5,213.7,"5,122.00",215.0,225.0,"1,117,418.00",14-08-2022
KKHC,210.7,231.0,206.5,"14,097.00",231.0,215.0,"3,183,413.20",15-08-2022
KKHC,235.5,245.0,221.9,"8,069.00",224.0,231.0,"1,835,418.90",16-08-2022
KKHC,220.0,232.2,220.0,"11,475.00",230.0,224.0,"2,611,016.50",17-08-2022
KKHC,234.6,235.0,226.0,"18,731.00",231.2,230.0,"4,361,675.20",18-08-2022
KKHC,234.6,235.0,226.0,"18,731.00",231.2,230.0,"4,361,675.20",19-08-2022
KKHC,234.6,235.0,226.0,"18,731.00",231.2,230.0,"4,361,675.20",20-08-2022
KKHC,235.0,235.5,225.7,"10,772.00",232.9,231.2,"2,477,464.60",21-08-2022
KKHC,228.3,234.9,223.8,"8,063.00",229.0,232.9,"1,837,551.70",22-08-2022
KKHC,224.6,229.5,223.5,"4,370.00",224.0,229.0,"982,649.50",23-08-2022
KKHC,220.0,229.6,220.0,"7,767.00",229.6,224.0,"1,751,278.50",24-08-2022
KKHC,226.2,229.0,219.0,"6,296.00",220.0,229.6,"1,399,377.00",25-08-2022
KKHC,220.0,228.8,215.6,"7,235.00",218.0,220.0,"1,582,531.90",26-08-2022
KKHC,220.0,228.8,215.6,"7,235.00",218.0,220.0,"1,582,531.90",27-08-2022
KKHC,215.0,218.9,203.0,"12,214.00",208.0,218.0,"2,563,472.00",28-08-2022
KKHC,212.10,216.30,205.00,"4,100.00",213.90,208.00,"864,303.00",29-08-2022
