Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
KLBSL,959.0,959.0,959.0,10.0,959.0,941.3,"9,590.00",10-08-2022
KLBSL,959.0,959.0,959.0,10.0,959.0,941.3,"9,590.00",10-08-2022
KLBSL,951.0,977.0,921.2,"1,534.00",931.6,959.0,"1,473,082.30",11-08-2022
KLBSL,951.0,977.0,921.2,"1,534.00",931.6,959.0,"1,473,082.30",12-08-2022
KLBSL,951.0,977.0,921.2,"1,534.00",931.6,959.0,"1,473,082.30",13-08-2022
KLBSL,931.0,944.9,905.0,250.00,905.0,931.6,"229,850.00",14-08-2022
KLBSL,910.0,928.0,893.1,533.00,928.0,905.0,"487,334.80",15-08-2022
KLBSL,946.0,963.9,910.0,"1,060.00",910.0,928.0,"993,508.30",16-08-2022
KLBSL,928.2,946.7,928.2,110.00,944.0,910.0,"103,826.00",17-08-2022
KLBSL,927.0,935.0,910.1,127.00,935.0,944.0,"117,955.70",18-08-2022
KLBSL,927.0,935.0,910.1,127.00,935.0,944.0,"117,955.70",19-08-2022
KLBSL,927.0,935.0,910.1,127.00,935.0,944.0,"117,955.70",20-08-2022
KLBSL,920.0,922.0,919.0,95.00,921.0,935.0,"87,432.00",21-08-2022
KLBSL,912.0,928.0,910.0,887.00,910.0,921.0,"809,541.50",22-08-2022
KLBSL,901.0,994.0,901.0,463.00,930.0,910.0,"429,484.00",23-08-2022
KLBSL,914.1,930.0,911.4,131.00,930.0,930.0,"119,722.60",24-08-2022
KLBSL,948.5,948.5,913.0,142.00,930.0,930.0,"131,175.00",25-08-2022
KLBSL,912.0,929.5,911.4,74.00,929.5,930.0,"67,721.00",26-08-2022
KLBSL,912.0,929.5,911.4,74.00,929.5,930.0,"67,721.00",27-08-2022
KLBSL,911.0,911.0,891.0,212.00,892.8,929.5,"189,712.60",28-08-2022
KLBSL,910.0,911.0,910.0,60.00,911.0,892.8,"54,622.00",29-08-2022
KLBSL,915.0,915.0,911.0,30.00,911.0,911.0,"27,370.00",30-08-2022
KLBSL,895.0,895.0,877.1,318.00,890.0,911.0,"281,174.80",31-08-2022
KLBSL,890.0,890.0,873.0,224.00,875.0,890.0,"197,580.00",01-09-2022
KLBSL,892.0,892.0,892.0,13.00,892.0,875.0,"11,596.00",02-09-2022
KLBSL,892.0,892.0,892.0,13.00,892.0,875.0,"11,596.00",03-09-2022
KLBSL,907.0,907.0,890.0,56.00,890.0,892.0,"50,082.00",04-09-2022
KLBSL,900.0,900.0,900.0,100.00,900.0,890.0,"90,000.00",05-09-2022
KLBSL,882.0,890.0,880.0,336.00,880.0,900.0,"296,300.00",06-09-2022
KLBSL,865.0,865.0,862.4,110.00,862.4,880.0,"94,896.00",07-09-2022
KLBSL,865.0,865.0,865.0,15.00,865.0,862.4,"12,975.00",08-09-2022
KLBSL,865.0,865.0,865.0,15.00,865.0,862.4,"12,975.00",09-09-2022
KLBSL,865.0,865.0,865.0,15.00,865.0,862.4,"12,975.00",10-09-2022
KLBSL,882.3,882.3,865.0,60.00,865.0,865.0,"52,123.00",11-09-2022
KLBSL,855.0,855.0,847.7,161.00,848.0,865.0,"136,680.80",12-09-2022
KLBSL,841.0,864.0,841.0,257.00,848.0,848.0,"220,481.20",13-09-2022
KLBSL,848.0,880.0,848.0,64.00,880.0,848.0,"55,416.00",14-09-2022
KLBSL,862.4,862.4,862.0,110.00,862.0,880.0,"94,824.00",15-09-2022
KLBSL,845.0,860.0,843.0,65.00,843.0,862.0,"55,580.00",16-09-2022
KLBSL,845.0,860.0,843.0,65.00,843.0,862.0,"55,580.00",17-09-2022
KLBSL,827.0,827.0,810.5,80.00,825.0,843.0,"65,750.00",18-09-2022
KLBSL,827.0,827.0,810.5,80.00,825.0,843.0,"65,750.00",19-09-2022
KLBSL,808.5,808.5,777.0,409.00,777.0,825.0,"322,253.00",20-09-2022
KLBSL,792.5,800.0,792.5,30.00,800.0,777.0,"23,925.00",21-09-2022
KLBSL,790.0,790.0,775.0,150.00,775.0,800.0,"116,600.00",22-09-2022
KLBSL,790.0,790.0,775.0,150.00,775.0,800.0,"116,600.00",23-09-2022
KLBSL,790.0,790.0,775.0,150.00,775.0,800.0,"116,600.00",24-09-2022
KLBSL,761.0,770.0,750.0,"1,255.00",770.0,775.0,"959,915.20",25-09-2022
KLBSL,761.0,770.0,750.0,"1,255.00",770.0,775.0,"959,915.20",26-09-2022
KLBSL,770.00,785.50,770.00,182.00,785.50,770.00,"142,605.00",27-09-2022
