Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
KRBL,255.0,260.1,250.1,"15,079.00",252.0,260.0,"3,852,970.30",10-08-2022
KRBL,255.0,260.1,250.1,"15,079.00",252.0,260.0,"3,852,970.30",10-08-2022
KRBL,251.0,262.0,241.0,"14,128.00",241.2,252.0,"3,521,985.60",11-08-2022
KRBL,251.0,262.0,241.0,"14,128.00",241.2,252.0,"3,521,985.60",12-08-2022
KRBL,251.0,262.0,241.0,"14,128.00",241.2,252.0,"3,521,985.60",13-08-2022
KRBL,246.0,251.7,239.0,"13,138.00",243.0,241.2,"3,197,870.40",14-08-2022
KRBL,243.0,260.0,243.0,"17,651.00",259.9,243.0,"4,489,149.00",15-08-2022
KRBL,265.0,270.0,250.0,"23,448.00",253.0,259.9,"6,059,372.00",16-08-2022
KRBL,252.0,258.0,249.0,"9,628.00",254.0,253.0,"2,432,972.50",17-08-2022
KRBL,258.0,268.0,252.0,"16,050.00",265.0,254.0,"4,216,868.70",18-08-2022
KRBL,258.0,268.0,252.0,"16,050.00",265.0,254.0,"4,216,868.70",19-08-2022
KRBL,258.0,268.0,252.0,"16,050.00",265.0,254.0,"4,216,868.70",20-08-2022
KRBL,266.0,271.0,256.0,"16,937.00",258.0,265.0,"4,501,661.00",21-08-2022
KRBL,254.0,259.0,244.1,"24,348.00",258.0,258.0,"6,138,821.50",22-08-2022
KRBL,263.0,263.0,250.0,"33,287.00",258.0,258.0,"8,438,396.80",23-08-2022
KRBL,260.0,260.0,255.0,"8,670.00",255.0,258.0,"2,225,323.00",24-08-2022
KRBL,259.9,259.9,247.9,"13,108.00",254.0,255.0,"3,311,622.10",25-08-2022
KRBL,249.0,256.8,242.0,"10,523.00",246.0,254.0,"2,580,695.20",26-08-2022
KRBL,249.0,256.8,242.0,"10,523.00",246.0,254.0,"2,580,695.20",27-08-2022
KRBL,242.0,246.0,233.5,"14,600.00",235.0,246.0,"3,468,579.60",28-08-2022
KRBL,235.0,244.0,231.3,"13,063.00",240.0,235.0,"3,087,691.80",29-08-2022
KRBL,244.8,244.8,236.0,"4,069.00",236.0,240.0,"973,018.00",30-08-2022
KRBL,233.0,238.0,230.3,"6,567.00",230.3,236.0,"1,521,947.00",31-08-2022
KRBL,233.0,235.0,227.1,"3,745.00",235.0,230.3,"864,649.50",01-09-2022
KRBL,238.0,240.0,234.5,"4,386.00",234.5,235.0,"1,039,973.60",02-09-2022
KRBL,238.0,240.0,234.5,"4,386.00",234.5,235.0,"1,039,973.60",03-09-2022
KRBL,231.0,240.8,231.0,"4,699.00",239.0,234.5,"1,116,585.70",04-09-2022
KRBL,241.5,241.5,236.7,"8,486.00",236.7,239.0,"2,036,947.20",05-09-2022
KRBL,237.0,237.0,225.1,"9,552.00",230.0,236.7,"2,184,786.10",06-09-2022
KRBL,228.0,228.0,226.0,"4,644.00",226.0,230.0,"1,052,609.10",07-09-2022
KRBL,227.0,237.0,227.0,"5,273.00",231.0,226.0,"1,223,602.00",08-09-2022
KRBL,227.0,237.0,227.0,"5,273.00",231.0,226.0,"1,223,602.00",09-09-2022
KRBL,227.0,237.0,227.0,"5,273.00",231.0,226.0,"1,223,602.00",10-09-2022
KRBL,233.0,235.0,225.0,"2,775.00",225.4,231.0,"634,312.00",11-09-2022
KRBL,228.0,228.0,222.2,"4,962.00",223.0,225.4,"1,108,298.00",12-09-2022
KRBL,219.2,231.5,219.2,"7,086.00",227.0,223.0,"1,605,207.90",13-09-2022
KRBL,229.0,245.0,229.0,"16,687.00",240.5,227.0,"3,974,431.60",14-09-2022
KRBL,240.00,241.70,225.50,"17,577.00",229.00,240.50,"4,074,250.20",15-09-2022
