Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
LBBL,392.0,405.0,391.0,"68,344.00",396.1,398.0,"27,310,891.30",10-08-2022
LBBL,392.0,405.0,391.0,"68,344.00",396.1,398.0,"27,310,891.30",10-08-2022
LBBL,396.0,403.8,385.0,"41,530.00",386.0,396.1,"16,365,928.30",11-08-2022
LBBL,396.0,403.8,385.0,"41,530.00",386.0,396.1,"16,365,928.30",12-08-2022
LBBL,396.0,403.8,385.0,"41,530.00",386.0,396.1,"16,365,928.30",13-08-2022
LBBL,383.1,398.0,376.0,"49,064.00",379.0,386.0,"18,916,270.70",14-08-2022
LBBL,373.4,407.0,373.4,"87,010.00",407.0,379.0,"34,480,151.20",15-08-2022
LBBL,410.0,418.0,391.5,"85,120.00",391.5,407.0,"34,516,279.70",16-08-2022
LBBL,399.3,408.0,390.0,"49,795.00",399.9,391.5,"19,929,086.60",17-08-2022
LBBL,407.8,420.0,399.7,"67,396.00",414.0,399.9,"27,734,200.80",18-08-2022
LBBL,407.8,420.0,399.7,"67,396.00",414.0,399.9,"27,734,200.80",19-08-2022
LBBL,407.8,420.0,399.7,"67,396.00",414.0,399.9,"27,734,200.80",20-08-2022
LBBL,422.2,422.2,405.0,"52,660.00",407.1,414.0,"21,804,141.50",21-08-2022
LBBL,412.0,412.0,397.0,"36,124.00",404.0,407.1,"14,583,944.00",22-08-2022
LBBL,404.0,411.0,400.0,"26,210.00",400.0,404.0,"10,530,803.20",23-08-2022
LBBL,407.0,412.0,400.0,"46,549.00",402.3,400.0,"18,725,914.10",24-08-2022
LBBL,407.0,409.0,394.2,"49,487.00",395.0,402.3,"19,776,991.20",25-08-2022
LBBL,391.0,396.9,387.0,"48,250.00",390.0,395.0,"18,826,009.80",26-08-2022
LBBL,391.0,396.9,387.0,"48,250.00",390.0,395.0,"18,826,009.80",27-08-2022
LBBL,386.1,391.0,375.0,"89,440.00",378.0,390.0,"34,015,937.20",28-08-2022
LBBL,374.1,386.9,373.1,"34,754.00",382.0,378.0,"13,234,428.30",29-08-2022
LBBL,389.6,390.0,381.2,"25,859.00",385.0,382.0,"9,978,173.50",30-08-2022
LBBL,385.1,387.6,375.0,"21,612.00",379.0,385.0,"8,185,071.50",31-08-2022
LBBL,380.0,387.5,369.0,"33,994.00",377.0,379.0,"12,774,334.00",01-09-2022
LBBL,377.0,382.5,372.0,"14,343.00",376.8,377.0,"5,385,805.30",02-09-2022
LBBL,377.0,382.5,372.0,"14,343.00",376.8,377.0,"5,385,805.30",03-09-2022
LBBL,379.0,391.7,379.0,"40,107.00",390.0,376.8,"15,434,487.60",04-09-2022
LBBL,388.0,395.7,381.0,"27,820.00",381.0,390.0,"10,737,406.00",05-09-2022
LBBL,381.0,382.0,372.4,"26,779.00",374.0,381.0,"10,066,247.00",06-09-2022
LBBL,374.0,375.0,368.0,"22,908.00",369.0,374.0,"8,496,716.30",07-09-2022
LBBL,368.1,380.4,366.0,"25,819.00",377.0,369.0,"9,665,428.40",08-09-2022
LBBL,368.1,380.4,366.0,"25,819.00",377.0,369.0,"9,665,428.40",09-09-2022
LBBL,368.1,380.4,366.0,"25,819.00",377.0,369.0,"9,665,428.40",10-09-2022
LBBL,373.0,379.9,369.0,"18,703.00",369.0,377.0,"6,984,810.70",11-09-2022
LBBL,370.0,373.0,367.0,"28,700.00",369.0,369.0,"10,606,857.60",12-09-2022
LBBL,375.0,381.0,367.5,"26,582.00",375.0,369.0,"10,007,108.40",13-09-2022
LBBL,380.0,406.0,378.1,"62,436.00",393.1,375.0,"24,416,770.60",14-09-2022
LBBL,400.0,400.0,372.0,"101,938.00",372.0,393.1,"38,954,575.50",15-09-2022
LBBL,369.0,377.0,358.8,"39,940.00",370.0,372.0,"14,747,849.30",16-09-2022
LBBL,369.0,377.0,358.8,"39,940.00",370.0,372.0,"14,747,849.30",17-09-2022
LBBL,371.2,371.2,360.0,"42,626.00",360.2,370.0,"15,492,363.00",18-09-2022
LBBL,371.2,371.2,360.0,"42,626.00",360.2,370.0,"15,492,363.00",19-09-2022
LBBL,360.0,365.0,348.0,"55,645.00",349.0,360.2,"19,630,568.90",20-09-2022
LBBL,354.0,364.0,350.3,"42,331.00",354.0,349.0,"15,142,450.80",21-09-2022
LBBL,358.0,362.0,349.0,"20,166.00",350.0,354.0,"7,123,569.00",22-09-2022
LBBL,358.0,362.0,349.0,"20,166.00",350.0,354.0,"7,123,569.00",23-09-2022
LBBL,358.0,362.0,349.0,"20,166.00",350.0,354.0,"7,123,569.00",24-09-2022
LBBL,344.0,348.0,336.2,"21,880.00",343.4,350.0,"7,514,061.10",25-09-2022
LBBL,344.0,348.0,336.2,"21,880.00",343.4,350.0,"7,514,061.10",26-09-2022
LBBL,348.0,355.0,341.0,"29,106.00",346.0,343.4,"10,099,498.30",27-09-2022
LBBL,351.0,351.0,338.0,"30,520.00",341.0,346.0,"10,483,489.50",28-09-2022
