Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
LBLD88,"1,095.00","1,100.00","1,095.00",75.0,"1,100.00","1,085.00","82,250.00",07-07-2026
LBLD88,"1,125.00","1,150.00","1,125.00","43,150.00","1,150.00","1,100.00","49,621,549.50",13-07-2026
LBLD88,"1,153.00","1,153.00","1,153.00",20.00,"1,153.00","1,150.00","23,060.00",20-07-2026
LBLD88,"1,118.50","1,118.50","1,118.50",60.00,"1,118.50","1,153.00","67,110.00",22-07-2026
LBLD88,"1,094.00","1,094.00","1,090.00",25.00,"1,090.00","1,094.00","27,254.00",04-08-2026
LBLD88,"1,090.00","1,090.00","1,090.00",25.00,"1,090.00","1,090.00","27,250.00",10-08-2026
LBLD88,"1,122.70","1,122.70","1,122.70",49.00,"1,122.70","1,090.00","55,012.30",19-08-2026
LBLD88,"1,122.00","1,122.00","1,122.00",10.00,"1,122.00","1,122.70","11,220.00",26-08-2026
LBLD88,"1,125.00","1,125.00","1,125.00",25.00,"1,125.00","1,122.00","28,125.00",01-09-2026
LBLD88,"1,125.00","1,125.00","1,125.00",5.00,"1,122.00","1,125.00","5,610.00",02-09-2026
LBLD88,"1,122.00","1,122.00","1,110.00",30.00,"1,110.00","1,122.00","33,275.00",18-09-2026
