Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
LEC,271.0,275.0,260.9,"6,670.00",269.0,276.3,"1,794,630.20",10-08-2022
LEC,271.0,275.0,260.9,"6,670.00",269.0,276.3,"1,794,630.20",10-08-2022
LEC,264.0,273.0,257.0,"5,772.00",267.0,269.0,"1,511,236.40",11-08-2022
LEC,264.0,273.0,257.0,"5,772.00",267.0,269.0,"1,511,236.40",12-08-2022
LEC,264.0,273.0,257.0,"5,772.00",267.0,269.0,"1,511,236.40",13-08-2022
LEC,261.7,265.0,255.0,"8,140.00",255.3,267.0,"2,103,736.00",14-08-2022
LEC,251.1,269.0,251.1,"7,370.00",269.0,255.3,"1,946,209.00",15-08-2022
LEC,269.1,274.0,255.1,"9,608.00",260.0,269.0,"2,531,324.60",16-08-2022
LEC,254.8,267.6,254.8,"4,090.00",265.0,260.0,"1,067,893.80",17-08-2022
LEC,265.0,275.2,261.0,"21,630.00",274.8,265.0,"5,880,075.60",18-08-2022
LEC,265.0,275.2,261.0,"21,630.00",274.8,265.0,"5,880,075.60",19-08-2022
LEC,265.0,275.2,261.0,"21,630.00",274.8,265.0,"5,880,075.60",20-08-2022
LEC,280.2,285.0,265.0,"15,295.00",273.0,274.8,"4,102,684.70",21-08-2022
LEC,267.6,270.0,264.7,"2,171.00",268.9,273.0,"579,138.50",22-08-2022
LEC,269.0,275.0,265.0,"10,662.00",275.0,268.9,"2,896,906.00",23-08-2022
LEC,270.0,280.0,270.0,"11,280.00",278.0,275.0,"3,113,425.20",24-08-2022
LEC,273.0,278.9,267.0,"6,923.00",278.0,278.0,"1,891,050.60",25-08-2022
LEC,272.5,272.5,263.4,"1,995.00",267.9,278.0,"529,311.50",26-08-2022
LEC,272.5,272.5,263.4,"1,995.00",267.9,278.0,"529,311.50",27-08-2022
LEC,262.6,262.6,241.2,"31,810.00",254.9,267.9,"7,963,156.90",28-08-2022
LEC,250.0,259.7,246.0,"7,310.00",255.0,254.9,"1,850,018.00",29-08-2022
LEC,250.0,258.3,245.0,"5,512.00",252.9,255.0,"1,377,420.50",30-08-2022
LEC,248.0,255.0,240.0,"10,766.00",254.0,252.9,"2,626,929.80",31-08-2022
LEC,249.0,263.6,239.3,"4,490.00",263.6,254.0,"1,121,288.20",01-09-2022
LEC,258.4,258.4,249.5,"2,800.00",257.0,263.6,"703,774.30",02-09-2022
LEC,258.4,258.4,249.5,"2,800.00",257.0,263.6,"703,774.30",03-09-2022
LEC,253.0,257.0,249.0,"2,730.00",254.7,257.0,"688,324.00",04-09-2022
LEC,257.0,257.0,243.0,"4,470.00",249.7,254.7,"1,105,041.00",05-09-2022
LEC,245.0,245.0,235.0,"15,170.00",244.8,249.7,"3,606,220.10",06-09-2022
LEC,249.5,249.5,233.0,"4,000.00",244.8,244.8,"948,678.00",07-09-2022
LEC,243.0,246.0,235.0,"4,755.00",241.9,244.8,"1,142,614.70",08-09-2022
LEC,243.0,246.0,235.0,"4,755.00",241.9,244.8,"1,142,614.70",09-09-2022
LEC,243.0,246.0,235.0,"4,755.00",241.9,244.8,"1,142,614.70",10-09-2022
LEC,238.0,241.0,235.0,"2,875.00",239.0,241.9,"681,794.00",11-09-2022
LEC,239.1,240.0,231.1,"1,464.00",233.0,239.0,"345,113.60",12-09-2022
LEC,231.0,240.0,231.0,"11,334.00",238.0,233.0,"2,675,307.50",13-09-2022
LEC,242.7,261.0,238.1,"8,761.00",257.8,238.0,"2,145,806.20",14-09-2022
LEC,260.0,262.0,237.1,"15,571.00",240.0,257.8,"3,838,320.80",15-09-2022
LEC,236.0,242.7,235.2,"1,820.00",242.7,240.0,"432,331.00",16-09-2022
LEC,236.0,242.7,235.2,"1,820.00",242.7,240.0,"432,331.00",17-09-2022
LEC,237.9,237.9,222.1,"7,475.00",228.0,242.7,"1,695,253.50",18-09-2022
LEC,237.9,237.9,222.1,"7,475.00",228.0,242.7,"1,695,253.50",19-09-2022
LEC,225.0,225.0,215.0,"9,590.00",216.0,228.0,"2,085,692.00",20-09-2022
LEC,220.3,225.0,216.0,"8,060.00",224.2,216.0,"1,776,806.00",21-09-2022
LEC,224.0,227.0,216.0,"2,695.00",225.0,224.2,"590,161.00",22-09-2022
LEC,224.0,227.0,216.0,"2,695.00",225.0,224.2,"590,161.00",23-09-2022
LEC,224.0,227.0,216.0,"2,695.00",225.0,224.2,"590,161.00",24-09-2022
LEC,220.5,223.0,214.0,900.00,219.0,225.0,"194,779.00",25-09-2022
LEC,220.5,223.0,214.0,900.00,219.0,225.0,"194,779.00",26-09-2022
LEC,223.3,225.0,211.0,"8,209.00",225.0,219.0,"1,781,793.90",27-09-2022
LEC,222.0,222.0,215.9,"1,985.00",219.9,225.0,"432,141.50",28-09-2022
LEC,221.0,224.4,218.6,"3,099.00",224.4,219.9,"688,571.60",29-09-2022
LEC,221.0,224.4,218.6,"3,099.00",224.4,219.9,"688,571.60",30-09-2022
LEC,221.0,224.4,218.6,"3,099.00",224.4,219.9,"688,571.60",01-10-2022
LEC,221.0,224.4,218.6,"3,099.00",224.4,219.9,"688,571.60",02-10-2022
LEC,221.0,224.4,218.6,"3,099.00",224.4,219.9,"688,571.60",03-10-2022
LEC,221.0,224.4,218.6,"3,099.00",224.4,219.9,"688,571.60",04-10-2022
LEC,221.0,224.4,218.6,"3,099.00",224.4,219.9,"688,571.60",05-10-2022
LEC,221.0,224.4,218.6,"3,099.00",224.4,219.9,"688,571.60",06-10-2022
LEC,221.0,224.4,218.6,"3,099.00",224.4,219.9,"688,571.60",07-10-2022
LEC,221.0,224.4,218.6,"3,099.00",224.4,219.9,"688,571.60",08-10-2022
LEC,228.8,228.8,218.1,"3,230.00",228.8,224.4,"721,001.00",09-10-2022
LEC,233.0,233.0,220.0,"4,846.00",227.0,228.8,"1,077,569.70",10-10-2022
LEC,223.0,226.0,218.6,"5,290.00",224.4,227.0,"1,166,575.10",11-10-2022
LEC,220.1,229.5,216.0,"4,291.00",227.0,224.4,"949,646.00",12-10-2022
LEC,223.0,225.0,219.4,"2,897.00",224.4,227.0,"643,927.70",13-10-2022
LEC,223.0,225.0,219.4,"2,897.00",224.4,227.0,"643,927.70",14-10-2022
LEC,223.0,225.0,219.4,"2,897.00",224.4,227.0,"643,927.70",15-10-2022
LEC,221.0,222.0,216.6,"2,578.00",220.0,224.4,"560,679.00",16-10-2022
LEC,215.8,219.0,206.9,"16,680.00",216.9,220.0,"3,528,316.50",17-10-2022
LEC,215.8,219.0,206.9,"16,680.00",216.9,220.0,"3,528,316.50",18-10-2022
LEC,213.0,213.0,208.3,"6,295.00",211.9,216.9,"1,318,706.00",19-10-2022
LEC,208.0,212.0,205.0,"1,440.00",210.9,211.9,"300,277.00",20-10-2022
LEC,208.0,212.0,205.0,"1,440.00",210.9,211.9,"300,277.00",21-10-2022
LEC,208.0,212.0,205.0,"1,440.00",210.9,211.9,"300,277.00",22-10-2022
LEC,207.0,214.1,207.0,"1,850.00",212.5,210.9,"388,335.00",23-10-2022
LEC,207.0,214.1,207.0,"1,850.00",212.5,210.9,"388,335.00",24-10-2022
LEC,207.0,214.1,207.0,"1,850.00",212.5,210.9,"388,335.00",25-10-2022
LEC,207.0,214.1,207.0,"1,850.00",212.5,210.9,"388,335.00",26-10-2022
LEC,207.0,214.1,207.0,"1,850.00",212.5,210.9,"388,335.00",27-10-2022
LEC,207.0,214.1,207.0,"1,850.00",212.5,210.9,"388,335.00",28-10-2022
LEC,207.0,214.1,207.0,"1,850.00",212.5,210.9,"388,335.00",29-10-2022
LEC,207.0,214.1,207.0,"1,850.00",212.5,210.9,"388,335.00",30-10-2022
