Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
LICN,"1,428.00","1,437.10","1,412.20","6,588.00","1,427.00","1,436.00","9,409,496.30",10-08-2022
LICN,"1,428.00","1,437.10","1,412.20","6,588.00","1,427.00","1,436.00","9,409,496.30",10-08-2022
LICN,"1,435.00","1,440.00","1,420.00","5,159.00","1,422.10","1,427.00","7,361,213.90",11-08-2022
LICN,"1,435.00","1,440.00","1,420.00","5,159.00","1,422.10","1,427.00","7,361,213.90",12-08-2022
LICN,"1,435.00","1,440.00","1,420.00","5,159.00","1,422.10","1,427.00","7,361,213.90",13-08-2022
LICN,"1,400.00","1,426.00","1,381.00","7,947.00","1,390.00","1,422.10","11,069,784.90",14-08-2022
LICN,"1,362.20","1,400.00","1,335.00","10,013.00","1,400.00","1,390.00","13,778,617.80",15-08-2022
LICN,"1,405.00","1,415.00","1,370.00","7,191.00","1,394.90","1,400.00","9,987,216.20",16-08-2022
LICN,"1,370.20","1,397.00","1,362.20","2,482.00","1,389.90","1,394.90","3,425,225.80",17-08-2022
LICN,"1,389.90","1,409.40","1,370.00","6,453.00","1,408.00","1,389.90","8,933,725.00",18-08-2022
LICN,"1,389.90","1,409.40","1,370.00","6,453.00","1,408.00","1,389.90","8,933,725.00",19-08-2022
LICN,"1,389.90","1,409.40","1,370.00","6,453.00","1,408.00","1,389.90","8,933,725.00",20-08-2022
LICN,"1,435.00","1,435.00","1,385.00","7,835.00","1,399.90","1,408.00","10,972,577.50",21-08-2022
LICN,"1,395.00","1,412.00","1,370.00","11,227.00","1,389.00","1,399.90","15,626,665.00",22-08-2022
LICN,"1,382.00","1,396.90","1,365.00","4,624.00","1,378.00","1,389.00","6,351,367.00",23-08-2022
LICN,"1,378.00","1,384.90","1,365.00","7,209.00","1,368.10","1,378.00","9,892,433.20",24-08-2022
LICN,"1,369.00","1,383.00","1,350.00","5,937.00","1,363.90","1,368.10","8,113,866.70",25-08-2022
LICN,"1,341.00","1,500.00","1,341.00","23,730.00","1,445.00","1,363.90","33,623,865.40",26-08-2022
LICN,"1,341.00","1,500.00","1,341.00","23,730.00","1,445.00","1,363.90","33,623,865.40",27-08-2022
LICN,"1,473.00","1,490.00","1,409.30","18,345.00","1,431.00","1,445.00","26,585,131.10",28-08-2022
LICN,"1,459.00","1,459.00","1,405.00","9,420.00","1,433.90","1,431.00","13,486,509.00",29-08-2022
LICN,"1,462.50","1,551.00","1,425.00","43,670.00","1,434.90","1,433.90","63,901,310.80",30-08-2022
LICN,"1,463.50","1,464.00","1,372.00","9,838.00","1,379.00","1,434.90","13,805,351.20",31-08-2022
LICN,"1,406.00","1,430.00","1,375.00","9,998.00","1,420.00","1,379.00","13,928,972.00",01-09-2022
LICN,"1,420.00","1,438.00","1,387.10","2,552.00","1,410.00","1,420.00","3,571,702.00",02-09-2022
LICN,"1,420.00","1,438.00","1,387.10","2,552.00","1,410.00","1,420.00","3,571,702.00",03-09-2022
LICN,"1,430.00","1,438.00","1,385.00","3,808.00","1,403.00","1,410.00","5,313,340.00",04-09-2022
LICN,"1,431.00","1,450.00","1,368.10","8,412.00","1,420.00","1,403.00","11,678,228.70",05-09-2022
LICN,"1,392.00","1,406.00","1,379.00","3,556.00","1,405.90","1,420.00","4,930,750.00",06-09-2022
LICN,"1,398.00","1,398.00","1,363.20","2,963.00","1,384.00","1,405.90","4,079,381.00",07-09-2022
LICN,"1,390.00","1,390.00","1,360.00","4,315.00","1,365.00","1,384.00","5,898,069.50",08-09-2022
LICN,"1,390.00","1,390.00","1,360.00","4,315.00","1,365.00","1,384.00","5,898,069.50",09-09-2022
LICN,"1,390.00","1,390.00","1,360.00","4,315.00","1,365.00","1,384.00","5,898,069.50",10-09-2022
LICN,"1,390.00","1,390.00","1,341.00","1,927.00","1,359.00","1,365.00","2,615,826.00",11-09-2022
LICN,"1,340.00","1,358.00","1,319.00","5,059.00","1,330.00","1,359.00","6,708,161.50",12-09-2022
LICN,"1,350.00","1,350.00","1,323.00","3,374.00","1,336.90","1,330.00","4,505,194.60",13-09-2022
LICN,"1,363.60","1,365.00","1,321.00","7,021.00","1,353.90","1,336.90","9,442,935.90",14-09-2022
LICN,"1,345.00","1,368.00","1,295.60","8,442.00","1,304.00","1,353.90","11,108,587.90",15-09-2022
LICN,"1,298.00","1,356.00","1,270.00","5,464.00","1,356.00","1,304.00","7,056,545.20",16-09-2022
LICN,"1,298.00","1,356.00","1,270.00","5,464.00","1,356.00","1,304.00","7,056,545.20",17-09-2022
LICN,"1,329.00","1,346.00","1,278.20","6,776.00","1,284.80","1,356.00","8,748,851.60",18-09-2022
LICN,"1,329.00","1,346.00","1,278.20","6,776.00","1,284.80","1,356.00","8,748,851.60",19-09-2022
